Judet,Cartofi,Fasole uscata,Ceapa uscata,Usturoi uscat,Morcovi,Mere,Lapte dulce,Branza din lapte de oaie,Oua,Miere
ALBA IULIA,2.5,6.75,2.5,19,3,2.23,2.5,15,0.65,15
ALEXANDRIA,2.29,6.42,2.5,15.83,2.38,2.68,2.5,16,0.5,17
ARAD,2.25,6.44,2.23,17.88,3.28,3.7,2.5,18,0.5,24.29
BACAU,1.96,5.69,2,16.13,2,2.07,2.5,16,1.15,16.25
BAIA MARE,1.71,8.63,2.28,19.5,2.65,2.2,2.05,13.88,1,20.33
BISTRITA,2.06,7,2.5,20,2.5,2.05,2.5,16,0.5,25
BOTOSANI,1.88,5.63,2,14.5,1.89,2.04,2,18.5,1.13,21.17
BRAILA,1.9,5.33,2.38,14.63,2.13,2.16,2.5,17.25,0.68,18.71
BRASOV,1.75,5.88,3,14.5,2.5,3.04,2.5,18,0.7,16
BUCURESTI,2.44,6.89,2.7,18.79,2.59,2.92,2.25,19.67,0.6,19.99
BUZAU,1.89,5.5,2.13,17.75,2.08,1.99,2.5,20,0.6,22.67
CALARASI,2.25,5,2.25,25,2,2.57,2.5,18,0.5,21.92
CLUJ-NAPOCA,2.25,7.5,2,16,2.5,2.42,3,18,0.55,25
CONSTANTA,2.25,5.67,2.5,17.13,2.5,3.74,2.5,16,0.5,19.33
CRAIOVA,1.48,5.5,1.85,10.5,2.25,2.76,2.63,18,0.9,15
DEVA,1.96,6.75,2.75,20.5,2.63,2.43,2.63,18,0.7,23.67
DROBETA-TURNU SEVERIN,1.86,7.5,2.13,16.5,2.06,2.61,2.5,15.25,0.93,15.42
FOCSANI,2.11,5.63,2.13,11.5,1.9,2.44,2.5,16,0.5,19.33
GALATI,2.36,6,2.43,19.75,2.06,2.98,3,20,0.53,15.67
GIURGIU,2.26,7.25,2.38,19,2.63,2.44,2.5,15,0.85,18.33
IASI,2.46,6.25,2.5,21,2.5,2.72,2.88,16,0.95,16
MIERCUREA CIUC,2,5.86,3.13,20,2.75,2.5,2.5,18,0.8,23.33
ORADEA,2.18,6.25,2,16.25,2.69,2.26,2,13.75,0.63,19.42
PIATRA NEAMT,2.13,6.56,2.38,18.75,2.13,2.35,2.5,16.75,1.1,19.5
PITESTI,2.41,5.17,2.55,18.5,2.25,2.17,3,20.25,0.6,15.5
PLOIESTI,2.06,5.13,2.25,16.5,2.19,2.37,2.5,19.5,0.5,19.33
RAMNICU VALCEA,2.02,6,2.88,19,2.5,1.9,2.88,18,0.78,20.55
RESITA,2.04,6.22,2.18,17.75,2.06,2.23,2.5,20,0.68,18.67
SATU MARE,1.99,7.66,2,16.88,2.63,2.11,2.5,19.25,0.48,17.25
SFANTU GHEORGHE,1.21,6.5,2.88,15,3.63,2.41,2,16.25,0.7,17.5
SIBIU,1.74,5.03,2.65,12,2.59,2.63,2.78,13.75,0.46,17.33
SLATINA,2.02,5.5,2.25,17.13,2,2.43,2.63,14.25,0.63,18.33
SLOBOZIA,2.04,6,2.13,20,2.25,2.2,2.5,15,0.6,17.5
SUCEAVA,2,7.13,2.5,19,2.25,2.67,2.5,15.75,1,22.42
TARGOVISTE,1.86,6.5,2.75,19.6,2.5,1.94,3,20.25,0.55,18.75
TARGU JIU,1.91,7,2,17.75,2.2,2.83,2.5,13.13,0.65,17.75
TARGU MURES,1.65,7,2,14.75,2.25,1.89,2.5,15,0.41,19
TIMISOARA,1.86,5.38,2.1,16.5,2,2.71,2.5,17,0.4,22.09
TULCEA,1.83,5.38,2,24.25,2,2.85,3,19.5,0.5,24.33
VASLUI,1.97,5.5,2.5,20,2,1.7,2.75,20,0.63,18.25
ZALAU,2.09,7.13,3,19.5,3,2.18,2.5,17,0.6,23
