,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
C,0.43130657100036546,0.7908718231674206,0.9465768005631777,0.9775129918766279,0.9779834650658854,0.9813748661647821,0.9814490886975672,0.981490641652113,0.9815315294824777,0.9818727019236131,0.9821257800743187,0.9826325810355726,0.9830008094385981,0.9830473592637562,0.9837089643264357,0.9837218937680481,0.9838729608185272,0.9879550151143383,0.9879550373324355,0.9881927156851608,0.992702755700645,0.9999900635526913,1.0000000000000016
C_Test,0.28986626458503856,0.3612738682636602,0.6993463317221305,0.7680240033189751,0.7910191012956954,0.7966929739359727,0.7996749243206701,0.8008301910480328,0.8026268496489218,0.8163572026002744,0.8168367393735403,0.8202399719337379,0.8546377174847646,0.9219090385693782,0.9959801025445012,0.9972923857204611,0.997326125614297,0.9999566931996332,0.999961983031909,0.9999621082469642,0.9999931778968811,0.9999933073302134,1.0000000000000004
Html,0.555654524696961,0.7713957315856736,0.8731240677244504,0.9028576244928712,0.9081908536524578,0.9122365767925225,0.9126680445630319,0.9130844930485603,0.9207835072183406,0.9214532970741818,0.9371953590193354,0.9465139498346206,0.9474681699584565,0.9528542956083267,0.9793822464213626,0.9824875685429807,0.9826468043406168,0.986216626348994,0.9865818348101039,0.9990891765625756,0.9996076917717883,0.9997905623888522,1.0000000000000018
Html_test,0.265463542466154,0.7385855128454037,0.9110106671142902,0.9560390960831283,0.9583297986326558,0.9636546210602125,0.9653513830176478,0.966172802514411,0.9662463931926629,0.9663530206927413,0.9736956589106466,0.9768383372013899,0.9768991123733568,0.9794402776939615,0.9893606640941842,0.9908060519765316,0.9911100206681792,0.9947782529448969,0.994948147279745,0.9966300495209689,0.9969723732907387,0.9984298935409401,1.0000000000000004
Java,0.6207134382818766,0.8874584479767726,0.9262925930561244,0.9326175555865116,0.9326434094838579,0.9407627226487741,0.9433687800980398,0.9436572509145857,0.9441495594016861,0.9442127063638441,0.944245445561114,0.9442596298843537,0.9442997317243941,0.9448301131599576,0.9586521891926753,0.9608004643355071,0.9621156203235145,0.9958427744823471,0.9962596399782484,0.9965753913676635,0.9981406432919456,0.9999278380518904,1.000000000000002
Java_test,0.3499684454039589,0.3620984317083336,0.6241577486025691,0.6655860320039176,0.6777298201218191,0.6848746101886457,0.6900389933373888,0.6900548535569181,0.6902210111085297,0.787874428121079,0.7987484554187787,0.8847310115758233,0.8969597509590496,0.9913207249627936,0.9916988633312486,0.9995051395517425,0.9997827090787405,0.9998600923083425,0.9998892513891798,0.9999521463080512,0.9999643952543064,0.9999916507447623,1.0000000000000016
PHP,0.633298399309125,0.7899550499988471,0.8636410421993611,0.8795728813545067,0.8848292534663131,0.889078827737802,0.8904327796818399,0.8916705846392309,0.8949252079472583,0.8949835824692315,0.9296732384667545,0.9367398814779532,0.9386848294154292,0.9490788120931207,0.9830090539486823,0.9846693669473472,0.9846732174402469,0.9887803723406925,0.9898257841897783,0.9990879898078707,0.9992804291300568,0.9995600296921141,1.0000000000000027
PHP_test,0.31124054587761557,0.7684375554318708,0.9125236759684389,0.9597423010753098,0.9604943150316766,0.9632605419402798,0.9645774491278262,0.9651644709437287,0.9653017200119393,0.9663584642018163,0.9684072421489304,0.9687497193323334,0.9687536991744613,0.9701651209236548,0.9812239992787611,0.9843885113514234,0.98496700912,0.9952752485638919,0.9960037410558206,0.9980589895183057,0.9983848321515719,0.9985079332345203,1.0000000000000018
InternetPenetration,0.5481260964152543,0.7086287544500542,0.7750211400368193,0.835253220690249,0.8398971332480981,0.8918647633092461,0.8988197976975066,0.9061509901328695,0.9075386637765263,0.9077103606627803,0.9077571164499864,0.9199538899748402,0.9733569733910529,0.9813083941167041,0.9828611404581802,0.9873484302794983,0.9888608448220766,0.988935260388405,0.9889815771987122,0.9899003312500018,0.9984208564102441,0.9999998221024903,0.9999999999999971
InternetUsers,0.5579482799262336,0.7211933450953059,0.7797040405542044,0.831416257305686,0.8319446365006097,0.8804817512023498,0.8968367961650466,0.9030162222311484,0.9039420074479073,0.9042167803477703,0.9054166879646276,0.9211463984676819,0.9689171223683013,0.981799016395987,0.9834787531200669,0.9873559668212344,0.9888171237714138,0.9891001119845566,0.989206886510559,0.9899558831060916,0.9982527595290183,0.999998223746467,0.9999999999999984
UploadSpeed,0.1947427117813602,0.3188036690707687,0.3407668486982123,0.4758445240246813,0.7453224851133962,0.8129405281400146,0.8828431354819164,0.9481421217118369,0.9576710922362748,0.962674835263373,0.9643015744308383,0.9677768946541707,0.9680778257126487,0.9684664859786044,0.9685930157563171,0.9719294371900173,0.9978466940897807,0.9981947433007154,0.9994459774610999,0.9994909464876179,0.9998727478402589,0.9999997871894506,0.9999999999999988
Download,0.35265592067108126,0.5792183153982591,0.580732793604413,0.6506607164971808,0.7909712667315683,0.8405339521425486,0.8781918324845485,0.9390998424122156,0.9503972987381635,0.9545881508741343,0.9546775831840553,0.9549744976551392,0.9564128407465362,0.9568121155648374,0.9568146492554572,0.9585086389949146,0.9975392370588045,0.9977381735186739,0.9996771190186632,0.9996815166649624,0.9999102145510114,0.9999999086767493,1.0000000000000009
FixedBroadbandSubscriptions,0.5793683380107131,0.7689895846562875,0.8100177014978394,0.8262846457455333,0.8283520554066646,0.8445239282448624,0.8594218253429371,0.859724328953916,0.8681124323050942,0.8760335188668723,0.8762940650903942,0.8867883813223889,0.8914087231471355,0.8969223156068853,0.9210172838291768,0.9963507173795093,0.9988980066339559,0.9998695696090376,0.999873495439765,0.9999532782643993,0.9999811611620023,0.9999975473487276,0.9999999999999999
ChargesIntellProperty,0.06904411907624218,0.12826201753621752,0.1403175536742162,0.14471100935010814,0.160529854492481,0.18940678546511547,0.8059559301548109,0.8692545840422552,0.8802754651417583,0.8930699611412578,0.9452370386595196,0.997761298972334,0.9983828602152143,0.9985669487303968,0.9992529135430777,0.9996031157875224,0.9996229618501237,0.9999843616320339,0.9999932734508814,0.9999941224677097,0.999996512879126,0.9999994650224542,1.0000000000000009
GovernmentExpenditureOnEducation,0.002891347984572942,0.008178739386467675,0.025545407696873152,0.18278396155454543,0.1929577137288501,0.7022835316752745,0.7025084476450142,0.7984145441308415,0.8821241623712905,0.9079287516783189,0.9555507161115799,0.9948412748911076,0.9950341679981684,0.996079108272176,0.9996749847914809,0.9999403417854795,0.9999504258477405,0.9999990607667409,0.9999990841127785,0.9999998229196624,0.9999998248025416,0.9999999799267516,1.0000000000000004
GrossEnrolmentRatio,0.38028735635547434,0.5098944596860151,0.510127807821629,0.5695425393394374,0.5700389530598613,0.5702492273247596,0.6112164547188803,0.6498508887832342,0.6632509249611563,0.6645697010185869,0.8779720910498843,0.8872873515540025,0.9594391947843187,0.9960040463164086,0.9973456198955462,0.9998353137572097,0.999865060553311,0.9998776784089924,0.9999821155172907,0.9999853860373832,0.999995268481167,0.9999964700306335,0.9999999999999998
HighTechnologyExports,0.05659531687609572,0.1919112015967195,0.1919473062076779,0.23748280573521316,0.258459508850325,0.3671175457929091,0.36953816001443796,0.5865080077605234,0.9714648502099918,0.9889130936365711,0.9908983302770362,0.9984292789508821,0.9987017210407073,0.9990690559851789,0.9993182238052267,0.9999195793582627,0.9999516710607224,0.9999877340961422,0.9999933771105342,0.9999936250366105,0.9999999155845085,0.9999999932622221,0.9999999999999991
GINIindex,0.3120588344618887,0.3623052278509748,0.5236223415014583,0.623869843677719,0.9448763059919274,0.9505046795418921,0.9513559769351019,0.9546392111765496,0.9553796824114404,0.9656575040116251,0.9659267710869333,0.9708652978035737,0.9708658073803302,0.9723580343636661,0.9734762750573318,0.9735782684881351,0.9753554409473179,0.9762791339121034,0.9993388960359849,0.9999173427736784,0.9999973205798243,0.9999976797008164,0.9999999999999999
IncomeShareLow20,0.2320665507242939,0.2594643792826943,0.44767072894841564,0.595438757238111,0.9485128614243679,0.9587269556118596,0.9588275709217249,0.9650168000639264,0.9650574981015614,0.967983674813493,0.9695678193826265,0.9733877429651179,0.9734149277040267,0.9739720888239576,0.9747803171179169,0.9757466217612152,0.9777158101146171,0.9782937473304594,0.9994882296130915,0.999922655015738,0.9999940334946928,0.9999979135876262,0.9999999999999989
