,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
C,0.656739347839282,0.5996376006948323,0.39459470016177,0.17588687078190404,-0.021690393939658225,0.058235737300189126,-0.008615250012918919,-0.006446158122925389,0.0063943592614701585,0.018470853828000778,-0.015908430177285965,0.022512240254001028,0.019189278335192555,-0.0068227432282082995,0.025721684678098586,-0.0035957532746802284,-0.012290933669950519,0.06389095629125557,0.00014905736243159796,0.015416820447981075,0.06715683148782634,-0.08536572996259238,-0.0031522130813503215
C_Test,0.5383922961791323,0.2672220119649982,-0.5814399912789541,-0.2620642508944032,0.1516413465276548,-0.07532511294566592,0.054607237475424286,-0.03398921486828822,-0.042387009813020744,-0.11717658875113478,0.021898328092936067,0.05833723133812265,-0.18546629222321426,0.2593671549842301,0.27215999701484966,-0.03622544928582492,-0.0058086051540749825,0.051289059119232726,0.0022999635379309007,0.0003538573938632253,-0.005574015600709745,-0.00035976844264247915,-0.002587019479439889
Html,0.7454223800617747,0.4644795010425246,-0.31894879861629316,-0.17243420997128384,0.07302896110165187,-0.063605999245863,0.020771802293238675,0.020407069498791185,-0.08774402640510799,-0.025880298604174973,0.12546737402669111,-0.09653284837445329,0.030890453603596685,0.07339022857213458,-0.16287403357514038,0.055725417195549555,0.012618866733431575,-0.059747987483907555,0.019110428072387425,0.11183622737052462,0.02277092903710319,0.013522966281990902,0.014471959478575684
Html_test,0.5152315425768826,0.6878386223375725,0.4152410796981513,0.2121990314983509,-0.04786128445338104,0.07297138088015571,-0.04119177050619818,-0.028660416897931047,0.008578500932677542,0.010326059271495427,-0.08568919545605086,0.05605959588458852,-0.007795843249251516,-0.0504099724320962,0.09960113654081852,-0.03801825722396326,0.017434697922465495,-0.060565933301796625,0.01303435210695691,0.04101100146575163,-0.01850199367013816,0.038177483549881305,-0.03962456888169715
Java,0.7878536909108674,0.5164736292347326,0.19706380966415865,0.07952963303314772,0.005084672786554444,0.09010723147958868,0.05104955875681641,0.016984428649379827,0.022188025759412467,-0.00794650628628976,-0.005721817654373027,0.0037662080717547355,0.006332601364397757,-0.023030011627515785,-0.1175673255318742,0.046349489132372745,-0.036265079456790895,0.1836495416787982,0.020417284244023996,-0.017769394739695958,-0.03956326483345598,0.0422752263145308,0.008494818898104196
Java_test,0.5915813092077529,0.11013621704223703,-0.511917294974721,-0.20353939029423407,0.11019885715333697,0.08452686003174686,0.07186364274612785,-0.003982489112264195,0.012890211464968666,-0.3124954671872045,-0.10427860421821766,0.2932278229586077,0.11058363072003995,-0.30718231395011014,-0.019445780222326136,-0.08835313362011517,0.01666041797188706,-0.008796773817831862,-0.005399914891671336,-0.00793063168173719,0.003499849461792057,-0.005220679118266441,0.0028895077849458274
PHP,0.7958004770726925,0.39579875023769606,-0.2714516387876743,-0.1262213894518107,0.07250084214549755,-0.06518875878162449,0.036796085988021594,0.035182452407286444,-0.05704930593817421,-0.0076403221118726584,0.1862515932751262,-0.08406332738595734,0.044101563889232004,0.1019508836533139,-0.18420163369406267,0.040746938518922714,-0.001962267285495683,-0.06408708840667937,-0.03233282927746578,-0.09624035337680564,-0.013872250076539744,-0.01672126077953701,-0.020975469193528273
PHP_test,0.5578893670591111,0.6761634488452146,0.37958677602962954,0.21729847009786094,-0.027422872868589795,0.052594932347168145,-0.03628921585741949,-0.024228533094318574,0.011715334745987925,0.032507602032093706,-0.04526342836235626,0.018506139073373236,0.0019949541668469813,0.03756889337195732,0.10516120175761748,-0.056253996059499975,0.024051980554139537,-0.1015295003626628,-0.026990600066107807,-0.04533484821288301,-0.018051111690589584,0.011095092741764822,0.038627280068385915
InternetPenetration,0.7403553852139216,-0.40062782983062967,0.2576671992838147,-0.24542224971145066,-0.06814625857557471,-0.22796409818466606,-0.08339684879094965,-0.08562238279423694,-0.037251491831290735,-0.01310331584958825,-0.006837820354907391,-0.11043900363935652,-0.23109107169298576,-0.08917073917856287,-0.03940490250560346,-0.06698723625675346,0.038889774267515866,0.008626445752936803,-0.006805645473225512,-0.030310955961328635,0.09230669076639252,0.039736201281025264,-0.0004217789786320449
InternetUsers,0.746959356274646,-0.4040359701426004,0.24188984157855517,-0.227403203036988,-0.02298650027567665,-0.2203114039303009,-0.12788684436914066,-0.07860932556702004,-0.03042671879711755,-0.016576275210764577,-0.034639682689904784,-0.12541814263915044,-0.2185651479550649,-0.11349843182919193,-0.04098459130063381,-0.06226727632687555,-0.03822508273607073,-0.016822253509645172,0.01033317598816268,0.02736780216847205,-0.09108719132197798,-0.04177875318207515,0.0013327616183993114
UploadSpeed,0.441296625617464,-0.35222288013331626,-0.1481997963137722,0.3675291489480379,0.519112667047063,0.2600346958131134,-0.2643910122184599,0.2555366631814708,0.0976164459731958,0.07073714036556919,0.04033285469025468,-0.058951846649044126,-0.017347364597481242,-0.019714468442130866,0.011248545582104363,-0.05776176446145236,-0.1609883750454154,-0.018656077051052853,-0.035372788416866606,0.006705894908066576,0.019539737783322287,0.011271173372444074,-0.00046131393674204307
Download,0.5938483987273867,-0.4759857085324914,-0.038916297436343325,0.2644388830954476,0.37458049900440277,0.222626785025927,-0.19405638444019274,0.2467954819839032,0.10628949301764448,0.06473679120848409,0.009456865755679927,0.017231206315401572,-0.03792549395060029,0.01998186223306545,-0.0015917570857045431,0.041158106606807125,0.19756163105190733,0.014104483679642949,0.0440334588692433,-0.0020970565798917695,-0.015122760530039227,-0.009470698270871145,-0.0003021973721526377
FixedBroadbandSubscriptions,0.7611624912006063,-0.4354552177268914,0.2025539850053605,-0.12754193133120525,-0.045468776771882324,-0.12716867868385623,-0.12205694203147409,0.017392630938963424,-0.09158658936317114,-0.08900048630079602,-0.01614144428240102,0.10244176995735063,0.06797309633043473,-0.07425356866676372,0.15522553985182824,0.2744693672349111,-0.05047067717444005,-0.031169904957854627,0.0019813709212126627,-0.008932123187366149,0.005280425892206038,0.0040479855144616,0.0015660942731060754
ChargesIntellProperty,0.26276247653773205,-0.24334727954093785,0.10979770552246831,0.06628314775183768,0.12577299051216384,0.16993213637400806,0.7852064344423672,0.25159223733542396,-0.1049803843558552,-0.11311275789891947,-0.22840113291807845,-0.229181718976044,-0.024931129996056227,-0.013567922286866462,0.026190929969760968,0.01871369136340264,-0.004454891985372408,-0.019010517665497426,-0.0029852669642064017,-0.0009214210917486543,0.0015460955391925573,-0.0017181802373907786,-0.0007314215930353885
GovernmentExpenditureOnEducation,0.053771256118608037,-0.07271445112145682,0.13178265557502428,-0.39653316867277605,-0.10086501957717883,0.713670664905336,-0.014997198729752588,-0.30968709447735676,0.28932614510349586,-0.16063806929563226,0.2182245733946136,-0.19821846225699494,0.01388859629554766,-0.03232553594308603,0.059965627815481544,0.016289781889228847,0.0031755412548172177,-0.006973874031008018,-0.00015279410174587316,0.0008595387622932975,-4.3392155435137906e-05,-0.00039385810898616674,-0.00014168009367465076
GrossEnrolmentRatio,0.61667443303211,-0.36000986560168147,-0.015275736827200438,-0.24375137234035907,-0.022280343812962324,-0.014500836696490447,-0.202403624953015,-0.1965564398953995,0.1157585252926203,0.03631495638756249,-0.4619549653714064,-0.09651559720645309,0.2686109514340699,0.19121938063933236,-0.03662749758224798,-0.04989683218064579,-0.005454062348506511,0.003552162113617127,0.01021944755347608,-0.0018084579321924535,0.0031436354406795125,0.0010961521183274854,-0.0018788212704405054
HighTechnologyExports,0.23789770254480333,-0.3678530749098392,-0.006008711256033378,0.21339048602863078,0.14483336326658933,0.32963318543888165,0.04919973802296981,-0.46580022299917956,-0.6204489039795852,0.13209179924044961,0.04455599443919017,0.0867810386769247,0.016505819877400917,0.01916598404652262,-0.015785050524082116,-0.0245225519274805,0.005664953879744243,0.0060052506542017684,-0.0023755029766273994,0.0004979217572858066,-0.0025080964690518655,0.0002787072183575332,-8.208396316861493e-05
