Country,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
Aruba,0.0017264916794296082,0.04925040481697851,0.17646504155101447,0.06996466351650876,0.056534068273376946,0.000875741953686468,0.07588800654534453,0.05344762103127613,0.020399149596090196,0.07907209014226567,0.10646857496904145,0.08084006819946955,0.16130440432459286,0.047622215750219805,0.0005044381168177228,0.0012780031870262374,5.3703461391268945e-05,0.003441088388857376,2.2881272135481345e-05,0.006236827013850423,0.002600393053999651,0.003154075215340775,0.0028500479412863376
Angola,0.7695554020843011,0.048746486122914184,5.860869119614454e-06,0.052311702879903194,0.0012291182683867718,0.0012138996834765488,0.033562097334085404,1.8599519420071796e-05,0.0021665197221715457,0.0019795937609844135,0.008272220743714958,0.06053843747037269,0.0008598472904250159,0.002313392973577718,0.00019156949863007313,9.031958958949542e-05,0.00018034206700136258,4.8182167816375434e-05,0.007632605366907483,2.2090450825434215e-08,0.006254205340887631,0.002822528568180194,7.046587683416403e-06
Albania,0.1227582212066416,0.12341846283561354,0.18637768269166033,0.026758575125264365,0.18376572933598828,0.023746786541590726,0.02710054225970713,0.029809442501991416,0.00927871089868539,0.05431555765139487,0.029314915271590507,0.14436494708658618,0.0017380375110971672,0.004035337454237958,0.021773588017530637,0.008656937990346671,3.42129098174714e-05,0.0006415923338771298,0.0007530481944831812,1.2540082660702758e-05,0.0011382962267319076,2.282228162902599e-05,0.0001840135908738352
Andorra,0.37423878003362354,0.04523022068158574,0.17825462862162247,0.0017540791156547863,0.0007070670583693934,0.15639850302649994,0.008007493790309916,0.002932425084833263,0.11251964618918221,0.0036894160873006208,0.016103282066677316,0.009324994463468137,0.009997983906730228,0.022206210025235897,0.003499838288135275,0.019933011862403177,0.007572675671255858,0.002704173443752982,0.0003803941803614862,0.002677155079755914,0.002748266268305793,0.018779629537214612,0.0003401255177213918
United Arab Emirates,0.16061516676714288,0.039863644690575295,5.6467295017970373e-05,0.06677888026378292,0.0649132783356762,0.42521003448601324,0.009708429319313407,2.331192841456016e-05,0.0001540510115998645,0.00984543264469642,0.0339036264681821,2.353624728994775e-05,0.11678172106870395,0.005086636514569535,0.010344114018612665,0.018555956019085555,0.02861206990032418,0.003070316714452219,0.0030750518973799656,0.0022123843057418663,5.3773484948624906e-05,0.0009628476052131554,0.00014926901326333774
Argentina,0.019317960663250422,0.0198169549627222,0.11092813547214966,0.33344582507681597,0.004503047574485439,0.009923127137832954,0.07743840389773908,0.04090761061848164,0.0009304059541578234,0.08236072680227441,0.20891548618644762,0.026344730684286593,0.01984139268304228,0.011936494591617063,0.00560364732780052,0.00990440467054315,0.00023359276838496405,0.0008949031021904419,0.015196181321776985,0.00039900529093579186,0.0009969559851635472,0.00010273675650536988,5.8270471395781204e-05
Armenia,0.3949133989821306,0.287906697558683,0.20964001732668022,0.012304901014009922,0.01942857007033128,0.014549913906415636,0.014696721331045756,0.002536339570065158,0.00033720654896275703,2.5057869418887514e-08,0.008264733934901427,0.0011996833332937834,0.0032165143275817475,0.017912391756676874,0.0021425951195890407,0.0009611653598693414,0.0002517892974655271,0.007536495872837697,0.0002385490188134488,0.0013379526882442178,0.0006059678434651901,1.836673440844803e-05,3.3466594682555472e-09
American Samoa,0.09239247655042236,0.3558095437740668,0.024296539406289765,0.040213440745335394,0.00010208582195492174,0.03254505837801036,0.0004771449935459142,0.0014226962207459046,2.951372177790302e-05,0.010055163764588837,0.00036880617587392237,0.003324159583751877,0.016050129690955064,0.017076661961319933,0.13800610389763898,0.08608281601779941,0.017886342849275667,0.06190708283763468,0.0009325869603978566,0.003591665647663685,0.0972605991766179,0.0001657079000638762,3.673924269006396e-06
Antigua and Barbuda,0.025908087556515174,0.001366879065496588,0.02391130513519326,0.01367795730264781,0.006962620646802352,0.40618831061631194,0.01059571520429793,0.17130443259832537,0.008895434952388499,0.026082414563028535,0.004110545811443028,0.0014347630648246423,0.18754739745060453,0.033485045747894335,0.06628258015154066,0.0002447451304245193,0.0002488475405692444,0.006279815287119446,0.000123161786350333,2.1877746393349356e-05,0.0011975908788306611,0.003186103530872708,0.0009443682321251419
Australia,0.42420106929121953,0.15337494147122793,0.01713118703488789,0.04935972183184353,0.04548204248884076,0.0682873515295426,0.012831954833871362,0.06936061317942334,0.003284859836455157,0.021601471721841584,0.0005232210240331161,0.047447248415500284,0.062227602778988936,0.009274118772714737,0.0019237896204909882,0.005804089449473653,0.001972642593764895,0.004949758119867424,0.0001720972509280016,0.0002210875098300771,0.000335839937317282,0.00015945063764471969,7.384067029222159e-05
