,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
C,0.6601912895692121,-0.6007780221918505,0.39050117526694145,-0.17440150770220578,-0.003386561505911829,0.03629702140114849,0.006838652079524069,0.020808281251638708,-0.017492022225353905,-0.007720773126175276,0.006915022806466715,0.006141128194228347,0.02001332904602794,0.006047663924368208,0.0112379657381951,-0.015301300779889056,0.02144455953959417,-0.063075338895656,0.011159121183045401,-0.019471653662559048,0.06137624583004013,-0.05953751120565667,0.0
C_Test,0.5403001942791532,-0.25857837342846446,-0.58826152587742,0.30457367658722373,0.11691161047555791,-0.08387021472776564,0.0391493843267153,0.01993284929187822,0.0018576640071494943,0.01943465571610238,-0.10123083912749355,-0.17172555075112897,0.34364969924743693,-0.1127389747958846,0.045679325513300076,-0.00927267683137056,0.012755675990085553,-0.03806139352586989,0.004618696459485642,0.0008607712492265967,-0.006033039747983697,-0.00016712161914942604,0.0
Html,0.7486215113247885,-0.45630733582163013,-0.325938974759328,0.20013179569538253,0.048561880519258985,-0.07526808200675225,0.012441230366453171,-0.11041871633481358,0.10579730613479692,0.11431660073604603,0.03463863197995251,0.07801775504131901,-0.078515888232675,-0.020900605920479102,-0.0915089964796696,0.003998857866079162,-0.02994550869315559,0.0451325322245211,0.0249167640155147,-0.09715805741304451,0.009584033640036493,0.011848018194335357,0.0
Html_test,0.5189919639617872,-0.6909637494407679,0.41038989597094105,-0.21415208073166556,-0.023269436600829918,0.05673532818354799,-0.04621780779014736,0.06637971309540572,-0.08042032084367493,-0.0333627075448268,-0.03045325126410687,-0.024140856906442385,0.04510756509358476,0.035489667167222856,0.07724386826185375,0.031395596908500904,-0.025209669609911098,0.042985961678774755,0.017004231579347225,-0.029038632392682538,-0.02271749095993167,0.02783673593870048,0.0
Java,0.7909486795573719,-0.5146076892766377,0.19045984618986575,-0.08138934800558872,0.018230904187591098,0.07861600209468712,0.08412419883318807,0.009072749031980446,0.014322965608424835,-0.015509370063826362,-0.00024843180048349803,0.013807370148753963,-0.09762846416268721,-0.02516265900625415,-0.08350748295855293,-0.08873796722251685,0.05846927898617884,-0.12216532742596346,0.030485125141442415,0.025364909329707735,-0.0394578703592798,0.03036256219226325,0.0
Java_test,0.5927695120485795,-0.10209480126575883,-0.5214517853608587,0.21684250101135302,0.10628946838929706,0.11728362656331298,0.1303030599811296,0.092909746208122,-0.46147620325330724,-0.08740665911542776,0.08255029238144077,-0.006723172372589809,-0.15466520894334904,0.06544014259398447,0.0632129500605959,0.0611225650436708,-0.004753495956219164,-0.010541188430559373,-0.00420384117723087,0.006409053217048545,0.0029732031467242953,-0.003345235239452402,0.0
PHP,0.7986919390485488,-0.38749839434751887,-0.27680430558636854,0.151158234346788,0.05356592953161896,-0.09190231032308592,0.051062739767184444,-0.13364882970821795,0.13938798922619244,0.1021741724123522,0.09719680782060804,0.059422142415370964,-0.06738991505906429,-0.025818812040902372,-0.12485400716465257,0.030509921756006694,0.0015314912146754255,0.050771118206037164,-0.057920125525128166,0.0718234430180368,-0.0008397826353598864,-0.013847230854649067,0.0
PHP_test,0.5616296653196422,-0.6785965491222138,0.3756523780871722,-0.21521259982103846,-0.0041664206627647655,0.02037034510687546,-0.03995397942243632,0.04612694245094208,-0.009097513625212774,-0.023155467614020334,-0.012074852116905227,-0.007226733476011167,0.0970026846710187,-0.004681818319924888,0.06449235186506656,0.0656192462490659,-0.03096472066270864,0.072886718903216,-0.04206411688187319,0.03455219719116579,-0.009228223266232813,0.006003292043630788,0.0
InternetPenetration,0.7391452403313974,0.4106609581756852,0.26520020705959607,0.27483680123480214,-0.12617253630465053,-0.13639506692627948,-0.14317685992263773,0.03159707004290175,0.043977054359085534,0.05147114688209523,-0.10178910893872146,-0.1793358502606571,-0.11781962341129522,-0.034332628154108515,0.022223776973050537,0.040800819097597286,-0.02946266639384115,-0.023361920127092095,-0.0032274681040330606,0.019553545021697386,0.07312078716653282,0.035594136818462324,0.0
InternetUsers,0.7463673278303683,0.4150350912934887,0.2513360613329624,0.2595330169986759,-0.07422041425105634,-0.13251253720668446,-0.1935505053717488,0.037134182645335266,0.030103924667369567,0.041837646653935245,-0.10896814332666377,-0.16195673925439616,-0.1433055397936008,-0.03668595754184872,0.04361385691010814,0.017182236856359872,0.03521427321540458,0.022340646165256654,0.0029415336149086918,-0.01658628304133336,-0.07095237832802036,-0.03672616725024783,0.0
