,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17
BoliInfectioase,-0.18543688166557357,-0.29482816677458396,-0.07451588533020387,0.2771686337079642,-0.3935523240820496,0.13456624622353996,0.1445580898178527,0.200509271477293,-0.24643923536530085,-0.013661754637511979,-0.1826890824422277,-0.18965661538463688,-0.5405194580582091,0.15188117481506985,-0.29416585178675897,-0.13290467077327883,-0.11194499577786979
Tuberculoza,-0.17059447966954944,0.30219119454234733,-0.462613796272533,0.4289522300772871,0.09804160291795522,0.453878452779914,-0.3369105080951221,0.01892276666967266,0.04884501322980985,0.21249444513415497,0.07179522875637771,-0.08388156808619668,-0.24567480861146787,0.0025415240217460545,0.08351003953555264,-0.07263842591138397,-0.14049435032627683
Tumori,-0.47698373479157646,0.2225757634346109,0.08327647046662308,0.206782871220716,0.04546674795568029,0.2519683547532811,0.4301001281100741,0.024465537235301815,0.4974068490188039,-0.2473564365111142,-0.07987019028241495,0.18725716802994066,0.02190473851239636,-0.1810148336159132,0.19478214178117853,-0.027469404125317096,0.011329048771708676
BoliEndocrine,-0.17071531752175537,0.3459180418123244,0.2142049264406588,0.1420106936496226,-0.3524980297354256,-0.26400657888079304,0.13297050544628924,-0.029229403664254614,-0.2030003545956254,-0.07818392458491054,0.021629171906373687,-0.24765611798720846,0.3478358825072372,-0.10855754357653098,0.48157809763333326,0.28404794986053034,-0.1347511254966143
Diabet,-0.17673639669989916,0.343348575775651,0.18673425180274505,0.13918891240529313,-0.3589373635143942,-0.26256869552380235,0.10299106415477714,-0.0432437029861914,-0.1746491030846151,-0.09138901756655668,-0.05872932738424592,-0.24083204183313667,0.37278924458681084,-0.09930680205748864,0.5018991184510796,0.26791296292113465,-0.11644753709647593
TulbMentale,-0.21100157214304563,0.0006972712524336652,0.2950758188649592,-0.11911289976056642,0.22900255005786757,0.20868516035134466,-0.10835247200381537,0.07189955393026375,-0.21397781136156993,-0.0923076216450133,0.3098525126334031,-0.47620506629680354,0.31000898041782143,-0.34932746454180674,-0.21442210004011533,0.11896977858849489,-0.29319929113565263
SistNervORL,-0.13223203892910632,0.18636673506925475,0.06825312158175685,0.04401191942868338,-0.4946980818856022,0.2993666127119403,0.21506501029248273,-0.38926704908855947,0.19500152725674214,0.3446674335147477,0.08981744563248066,-0.19449326670801975,0.3056846317818427,0.12103221409982948,-0.2309337142071083,0.17230180864779807,-0.12341803282172906
ApCirculator,-0.7386528769070423,0.4625364420988419,-0.025124404650695317,-0.012381117755134924,0.35269988991905543,-0.03299273926785923,-0.1502986206397468,0.1051327741937246,0.07325983044706923,-0.05476135977068103,0.0075045075593362254,-0.06073596166983325,-0.05485134119432178,0.09550435093000467,0.07936452152970988,-0.22145625363686985,-0.030932126143492996
BoalaIschemica,0.11137657726576648,0.18242564519033594,0.25683098534432713,0.48697565805191784,0.4119979517363221,0.24609711708833984,0.196676591795929,0.20748519063751938,-0.02028254785919349,-0.10972094507451335,-0.11512588165265276,0.014275955861909861,-0.015463714963594742,0.490639332095531,0.12335374558561928,-0.17314148851388536,0.1646291733707692
BoliCerebroVasculare,-0.7581472834465696,0.24407809105461753,-0.021170506644265192,-0.10766018986383728,0.3718796377352172,-0.224120287720465,-0.24243896570358703,-0.12193348425384838,0.01904277561049518,-0.023047149607356904,-0.07594876133418545,0.0432431981673464,-0.2116491246821162,0.07420830824926668,0.05629824841952,0.15847918265722488,0.06566219754389581
