,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17
SporulNatural,0.7739019986542562,-0.5697269247869284,0.07268512937147972,-0.017762743767458334,-0.1531507996559676,-0.057350193238828215,0.006397137281283593,-0.047682802556956616,-0.0583215090875479,0.0400433867846788,-0.009052930055739079,-0.013189541694175803,-0.02038563958826321,-0.03178279591838416,-0.09639761625287924,0.01299300226056707,0.08686668795305479
SalNet,0.2685530847402636,-0.31912595697344703,-0.39495883464444953,-0.3429818078085224,-0.19599977745816213,0.00902541277995108,0.41782373059089417,-0.24559265095798094,0.08887297563691533,0.08688750989406996,0.16154106335331897,-0.22214153144541388,-0.13773570499158927,0.18838853599455957,0.06116210660449539,0.09353657546942881,0.2848842615277851
RataSom,-0.6355278009160338,0.08726551366586205,0.05656085811311153,0.18464166748508382,0.35894632891926515,-0.12167090272041034,-0.3662210587772043,0.10705655984948974,0.16031290328946285,0.12365639026099201,0.03264041200706472,0.08396921520290658,-0.09090394675099338,-0.2062086321948026,-0.16701466974807302,-0.03520004742280761,0.14549770923014232
RataAbScolar,-0.26731619196982215,-0.2130961359639062,0.30698917019407407,0.010354211911658003,0.17329359538873884,0.23958563237117028,0.03437975422390294,-0.2282045250931754,-0.25715309367414124,0.31532730067940984,-0.08708646773266897,-0.04657268748238315,0.3428961289083721,-0.33909494818358804,0.222981264808371,-0.1844910708988911,-0.19203190345787496
RataInfract,0.0313977814498468,-0.3108520620192064,-0.32185966592966087,-0.0026515863086111614,-0.21658821929474953,-0.3207762241608481,0.2443905932209854,0.12618790567023958,0.21844857159100373,-0.0037925075463594773,-0.10693323196181909,-0.13118636615577722,-0.25485490467878275,-0.3835138894180302,0.15646387303905043,-0.38769066037415667,0.19004637556351578
EmigrantiDefinitiv,-0.2002104477717569,-0.3934743309514203,-0.3483493499427493,0.35983743858854617,-0.497171905545367,0.27166661255946273,0.17247446902922112,-0.013958587515342225,0.017874091300692584,-0.00572610862417675,0.1837226661968391,-0.0863627090356537,-0.1529075643029902,-0.16035736761621738,-0.11778649853457783,-0.18986859975075995,0.0449316769949792
EmigrantiTemporar,-0.6966940322092787,0.38799784281522115,0.2695549464487985,0.11752492876701771,0.13060049636770193,0.07191532318179734,-0.33672072945695997,0.1361100450065475,0.04017059541192829,-0.11713801859300882,-0.08330404299798363,0.033671245397392816,-0.09251439306016912,-0.09016130918107375,0.17077734751584317,-0.09700205187073276,-0.07433430987454814
AjutorSocial,-0.6121954040103919,0.06991611092185258,0.21216023528611827,0.11171850740021828,0.3793103410740645,-0.03829442332284016,-0.2810175403965564,0.1947817176207346,0.15016303024968108,0.22344120435794884,0.165603388568182,0.13562636548654702,0.10533730764382299,-0.24910224228950237,-0.17171998413190756,-0.0069312128286574196,0.08823250237465254
NrPaturi,0.15616966392625103,-0.33810727830460546,-0.2680007349315653,0.08200876300129996,0.07490648367173906,0.22836589433079227,0.3669635149157,-0.2734717651438796,-0.05287305071557611,-0.05456240664903549,-0.29057121193429863,0.1574728839807066,-0.20460993021843638,-0.08647677878157944,0.1030912165478851,0.24997483910922635,0.3467285778281055
NrMedici,0.2672218882425353,-0.3319513691025337,-0.315216829665783,-0.23930287324915966,-0.0789272034610284,0.3737990088215904,0.2658274844924555,-0.2654502139367143,0.1232242557538365,0.13307341763940905,-0.10791503428342696,0.0023231180947419633,-0.19936720897456142,0.0026859364743430283,0.1649162720682281,0.20653009606264391,0.3749064865543631
