Siruta,Localitate,Divorturi,Casatorii
10195,Bocsig,5,0
11236,Hasmas,2,1
22111,Damienesti,4,3
36202,Avrameni,9,7
36300,Baluseni,7,1
38241,Mihalaseni,4,0
40035,Adaseni,3,2
42076,Ticusu,4,1
51662,Brebu Nou,1,0
64504,Malnas,2,1
66580,Cobia,3,1
70520,Afumati,3,0
74108,Seaca De Camp,4,3
75356,Beresti-Meria,7,3
76558,Grivita,7,5
76932,Oancea,1,0
77126,Scanteiesti,3,1
77509,Varlezi,3,0
82396,Telesti,9,8
87246,Banita,2,0
90342,Orastioara De Sus,1,0
91624,Totesti,3,0
91731,General Berthelot,2,0
117925,Livezeni,10,7
120174,Vetca,2,0
127411,Leleasca,2,0
127938,Orlea,2,0
152314,Bujoru,3,2
153909,Rasmiresti,1,0
154521,Talpa,4,0
155092,Beuca,4,1
160323,Dorobantu,2,1
166182,Tanacu,5,3
168130,Oras Ocnele Mari,3,0
168675,Berislavesti,4,0
168791,Budesti,5,3
169583,Fauresti,3,0
170097,Ghioroiu,3,1
170168,Glavile,3,0
170220,Golesti,1,0
170514,Ionesti,5,0
170685,Ladesti,2,0
170952,Lungesti,1,0
171101,Maciuca,1,0
171272,Maldaresti,1,0
171539,Muereasca,2,1
171628,Nicolae Balcescu,2,0
171879,Orlesti,4,0
172279,Pesceana,3,2
172812,Runcu,1,0
172947,Scundu,1,0
173132,Stanesti,1,0
173597,Sutesti,2,0
174156,Vladesti,2,0
