Siruta,Localitate,NascutiVii_1000loc
177655,Slobozia Bradului,33.840734683608
64942,Valcele,27.77777777777778
150891,Valea Moldovei,24.226110363391655
114355,Cristesti,23.21541377132028
41701,Racos,23.142857142857142
40526,Apata,23.098591549295776
141027,Dragu,22.89512555391433
151558,Voitinel,22.731885528719303
66697,Cojasca,22.240624630308766
42456,Crizbav,22.22222222222222
40688,Budila,21.889900303424362
145042,Mihaileni,21.602160216021602
61737,Dobromir,21.112696148359486
180064,Barbulesti,21.064617136350698
162381,Bacesti,20.77706212341575
42498,Augustin,20.761245674740483
86487,Porumbeni,20.624008461131677
74842,Catane,20.090406830738324
57706,Floresti,19.600184639420515
138805,Sauca,19.53125
149833,Patrauti,19.513101653967663
41943,Soars,19.507663725034835
151442,Iaslovat,19.457013574660632
48968,Ramnicelu,19.40359477124183
179846,Coltau,19.18204849800941
123255,Oniceni,19.03485254691689
101984,Clejani,19.03162608452281
118575,Ogra,19.011406844106464
97722,Lungani,18.95435160322224
179784,Boranesti,18.945634266886326
40768,Cata,18.799710773680406
100219,Voinesti,18.774703557312254
107868,Coroieni,18.76563803169308
22059,Cotofanesti,18.75862068965517
63300,Cuza Voda,18.56520742608297
157273,Giera,18.50582590815627
145140,Nocrich,18.28537170263789
157834,Mosnita Noua,18.22293163075286
145408,Rosia,18.021140183677005
159455,Saravale,17.953929539295395
108598,Repedea,17.93631600161225
139054,Terebesti,17.904160084254872
40857,Comana,17.897819720143183
112030,Gruia,17.745645744331252
29341,Dragesti,17.64480245492904
179249,Chiajna,17.644309418088337
26118,Vultureni,17.610661589719182
107118,Baita De Sub Codru,17.6
125123,Valeni,17.56668835393624
29724,Ineu,17.551190973673215
120254,Vanatori,17.527675276752767
138770,Sacaseni,17.488076311605724
114970,Acatari,17.45273218366923
151521,Burla,17.38024586689275
22941,Horgesti,17.36484067311135
159375,Checea,17.36274049741905
42003,Tarlungeni,17.317414219640746
147633,Oras Cajvana,17.316017316017316
26083,Valea Seaca,17.285088730122148
70637,Amarastii De Jos,17.173524150268335
175787,Corbita,16.99561403508772
83963,Capalnita,16.941176470588236
61069,Oras Baneasa,16.792323509252913
36131,Albesti,16.647531572904708
136713,Acas,16.561775422325272
128613,Scarisoara,16.54996817313813
63866,Belin,16.49620587264929
144376,Bradeni,16.483516483516482
144615,Hoghilag,16.467682173734048
120174,Vetca,16.455696202531644
135547,Sotrile,16.403220996122876
179533,Oras Popesti Leordeni,16.356397288281503
115307,Bahnea,16.31452259962557
32704,Budacu De Jos,16.272643536997236
105419,Stefanestii De Jos,16.243354991139988
118511,Neaua,16.242937853107346
97875,Mironeasa,16.201309893140298
42156,Ungra,16.199649737302977
41382,Maierus,16.194331983805668
45539,Braesti,16.181229773462782
42058,Teliu,16.150740242261104
164981,Oras Murgeni,16.150415812944438
144651,Iacobeni,16.11459265890779
124885,Valea Ursului,16.113965436711815
7197,Scarisoara,16.05231866825208
98202,Mosna,16.051364365971107
144713,Jina,16.03206412825651
63161,Dumbraveni,16.01423487544484
166869,Voinesti,16.00590987441517
19338,Titesti,15.987521934100215
111783,Garla Mare,15.969162995594713
24999,Rosiori,15.95298068849706
138869,Socond,15.943012211668927
180019,Sarateni,15.936254980079681
164062,Garceni,15.934706568208318
151576,Berchisesti,15.92680447305998
63633,Barcani,15.90852597564007
120218,Viisoara,15.906680805938494
34262,Rebra,15.890213073311665
179962,Galbinasi,15.838339705079191
142854,Samsud,15.812431842966195
161561,Valea Teilor,15.779092702169626
108918,Salsig,15.776699029126213
85243,Ocland,15.765765765765765
150418,Sucevita,15.75795776867318
74875,Cotofenii Din Fata,15.720081135902637
118469,Nades,15.682349015682348
148426,Dumbraveni,15.634706978670533
144349,Brateiu,15.628876209377326
98435,Popesti,15.610981518033375
63326,Gradina,15.570934256055363
99673,Tibana,15.531368472544942
113395,Punghina,15.520389531345101
23948,Orbeni,15.396264512872287
39959,Dimacheni,15.395381385584324
140501,Chiesd,15.372790161414297
146325,Mitocu Dragomirnei,15.354713313896987
114453,Santana De Mures,15.352407536636427
142426,Romanasi,15.320778806255985
16659,Hartiesti,15.283842794759826
77561,Radesti,15.267175572519085
50326,Viperesti,15.262860373092142
62903,Seimeni,15.23980277902286
119858,Taureni,15.212981744421906
75766,Brahasesti,15.18548715858133
113894,Vanjulet,15.184381778741866
179221,Oras Bragadiru,15.180596754493108
21249,Beresti-Bistrita,15.138023152270703
143888,Altina,15.135135135135135
62798,Rasova,15.120451050743208
169119,Caineni,15.11535401750199
51387,Berliste,15.103338632750397
67167,Crangurile,15.09433962264151
117042,Ghindari,15.039811265113535
143557,Selimbar,15.022154976764293
155314,Giroc,14.980265518478651
116224,Cozma,14.8975791433892
62280,Mircea Voda,14.892032762472077
76406,Ghidigeni,14.851485148514852
161945,Municipiul Vaslui,14.82288939373873
45245,Bisoca,14.806789454676778
84656,Lunca De Jos,14.801762114537445
92765,Oras Tandarei,14.712806026365348
103238,Ghimpati,14.705882352941176
115183,Apold,14.701282452299031
85289,Plaiesii De Jos,14.700735036751837
34645,Sieu,14.696058784235136
117113,Glodeni,14.694095645204381
146860,Arbore,14.692256783587029
64041,Bradut,14.682850430696947
144508,Carta,14.655172413793103
74732,Vartop,14.654161781946073
151095,Oras Vicovu De Sus,14.6513353115727
86495,Racu,14.643075045759609
101519,Bulbucata,14.630577907827359
15402,Cetateni,14.627659574468085
73460,Negoi,14.619883040935672
26582,Sanmartin,14.610689846495283
32599,Oras Sangeorz-Bai,14.552302687895908
176944,Nereju,14.505304178393592
108712,Satulung,14.504975543936583
151479,Horodnic De Sus,14.484467314655994
120487,Corunca,14.483212639894667
107001,Ardusat,14.47178002894356
150702,Ulma,14.46099912357581
61675,Deleni,14.457831325301205
138431,Paulesti,14.445399828030954
72953,Lipovu,14.439324116743471
101083,Belciugatele,14.411901441190144
142612,Sag,14.41008706094266
104047,Letca Noua,14.382154388024656
163253,Danesti,14.375561545372866
108473,Poienile De Sub Munte,14.326089075138876
149316,Malini,14.28207090028054
27506,Boianu Mare,14.264264264264265
33177,Cosbuc,14.257620452310718
118209,Mica,14.243820695433598
33729,Magura Ilvei,14.23977951309141
153909,Rasmiresti,14.234875444839858
107270,Bistra,14.229974753270598
137443,Craidorolt,14.209591474245116
26338,Buciumi,14.18877236273905
151120,Volovat,14.183155314305726
29154,Dobresti,14.112903225806452
100344,Roscani,14.111610006414368
144731,Laslea,14.104709538608654
140440,Camar,14.101057579318448
64719,Poian,14.10039481105471
12938,Zadareni,14.094432699083862
71698,Cerat,14.091234774301409
10765,Ususau,14.084507042253522
179873,Agris,14.077897700610043
135244,Sangeru,14.07180227313729
151503,Capu Campului,14.061872237846524
40438,Municipiul Sacele,14.060290080146427
129656,Valea Mare,14.046461372231226
29813,Lazareni,14.023060143346838
103130,Ganeasa,14.018691588785046
142239,Nusfalau,14.012738853503185
115389,Band,14.00091310302846
118370,Mihesu De Campie,13.994402239104359
64906,Valea Crisului,13.991769547325102
178046,Tamboesti,13.990267639902676
113732,Tamna,13.935171160254468
41854,Sinca,13.911620294599018
25521,Stanisesti,13.909378292939937
61951,Ion Corvin,13.862332695984703
102641,Dragoesti,13.859275053304904
42183,Vama Buzaului,13.81449111925571
25932,Ungureni,13.782542113323125
23868,Oncesti,13.764213046080192
97777,Madarjac,13.73134328358209
146370,Oras Salcea,13.728668128515588
63688,Sita Buzaului,13.726695349313665
86311,Varsag,13.723150357995227
124331,Stanita,13.692377909630306
146708,Oras Solca,13.688212927756654
102945,Frumusani,13.682092555331993
136848,Oras Ardud,13.671089666264576
28497,Cherechiu,13.660104459622339
165130,Osesti,13.646922183507549
65869,Iedera,13.643254168772106
155261,Dumbravita,13.598950256471431
147134,Bosanci,13.598460551635664
141580,Ileanda,13.569078947368421
108491,Remetea Chioarului,13.551077136900625
116288,Craciunesti,13.54764638346728
25692,Tamasi,13.544018058690744
163967,Gherghesti,13.532763532763532
132379,Boldesti-Gradistea,13.528748590755356
41284,Jibert,13.528336380255942
176445,Homocea,13.513513513513514
16285,Davidesti,13.504823151125402
167240,Rafaila,13.493975903614459
149502,Moldova-Sulita,13.493975903614459
167277,Cozmesti,13.479359730412805
11423,Misca,13.467124372854503
61121,Castelu,13.463666543710808
74554,Urzicuta,13.447031813709414
34690,Sieu-Magherus,13.445007714348689
147713,Carlibaba,13.436692506459949
100273,Bals,13.424657534246576
26353,Odobesti,13.420089467263114
179944,Runcu Salvei,13.402829486224869
8014,Sugag,13.388259526261585
151567,Ciprian Porumbescu,13.376383763837639
