Judet,Casatorii,Decedati,DecedatiSub1An,Divorturi,NascutiMorti,NascutiVii
ab,2163,4621,24,607,7,3135
ag,3730,7509,37,863,24,5421
ar,3119,6085,25,497,20,4126
b,17165,22245,91,3075,65,19255
bc,4109,8569,50,979,15,6857
bh,3632,7542,49,1028,37,5838
bn,2053,3415,22,269,15,3460
br,1692,4841,13,680,14,2406
bt,2335,5860,38,629,15,4173
bv,3864,6280,45,1024,13,6260
bz,2236,6650,31,655,11,3635
cj,5091,8216,47,768,12,6953
cl,1596,4447,34,419,8,2895
cs,1903,4323,27,598,11,2296
ct,4767,7879,74,1398,32,7391
cv,1084,2450,16,311,6,2198
db,2846,6311,30,759,18,4535
dj,3769,9990,60,587,2,6214
gj,2223,4200,18,615,8,2788
gl,3667,6870,28,926,20,5107
gr,1519,4167,15,316,8,2436
hd,2530,5848,27,750,20,3651
hr,1499,3684,25,333,15,3202
if,3075,3784,28,748,16,4472
il,1428,3822,20,413,19,2668
is,5924,9066,66,1074,7,9873
mh,1703,3912,26,320,12,2296
mm,3238,5801,44,813,22,4943
ms,3086,7219,58,707,28,5829
nt,3017,6965,31,784,22,4813
ot,2262,6319,25,475,7,3264
ph,4498,10371,45,1187,33,6761
sb,2893,4682,28,727,18,4560
sj,1393,3092,21,309,13,2591
sm,2230,4458,30,581,36,3494
sv,5180,7933,74,1028,30,8124
tl,1189,3042,28,116,9,967
tm,5529,8026,51,1187,25,7178
tr,1758,6633,20,559,6,2774
vl,1344,4121,17,264,0,2799
vn,2054,4849,25,519,12,3499
vs,2779,5498,40,598,18,4908
