Siruta,Localitate,Diversitate medie
1047,Localitate_47,2.370715572204307
1078,Localitate_78,1.964169526672259
1019,Localitate_19,1.8708586712411346
1028,Localitate_28,1.7872577620374603
1075,Localitate_75,1.512557839531984
1035,Localitate_35,1.4795348187981558
1053,Localitate_53,1.4742654942991622
1096,Localitate_96,1.4158940596414344
1097,Localitate_97,1.2673087446265796
1046,Localitate_46,1.1641379769555837
1039,Localitate_39,1.1260124086568097
1043,Localitate_43,1.0508682027234457
1099,Localitate_99,0.9110285089426606
1051,Localitate_51,0.9104168155221648
1049,Localitate_49,0.899698020653072
1072,Localitate_72,0.8716879175551879
1087,Localitate_87,0.8357470252439588
1023,Localitate_23,0.8071245450316502
1016,Localitate_16,0.802427008387469
1070,Localitate_70,0.7361312470630432
1003,Localitate_3,0.6872145698021678
1030,Localitate_30,0.6567165116099297
1065,Localitate_65,0.6325167293341335
1004,Localitate_4,0.5962568948241741
1058,Localitate_58,0.5870624422446534
1011,Localitate_11,0.5863145045763447
1063,Localitate_63,0.5789599237086291
1069,Localitate_69,0.534029755228974
1084,Localitate_84,0.5291157181814198
1040,Localitate_40,0.4949199129892878
1080,Localitate_80,0.4495440710883756
1052,Localitate_52,0.4439834155661574
1074,Localitate_74,0.4378124409383252
1073,Localitate_73,0.42987978057019527
1014,Localitate_14,0.4018946045460366
1045,Localitate_45,0.3911320962532701
1027,Localitate_27,0.3494316353782695
1076,Localitate_76,0.342014494929374
1021,Localitate_21,0.32956860006055766
1059,Localitate_59,0.29529371525806664
1093,Localitate_93,0.2884763250347056
1010,Localitate_10,0.27713140668258973
1071,Localitate_71,0.2700792178186005
1034,Localitate_34,0.229314234214159
1020,Localitate_20,0.19409755073237983
1098,Localitate_98,0.1601903822971938
1036,Localitate_36,0.1150921077785219
1042,Localitate_42,0.09359216023658937
1018,Localitate_18,0.049219190449314935
1055,Localitate_55,0.015280329107229453
1008,Localitate_8,0.013859377371079309
1056,Localitate_56,-0.02782005407307361
1029,Localitate_29,-0.056493620967612394
1082,Localitate_82,-0.0730406974544985
1013,Localitate_13,-0.08281348575864944
1048,Localitate_48,-0.0848175618671694
1038,Localitate_38,-0.12532698903418135
1064,Localitate_64,-0.14964839610912842
1041,Localitate_41,-0.19783725493397217
1085,Localitate_85,-0.199494114720852
1001,Localitate_1,-0.2088356147493698
1094,Localitate_94,-0.22741572673412166
1012,Localitate_12,-0.24049950573156473
1033,Localitate_33,-0.29392340815605944
1081,Localitate_81,-0.31205440249474037
1060,Localitate_60,-0.31287626354424397
1026,Localitate_26,-0.3557436166539981
1066,Localitate_66,-0.3786624714172531
1002,Localitate_2,-0.39353652424583246
1089,Localitate_89,-0.4198455154466572
1017,Localitate_17,-0.4227693672221915
1050,Localitate_50,-0.4569781576093706
1067,Localitate_67,-0.4642908372168228
1005,Localitate_5,-0.5084314415352401
1088,Localitate_88,-0.5659171874498307
1092,Localitate_92,-0.642263582900817
1031,Localitate_31,-0.6627401630349512
1086,Localitate_86,-0.6811450346971546
1022,Localitate_22,-0.7386028215588053
1061,Localitate_61,-0.7968219477202104
1024,Localitate_24,-0.8646348757410489
1090,Localitate_90,-0.8757369935013022
1025,Localitate_25,-0.9284612697944652
1007,Localitate_7,-0.9312334212591502
1057,Localitate_57,-0.9461563536194904
1077,Localitate_77,-0.948916946424086
1006,Localitate_6,-0.9553107486551727
1015,Localitate_15,-1.0292674678716203
1054,Localitate_54,-1.0293128753090772
1079,Localitate_79,-1.0634527314288236
1037,Localitate_37,-1.066466345074384
1044,Localitate_44,-1.2048317640469557
1091,Localitate_91,-1.2133039420863543
1083,Localitate_83,-1.4222388301590814
1068,Localitate_68,-1.443179162381817
1062,Localitate_62,-1.470720497749084
1100,Localitate_100,-1.6059938699029819
1032,Localitate_32,-1.668960967052533
1095,Localitate_95,-1.7556520616675473
1009,Localitate_9,-1.8949533975788309
