Siruta,Localitate,Diversitate medie
1076,Localitate_76,7.007454808902254
1020,Localitate_20,6.722319708390984
1058,Localitate_58,6.47875601863398
1083,Localitate_83,6.362461271175114
1018,Localitate_18,6.311988162036651
1029,Localitate_29,6.261265769345345
1038,Localitate_38,6.1812235053204345
1009,Localitate_9,6.03675397182229
1034,Localitate_34,6.0318489978885115
1039,Localitate_39,5.985272029093807
1028,Localitate_28,5.983027507867903
1078,Localitate_78,5.963191279558694
1037,Localitate_37,5.960989220243015
1094,Localitate_94,5.913646579940957
1072,Localitate_72,5.8871090232749355
1052,Localitate_52,5.862671747144394
1097,Localitate_97,5.86073380072772
1082,Localitate_82,5.854651306693525
1035,Localitate_35,5.8427534722949535
1066,Localitate_66,5.769312533417483
1014,Localitate_14,5.768544237373715
1019,Localitate_19,5.768136681856656
1074,Localitate_74,5.661170255000706
1085,Localitate_85,5.616593811373643
1054,Localitate_54,5.5663659443141995
1032,Localitate_32,5.559362600114009
1049,Localitate_49,5.530740876402528
1007,Localitate_7,5.523353474700819
1057,Localitate_57,5.519993100864691
1055,Localitate_55,5.498458226852301
1088,Localitate_88,5.466479460905442
1004,Localitate_4,5.441323268683542
1096,Localitate_96,5.302029900044494
1040,Localitate_40,5.272377052024337
1081,Localitate_81,5.264678686940561
1084,Localitate_84,5.252929453305647
1036,Localitate_36,5.241370959697819
1016,Localitate_16,5.231676674434858
1030,Localitate_30,5.226556899894812
1098,Localitate_98,5.218476526815925
1073,Localitate_73,5.1821458498416035
1001,Localitate_1,5.169031041045173
1012,Localitate_12,5.1639992715176275
1087,Localitate_87,5.123095528859388
1099,Localitate_99,5.100734748785383
1010,Localitate_10,5.083412883083204
1079,Localitate_79,5.0511027859252255
1026,Localitate_26,5.041115228319842
1071,Localitate_71,5.039853172649578
1068,Localitate_68,4.996315043367992
1017,Localitate_17,4.991527770484509
1042,Localitate_42,4.981952627708404
1059,Localitate_59,4.8649146852337255
1089,Localitate_89,4.831673892600944
1047,Localitate_47,4.809287925805617
1022,Localitate_22,4.7468985031340125
1070,Localitate_70,4.742711473896837
1015,Localitate_15,4.73060820087901
1056,Localitate_56,4.69709203428075
1053,Localitate_53,4.683999283000602
1100,Localitate_100,4.640319270885697
1086,Localitate_86,4.631633754095268
1061,Localitate_61,4.63130410166012
1006,Localitate_6,4.591654444735096
1051,Localitate_51,4.583158927415449
1041,Localitate_41,4.576336021153303
1025,Localitate_25,4.570351872574808
1075,Localitate_75,4.550511591421244
1023,Localitate_23,4.540106803932105
1003,Localitate_3,4.534847869277117
1080,Localitate_80,4.530393971516337
1095,Localitate_95,4.527929056544008
1060,Localitate_60,4.48906599417627
1063,Localitate_63,4.43797114665349
1031,Localitate_31,4.4249792878091245
1091,Localitate_91,4.32492261163585
1064,Localitate_64,4.295898975684086
1067,Localitate_67,4.2931536153203655
1044,Localitate_44,4.2531259435240925
1024,Localitate_24,4.140939774493116
1090,Localitate_90,4.054281169802484
1045,Localitate_45,4.019697301039907
1027,Localitate_27,4.010015839058765
1048,Localitate_48,4.003850755642395
1011,Localitate_11,3.9704484499331447
1050,Localitate_50,3.95578050712326
1046,Localitate_46,3.935459011282203
1013,Localitate_13,3.921723012858131
1093,Localitate_93,3.9156558475979284
1021,Localitate_21,3.89146043731382
1065,Localitate_65,3.8566874820935877
1005,Localitate_5,3.80624251450606
1069,Localitate_69,3.804896349486274
1077,Localitate_77,3.728145829472027
1033,Localitate_33,3.679701768882981
1062,Localitate_62,3.590382130795079
1092,Localitate_92,3.511428022104498
1008,Localitate_8,3.3597288593362697
1002,Localitate_2,3.2673205588515346
1043,Localitate_43,3.1989346533689385
