Judet,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Judet_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judet_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
