Siruta,Localitate,Categorie
1017,Municipiul Alba Iulia,Femei_45-64
1071,Ciugud,Femei_65_
1151,Oras Abrud,Femei_35-44
1213,Municipiul Aiud,Femei_35-44
1348,Municipiul Blaj,Barbati_25-34
1455,Oras Campeni,Femei_35-44
1696,Oras Cugir,Femei_35-44
1794,Oras Ocna Mures,Femei_35-44
1874,Municipiul Sebes,Femei_35-44
1936,Oras Zlatna,Femei_35-44
2130,Albac,Femei_35-44
2309,Almasu Mare,Femei_35-44
2381,Arieseni,Femei_35-44
2577,Avram Iancu,Femei_35-44
2915,Oras Baia De Aries,Barbati_25-34
2988,Berghin,Femei_35-44
3039,Bistra,Femei_35-44
3397,Blandiana,Femei_35-44
3459,Bucium,Femei_35-44
3761,Cenade,Femei_35-44
3805,Cergau,Femei_35-44
3841,Ceru-Bacainti,Femei_35-44
3958,Cetatea De Balta,Femei_35-44
4008,Ciuruleasa,Femei_35-44
4106,Calnic,Femei_35-44
4142,Cricau,Femei_35-44
4188,Craciunelu De Jos,Femei_35-44
4240,Daia Romana,Femei_35-44
4268,Dostat,Femei_35-44
4302,Farau,Femei_35-44
4366,Galda De Jos,Femei_35-44
4482,Garbova,Femei_35-44
4525,Garda De Sus,Femei_35-44
4703,Hoparta,Femei_35-44
4767,Horea,Femei_35-44
4927,Ighiu,Femei_35-44
4981,Intregalde,Femei_35-44
5103,Jidvei,Femei_35-44
5167,Livezile,Femei_35-44
5210,Lopadea Noua,Femei_35-44
5309,Lunca Muresului,Femei_35-44
5336,Lupsa,Femei_35-44
5577,Metes,Femei_35-44
5700,Mihalt,Femei_35-44
5755,Miraslau,Femei_35-44
5826,Mogos,Femei_35-44
6048,Noslac,Femei_35-44
6119,Ocolis,Femei_35-44
6164,Ohaba,Femei_35-44
6217,Pianu,Femei_35-44
6271,Poiana Vadului,Femei_35-44
6397,Ponor,Femei_35-44
6468,Posaga,Femei_35-44
6547,Radesti,Femei_35-44
6592,Rametea,Femei_35-44
6627,Ramet,Femei_35-44
6761,Rosia Montana,Femei_35-44
6930,Rosia De Secas,Femei_35-44
6976,Salciua,Femei_35-44
7044,Salistea,Femei_35-44
7099,Sasciori,Femei_35-44
7197,Scarisoara,Femei_35-44
7348,Sancel,Femei_35-44
7384,Santimbru,Femei_35-44
7446,Sohodol,Femei_35-44
7767,Stremt,Femei_35-44
7810,Sibot,Femei_35-44
7865,Sona,Femei_35-44
7945,Spring,Femei_35-44
8014,Sugag,Femei_35-44
8096,Oras Teius,Femei_35-44
8158,Unirea,Femei_35-44
8229,Vadu Motilor,Femei_35-44
8354,Valea Lunga,Femei_35-44
8425,Vidra,Femei_35-44
8826,Vintu De Jos,Femei_35-44
9019,Cut,Femei_35-44
9026,Bucerdea Granoasa,Femei_35-44
9262,Municipiul Arad,Femei_35-44
9280,Fantanele,Femei_35-44
9333,Livada,Femei_35-44
9360,Sofronea,Femei_35-44
9397,Vladimirescu,Femei_35-44
9459,Oras Chisineu-Cris,Femei_35-44
9495,Oras Curtici,Femei_35-44
9538,Oras Ineu,Femei_35-44
9574,Oras Lipova,Femei_35-44
9627,Oras Nadlac,Femei_35-44
9654,Oras Pancota,Femei_35-44
9690,Oras Sebis,Femei_35-44
9743,Almas,Femei_35-44
9798,Apateu,Femei_35-44
9832,Archis,Femei_35-44
9887,Bata,Femei_35-44
9930,Beliu,Femei_35-44
10006,Birchis,Femei_35-44
10051,Barsa,Femei_35-44
10104,Barzava,Femei_35-44
10195,Bocsig,Femei_35-44
