Country,Continent,Code,2000,2005,2010,2015,2018,Consum mediu,Clusters
Afghanistan,Asia,AFG,6.100908455,6.130813329,0.21,0.21,0.21,2.572344356800001,C1
Albania,Europe,ALB,6.57,7.65,7.69,6.74,7.17,7.164,C2
Algeria,Europe,DZA,0.58,0.81,0.65,0.93,0.95,0.784,C1
Andorra,Africa,AND,13.28,12.55,11.11,11.01,11.02,11.794,C2
Angola,Oceania,AGO,2.76,4.89,8.16,7.96,6.94,6.142,C2
Antigua and Barbuda,Europe,ATG,5.13,5.37,5.6,5.89,6.38,5.674,C2
Argentina,Africa,ARG,8.75,8.66,6.139738533779761,9.55,9.65,8.549947706755951,C2
Armenia,Americas,ARM,4.23,5.79,5.69,5.84,5.55,5.42,C2
Australia,Australia,AUS,11.72,12.08,12.39,10.83,10.51,11.505999999999998,C2
Austria,Americas,AUT,13.12,12.79,12.2,12.07,11.96,12.428,C2
Azerbaijan,Americas,AZE,3.45,1.81,2.97,4.58,4.41,3.444,C1
Bahamas,Asia,BHS,5.58,4.28,4.12,4.55,4.78,4.662000000000001,C2
Bahrain,Americas,BHR,1.74,1.76,1.69,1.3,1.09,1.5159999999999998,C1
Bangladesh,Oceania,BGD,0.23,0.16,0.16,0.021,0.019,0.11800000000000002,C1
Barbados,Europe,BRB,7.11,7.4,7.95,9.33,9.69,8.296,C2
Belarus,Asia,BLR,15.17,15.3,17.43,12.0,11.45,14.27,C2
Belgium,Americas,BEL,12.49,13.13,11.4,11.82,11.08,11.984,C2
Belize,Asia,BLZ,5.55,7.16,7.08,6.74,6.22,6.55,C2
Benin,Asia,BEN,2.46,2.23,2.47,2.97,2.81,2.588,C1
Bhutan,Americas,BTN,2.77,1.6,0.92,0.42,0.43,1.228,C1
Bolivia,Europe,BOL,3.44,4.37,5.56,4.64,4.43,4.488,C2
Bosnia and Herzegovina,Europe,BIH,6.37,7.2,7.32,6.92,7.15,6.992,C2
Botswana,Americas,BWA,9.05,9.61,8.62,6.86,6.59,8.146,C2
Brazil,Africa,BRA,8.78,8.32,8.49,7.86,7.42,8.174000000000001,C2
Bulgaria,Asia,BGR,11.8,11.42,11.32,12.34,12.65,11.905999999999999,C2
