Judet,Dominanta,CA
ab,Alimentara,169746.51013797842
ag,ConstructiiMasini,897793.949898182
ar,ConstructiiMasini,173699.49770887103
b,Energetica,17163.278620707326
bc,Alimentara,46299.62440394753
bh,Alimentara,273102.2535273155
bn,Lemnului,82525.11837783192
br,Alimentara,17974.951838530145
bt,Alimentara,46437.40372802095
bv,ConstructiiMasini,728752.9616067801
bz,Alimentara,73464.18270892624
cj,Mobila,72364.36387691538
cl,Alimentara,35418.76153536432
cs,ConstructiiMasini,246857.77935607935
ct,Alimentara,39956.20587063551
cv,Alimentara,84813.19934924059
db,Alimentara,34390.72784717895
dj,Alimentara,51471.82022752514
gj,Energetica,27118.033627016906
gl,Alimentara,41099.63689792917
gr,Alimentara,20807.277232713655
hd,Mobila,44050.06560632439
hr,Alimentara,316839.25243284093
if,Alimentara,366312.6828566578
il,Alimentara,64311.748021075575
is,ConstructiiMasini,102625.52216863152
mh,Alimentara,4889.52495207475
mm,Lemnului,88661.86184206436
ms,Alimentara,89266.2375250855
nt,Lemnului,105788.91037000716
ot,Metalurgica,44878.83402026983
ph,Alimentara,187838.5110440056
sb,Alimentara,95011.49495675917
sj,CalculatoareElectronica,35927.84579972846
sm,Alimentara,314627.7946618717
sv,Lemnului,183711.57496068254
tl,Alimentara,20607.99011382393
tm,ConstructiiMasini,630849.8168764753
tr,Alimentara,31822.61535381084
vl,Lemnului,54908.9384708404
vn,Lemnului,39778.14137408702
vs,Alimentara,58175.270652550025
