ThreeLetterCountryCode,Country,Total
AUT,Austria,30917
BEL,Belgium,27677
BGR,Bulgaria,39743
HRV,Croatia,26778
CYP,Cyprus,31725
CZE,Czech Republic,33050
DNK,Denmark,25880
EST,Estonia,21532
FIN,Finland,38343
FRA,France,26708
DEU,Germany,31645
GRC,Greece,35309
HUN,Hungary,33774
ISL,Iceland,26504
IRL,Ireland,37052
ITA,Italy,38747
LVA,Latvia,36712
LIE,Liechtenstein,29674
LTU,Lithuania,31043
LUX,Luxembourg,26784
MLT,Malta,30881
MCO,Monaco,36768
MNE,Montenegro,35659
NLD,Netherlands,25255
NOR,Norway,34644
POL,Poland,39746
PRT,Portugal,26654
ROU,Romania,38844
RUS,Russia,25117
SMR,San Marino,30629
SRB,Serbia,24707
SVK,Slovakia,35686
SVN,Slovenia,41840
ESP,Spain,37415
SWE,Sweden,31198
CHE,Switzerland,25767
UKR,Ukraine,33370
GBR,United Kingdom,41005
