Siruta,Localitate,ActivitateDominanta
32768,Budesti,Alimentara
32768,Budesti,Alimentara
32768,Budesti,Alimentara
49153,Sahateni,Alimentara
57350,Cojocna,Alimentara
90119,Lunca Cernii De Jos,Lemnului
73736,Poiana Mare,Alimentara
147465,Bunesti,Alimentara
147465,Bunesti,Alimentara
147465,Bunesti,Alimentara
155662,Bara,Alimentara
139287,Valea Vinului,Lemnului
114710,Oras Ludus,Alimentara
122908,Grumazesti,Alimentara
131103,Oras Breaza,Textila
40991,Fundata,Lemnului
98337,Plugari,Alimentara
8229,Vadu Motilor,Lemnului
16427,Dobresti,Lemnului
16427,Dobresti,Lemnului
16427,Dobresti,Lemnului
32811,Caianu Mic,Textila
73772,Predesti,Alimentara
172082,Pausesti-Maglasi,Lemnului
49206,Sapoca,Alimentara
24631,Poduri,Lemnului
163903,Gagesti,Lemnului
106559,Municipiul Sighetu Marmatiei,Mobila
139330,Vama,Textila
139330,Vama,Textila
81987,Schela,Alimentara
81987,Schela,Alimentara
98373,Oras Podu Iloaiei,Alimentara
147526,Cacica,Alimentara
16454,Domnesti,Lemnului
16454,Domnesti,Lemnului
65609,Oras Fieni,Alimentara
122953,Hangu,Lemnului
41033,Halchiu,Lemnului
155724,Beba Veche,Energetica
49233,Sarulesti,Alimentara
49233,Sarulesti,Alimentara
16472,Dragoslavele,Alimentara
139358,Vetis,Alimentara
90208,Luncoiu De Jos,Mobila
57449,Cornesti,Lemnului
57449,Cornesti,Lemnului
65645,Motaieni,Alimentara
155760,Becicherecu Mic,Alimentara
32884,Cetate,Alimentara
32884,Cetate,Alimentara
114809,Municipiul Reghin,Lemnului
16506,Draganu,Lemnului
172153,Perisani,Alimentara
73852,Radovan,Alimentara
106620,Sarasau,Lemnului
163967,Gherghesti,Alimentara
82047,Slivilesti,Alimentara
147580,Calafindesti,Alimentara
41088,Harman,Textila
139394,Viile Satu Mare,Alimentara
98435,Popesti,ChimicaFarmaceutica
98435,Popesti,ChimicaFarmaceutica
98435,Popesti,ChimicaFarmaceutica
98435,Popesti,ChimicaFarmaceutica
98435,Popesti,ChimicaFarmaceutica
123013,Icusesti,Alimentara
24711,Racova,Textila
131210,Oras Busteni,Energetica
65681,Oras Gaesti,Alimentara
90262,Martinesti,Alimentara
155797,Belint,Lemnului
41113,Harseni,Lemnului
106648,Vadu Izei,Mobila
49313,Scortoasa,Mobila
8354,Valea Lunga,Alimentara
8354,Valea Lunga,Alimentara
16551,Godeni,ConstructiiMasini
114854,Oras Sovata,Mobila
65707,Gura Foii,Lemnului
73905,Rast,Alimentara
147633,Oras Cajvana,Lemnului
131256,Municipiul Campina,ConstructiiMasini
32955,Ciceu-Giurgesti,Alimentara
106684,Oras Baia Sprie,Alimentara
24766,Racaciuni,Alimentara
73923,Robanesti,Alimentara
155840,Bethausen,Textila
98505,Popricani,Metalurgica
131274,Poiana Campina,ConstructiiMasini
57546,Dabaca,Lemnului
147660,Ilisesti,Alimentara
41177,Hoghiz,Alimentara
65752,Petresti,Mobila
65752,Petresti,Mobila
82136,Stanesti,Alimentara
82136,Stanesti,Alimentara
82136,Stanesti,Alimentara
164062,Garceni,Alimentara
123102,Ion Creanga,Textila
16613,Harsesti,Textila
90342,Orastioara De Sus,Lemnului
8425,Vidra,Alimentara
8425,Vidra,Alimentara
8425,Vidra,Alimentara
114925,Municipiul Tarnaveni,ConstructiiMasini
57582,Feleacu,Alimentara
172279,Pesceana,Alimentara
33015,Chiochis,Textila
106746,Oras Borsa,Lemnului
147713,Carlibaba,Lemnului
24837,Rachitoasa,Lemnului
155911,Biled,ConstructiiMasini
131336,Oras Comarnic,Alimentara
73996,Sadova,Textila
73996,Sadova,Textila
16659,Hartiesti,Alimentara
114970,Acatari,Mobila
49439,Scutelnici,Alimentara
106782,Oras Cavnic,Lemnului
41248,Homorod,Alimentara
123175,Margineni,Lemnului
123175,Margineni,Lemnului
164133,Grivita,Alimentara
164133,Grivita,Alimentara
164133,Grivita,Alimentara
98603,Prisacani,Lemnului
57644,Fizesu Gherlii,Alimentara
74028,Salcuta,Alimentara
65841,Municipiul Moreni,Textila
172340,Pietrari,Alimentara
172340,Pietrari,Alimentara
155957,Barna,Alimentara
90431,Pestisu Mic,Textila
