Judet,CifraAfaceriPeLocuitor
AB,17085.768143724523
AG,34492.548020018345
AR,18658.4759867524
B,27433.92836097958
BC,3611.12773793263
BH,8826.49569106666
BN,8764.20476876968
BR,3108.2080356932083
BT,3322.480308168892
BV,20499.290310772943
BZ,9654.059232708882
CJ,8426.881920745653
CL,3651.2318420390015
CS,6545.925082026978
CT,4645.847676802416
CV,6672.53929721973
DB,4508.539713153798
DJ,10567.75100251563
GJ,8155.555191651233
GL,8493.530334504334
GR,1552.2288972683605
HD,5472.279499900357
HR,6972.93995108438
IF,17905.812647679166
IL,5306.750124345514
IS,4981.000037948552
MH,2635.715712268365
MM,7192.670868574026
MS,15745.082072824258
NT,5045.279560845656
OT,8226.659687265528
PH,9379.465496299808
SB,20711.100793451493
SJ,11488.964267538104
SM,9261.5834733106
SV,4914.444890164689
TL,6074.930095925311
TM,22690.82037774637
TR,2909.323483090684
VL,7360.691320968633
VN,4002.4336110063223
VS,2298.2256829661337
