,Variance,Proportional Variance,Cumulative Variance
F1,5.188,0.226,0.226
F2,3.535,0.154,0.379
F3,2.56,0.111,0.491
F4,2.275,0.099,0.589
F5,1.697,0.074,0.663
F6,1.585,0.069,0.732
F7,1.168,0.051,0.783
F8,1.01,0.044,0.827
F9,0.793,0.034,0.861
F10,0.746,0.032,0.894
F11,0.586,0.025,0.919
F12,0.522,0.023,0.942
F13,0.413,0.018,0.96
F14,0.327,0.014,0.974
F15,0.239,0.01,0.984
F16,0.112,0.005,0.989
F17,0.053,0.002,0.992
F18,0.037,0.002,0.993
F19,0.03,0.001,0.995
F20,0.012,0.001,0.995
F21,0.007,0.0,0.995
F22,0.0,0.0,0.995
F23,0.0,0.0,0.995
