CAEN2,F1,F2,F3,F4
1,-0.84039,-0.80786,-0.69105,1.27237
2,-0.13946,-0.45151,0.33481,0.21989
3,-0.62173,-0.24941,-0.57782,-0.58323
5,-2.04049,5.03303,3.25569,1.85521
6,0.84606,0.25399,1.93939,1.15325
7,-0.09597,0.6715,-0.29597,0.89197
8,-0.86539,0.15593,-0.42112,-0.29428
9,0.75873,0.10717,0.01054,-1.06927
10,-0.54549,-0.27068,-0.60589,-0.59795
11,-0.20107,0.50556,-0.59064,-0.66468
12,0.7931,0.89725,-0.22401,-0.6842
13,-0.54356,-0.2629,-0.62231,-0.5618
14,-0.56767,-0.26359,-0.59679,-0.5677
15,-0.50643,-0.20227,-0.58049,-0.6011
16,-0.55052,-0.33771,-0.64018,-0.59006
17,-0.62674,-0.2114,-0.51177,-0.5167
18,-0.43258,0.12255,0.06544,0.09845
19,1.29765,0.16035,-0.28371,-0.77644
20,-0.48198,-0.13635,-0.45549,-0.548
21,-0.11216,-0.01701,-0.20781,-0.39277
22,-0.57937,-0.3438,-0.49122,-0.55661
23,-0.39634,-0.27487,-0.53953,-0.56144
24,-0.30628,-0.21356,-0.30492,-0.28946
25,-0.68392,-0.36034,-0.60641,0.08377
26,-0.35694,0.13898,-0.1426,-0.5334
27,-0.48788,-0.2286,-0.53645,-0.55669
28,-0.4937,-0.36194,-0.49753,-0.34258
29,-0.56948,-0.23659,-0.42235,-0.42027
30,-0.68447,-0.65199,-0.53176,1.80876
31,-0.4975,-0.27398,-0.62868,-0.56435
32,-0.56857,-0.24085,-0.44188,-0.31701
33,-0.23224,-0.12129,-0.38888,-0.24535
35,0.29378,-0.34713,0.01439,0.45975
36,-0.52792,-0.24689,-0.60416,-0.57017
37,-1.55279,3.30376,0.38042,-0.76435
38,-0.23411,-0.57009,-0.20024,0.19989
41,-0.543,-0.42626,-0.54029,0.01705
42,-0.82205,-0.04642,-0.1445,-0.11068
43,-0.4692,-0.13346,-0.40227,-0.42712
45,-0.54499,-0.0974,-0.46092,-0.56435
46,-0.45687,-0.27302,-0.40569,0.52336
47,-0.12833,-0.10952,-0.4962,-0.81727
49,-0.68414,-0.38963,-0.09437,-0.38064
50,0.24861,0.25878,-0.4037,-0.71953
51,2.22139,-0.62445,0.04044,0.43346
52,0.14814,0.03852,0.76885,-0.53931
53,-0.51015,1.48715,2.51057,0.94348
55,-0.71472,-0.51681,-0.46585,0.90917
56,-0.29294,-0.03128,-0.41988,-0.57508
58,2.10276,-0.93099,-0.15792,0.64749
59,1.42319,1.04137,0.03712,-0.26027
60,1.18431,-1.13385,1.05687,1.53811
61,3.00432,-0.06624,1.49127,0.02336
62,0.58319,-0.1189,0.87174,-0.551
63,1.10713,-1.90497,0.75308,0.06397
64,2.11132,1.49422,-1.34324,1.31919
65,3.5663,2.73918,-2.72947,1.72382
66,-0.20619,-0.92966,3.19032,-1.65075
68,0.09408,-0.01858,0.13001,-0.80841
69,0.19125,0.49424,-0.50225,0.18399
70,1.08969,0.40227,-0.10114,-0.6232
71,-0.09328,0.00444,0.14254,-0.66929
72,-0.29479,0.09297,0.53399,0.00459
73,0.70048,-0.27371,1.41214,-0.65911
74,-1.11692,-1.46637,-0.21998,5.47108
75,-0.47373,-0.30869,-0.50859,-0.57828
77,-0.6283,0.27839,-0.15372,-0.01645
78,1.98938,-0.32688,0.36829,-0.17516
79,0.48749,0.2199,-0.16111,-0.56796
80,-0.0501,-0.47353,0.5045,0.81801
81,-0.40476,-0.34834,-0.02053,0.39294
82,0.63755,0.39285,-0.14712,-0.5595
84,1.75295,1.66042,1.74969,-0.07184
85,-0.61246,-0.45537,-0.53176,1.9802
86,-0.15033,0.28681,-0.30878,-0.64408
90,-0.84546,0.57226,0.19457,0.33526
91,-1.38264,-1.87593,1.78757,1.78025
92,1.7797,-2.16236,1.72236,0.10296
93,-0.80724,0.05179,-0.25622,-0.23619
95,-0.46283,-0.00296,-0.33914,-0.2751
96,-0.37397,0.26255,-0.3103,-0.60462
