CountryID,F1,F2,F3,F4,F5
4,-0.6297,-0.0245,0.1289,-0.27148,0.06172
8,-0.40858,0.11521,-0.22816,0.40081,-0.34902
12,-0.5064,0.02111,-0.02659,0.02052,0.01756
20,0.71582,1.02956,-0.51808,-0.83485,0.02543
24,-0.58024,-0.10281,0.0139,-0.23731,-0.05244
28,-0.04881,0.41051,-0.1335,-0.03806,-0.05984
31,-0.47102,-0.12535,-0.02225,-0.10141,0.04631
32,-0.3172,-0.06031,-0.30003,0.05014,-0.13674
36,1.40414,0.60503,-1.63328,1.52576,0.25476
40,1.28485,-0.05206,-0.41997,0.55286,0.43324
44,0.29111,0.73419,-0.19415,-0.82687,0.20912
48,0.32422,0.29605,1.05611,0.2676,2.47756
50,-0.5491,-0.03358,0.02362,-0.17794,0.07331
51,-0.46625,-0.01066,-0.06623,0.01185,-0.10683
52,-0.04274,0.2276,-0.21627,-0.37774,-0.17024
56,1.20468,0.49302,0.99219,0.40927,0.78131
60,2.25981,1.35302,-0.79676,-3.13311,-2.08418
64,-0.52688,-0.0661,-0.07984,-0.0095,-0.21723
68,-0.53414,-0.09559,-0.06048,-0.05615,-0.19159
70,-0.37905,0.11571,0.10717,-0.01174,0.33194
72,-0.39857,0.04184,-0.04031,-0.18478,-0.0299
76,-0.41595,-0.06346,-0.20712,0.00165,-0.25575
84,-0.43103,0.04656,-0.03236,-0.07728,-0.15213
90,-0.56139,-0.08312,-0.16529,0.15065,-0.45661
92,0.88954,-0.26216,0.63137,-2.09938,-2.44493
96,0.38991,-1.33288,0.29187,0.26757,1.61227
100,-0.21137,0.29725,0.30998,0.12312,0.61163
104,-0.60095,-0.10595,0.00363,-0.17513,-0.14142
108,-0.63393,-0.11139,0.04929,-0.30406,-0.12683
112,-0.37444,-0.10487,0.07976,0.12459,0.08131
116,-0.56781,-0.08603,-0.02801,-0.11288,-0.2167
120,-0.58262,-0.00997,0.06463,-0.16068,0.02922
124,1.07987,0.23475,-1.155,0.33735,-0.1008
132,-0.50509,0.0523,0.05776,-0.17187,0.08607
136,1.72899,1.22637,0.14141,-1.81664,-1.3483
140,-0.62693,-0.02973,0.11826,-0.26473,0.05584
144,-0.49803,-0.07473,-0.05382,-0.13143,-0.05069
148,-0.61296,-0.06309,0.00199,-0.07575,-0.16755
152,-0.09908,0.07826,-0.17123,0.11773,0.36492
156,-0.18476,-0.20601,-0.35657,0.49161,0.29468
170,-0.44009,-0.03205,-0.1155,-0.08558,-0.05856
174,-0.58692,-0.07617,-0.1003,-0.00876,-0.35184
178,-0.57832,-0.13059,0.05622,-0.23681,-0.06076
180,-0.62445,-0.12385,0.05303,-0.30189,-0.1017
184,-0.0339,0.30943,0.24164,-0.03925,-0.33251
188,-0.23187,0.05109,-0.06398,0.01493,0.1395
191,-0.06193,0.12212,-0.06484,0.14905,0.0072
192,-0.29432,0.18584,-0.2979,-0.15873,-0.07256
196,0.50985,0.05315,0.06879,0.0131,-1.3902
203,0.37222,0.2871,0.69897,0.64346,1.75168
204,-0.59464,-0.07723,-0.02968,-0.10644,-0.21928
208,1.67078,0.33484,-0.14218,0.84465,0.15756
212,-0.35636,0.23198,-0.22433,0.63374,-0.39921
214,-0.30371,0.00824,-0.2712,-0.02,-0.08916
