SIRUTA,F1,F2,F3,F4
1017,-0.90755,-0.99574,-0.69964,-0.3789
1071,-0.15063,-0.72312,-0.46174,-0.79844
1151,1.00542,-1.00388,-0.24213,0.02609
1213,-0.89483,-0.81174,-0.69521,-0.39374
1348,1.15629,-1.19296,-1.02235,-0.23144
1455,-0.80192,-0.40088,-0.40776,0.15643
1696,0.11147,-0.82921,-0.35199,-0.16918
1794,-1.04706,-0.57139,1.59548,-1.06235
1874,-0.71363,-0.96335,-0.60406,-0.41183
1936,-0.80328,-0.65051,-0.202,-0.26572
2130,0.04837,-0.26724,-0.40625,0.46088
2309,-0.14387,0.09579,0.27996,0.14611
2381,-0.93192,-0.32486,-0.14483,-0.42934
2577,-0.89302,-0.42327,0.44195,0.71356
2915,-0.65606,1.22819,0.261,-0.39757
2988,-0.61357,-0.00363,-0.30604,-0.08358
3039,0.64855,-0.7419,-0.33143,-1.1591
3459,0.34299,-0.62234,-0.21172,0.83233
3761,1.82119,0.27018,-0.15716,1.63008
3805,0.2787,-0.41451,-0.94546,2.15999
3958,1.82975,2.81139,-1.46391,-2.14115
4008,-0.29072,-0.59787,-0.32895,0.00959
4106,-1.37346,3.05843,-0.92164,0.60633
4142,-0.40382,-0.24786,-0.5329,-0.02919
4188,0.50966,-0.50114,-0.47138,0.06399
4240,-0.78024,-0.45507,-0.12875,0.42094
4268,-0.09605,1.40567,0.25445,0.65645
4302,-0.23246,1.71409,0.00931,0.00838
4366,0.33375,0.08156,0.03471,-9e-05
4482,0.05208,-0.50059,-0.52679,0.88729
4525,0.98531,-0.71647,-0.04742,0.39227
4703,1.23852,-0.0489,-0.45122,-0.12438
4767,-0.05427,0.12658,-1.03716,-0.6113
4927,0.05508,1.40328,-1.19137,-0.40881
4981,2.13441,1.39281,3.23962,0.06722
5103,1.57759,2.30897,-0.38527,-0.06026
5167,-0.61742,0.34135,-0.16362,0.32784
5210,-0.66655,-0.21944,-0.25365,-0.3822
5309,-0.43671,-0.20298,-0.6339,0.02806
5336,-0.495,-0.50967,-0.54079,-0.25711
5577,-0.21302,-0.61824,-0.23569,-0.59574
5700,0.07009,-0.96108,-0.07658,0.2517
5755,-0.73409,-0.7584,0.51923,-0.28065
5826,0.16608,0.40354,-0.10053,1.60212
6048,-0.14488,0.524,-0.54695,0.08275
6119,0.07986,3.81123,-2.00287,0.38968
6217,-0.93331,-0.26869,-0.37378,-0.46152
6271,0.53106,-0.03376,0.34842,0.78863
6397,2.84003,2.68964,-1.11294,1.0466
6468,-0.46461,0.66062,0.16837,-0.421
6547,0.03661,-0.64101,0.64209,1.45284
6592,2.42019,0.17,-0.95988,-0.48643
6627,1.69133,0.72057,0.29867,-2.59663
6761,-1.05588,0.16333,1.54238,-1.61913
6930,3.0979,0.16521,-1.10277,-1.30195
6976,0.66822,-0.6805,1.7432,-0.99607
7044,-0.749,-0.57597,-0.06691,0.43813
7099,-0.84557,-0.32569,0.90845,-0.46103
7197,-1.42262,1.89815,-0.08894,0.67381
7348,-0.75427,-0.0625,-0.64439,-0.25639
7384,0.00016,0.60522,-0.69301,-0.41433
7446,-0.75767,-0.41055,0.02026,-0.08878
7767,0.78145,0.16276,-1.20408,-0.70268
7810,-0.54119,-0.10998,-0.73458,-0.23564
7865,-0.48917,-0.24888,-0.31965,-0.32453
7945,-0.53376,0.76403,-0.66557,-0.26029
8014,-0.52598,-0.01161,-0.57721,-0.51778
8096,-0.66404,-0.56954,-0.55229,-0.31621
8158,-0.48141,0.32342,-0.99395,0.09052
8229,0.36518,-0.72764,-0.69277,-0.13403
8354,-0.19329,0.00879,-0.23513,0.47224
8425,-0.43664,-0.29202,0.03606,-0.2678
8826,-0.76905,-0.45103,-0.01051,-0.18459
9019,-0.06595,1.55995,-0.33233,0.54017
9026,-0.57982,-0.12987,1.32202,-1.33067
9262,-0.90351,-1.00193,-0.68396,-0.35356
9280,-0.67877,-0.54173,-0.13828,-0.24672
9333,-0.87499,-0.53381,-0.53502,-0.29299
9360,-0.24264,-0.56044,-0.59784,-0.59673
9397,-0.83144,-0.975,-0.59765,-0.39209
9459,-0.4914,-1.04782,-0.3859,1.49009
9495,0.3299,-0.77513,-0.35276,0.12571
9538,-1.07224,-0.17803,-0.45501,-0.46825
9574,-0.54384,-0.92855,-0.60284,-0.35125
9627,-0.81989,-0.76553,-0.518,-0.32303
9654,-0.99384,-0.60309,-0.18349,0.14023
9690,-0.31053,-0.97065,-0.72457,-0.42886
9743,-0.47788,-0.20903,0.20243,0.39242
9798,-0.07576,-0.10203,-0.36829,-0.52763
9832,-0.37091,-0.81131,-0.30986,0.21169
9887,-0.17111,-0.43828,1.49465,-0.46824
9930,-0.24382,-0.10283,0.23505,0.37371
10006,-0.15516,-0.6088,-0.45747,-0.20875
10051,-0.33266,-0.49243,-0.42063,7e-05
10104,-0.057,-0.44593,0.57787,0.29613
10195,2.89006,-1.14698,-1.62117,-0.09772
10239,0.18134,-0.61355,1.46472,1.14196
10293,-0.51789,-0.76646,-0.4652,-0.51008
10346,0.72142,0.5825,0.67629,-1.58876
10373,-0.58823,-1.01688,-0.24194,0.59871
10417,0.13556,-0.67333,-0.17293,0.12486
10453,-0.62489,-0.82891,0.41192,0.02949
10514,-0.59487,0.63667,0.03196,0.25769
10532,-0.79257,0.02568,0.00109,-0.7037
10649,0.74835,-0.51814,0.02171,-0.62096
10701,0.86673,-0.81176,-0.12824,-0.2776
10765,-0.3021,0.98955,0.5142,-0.0414
10827,-0.01604,-0.88408,0.02649,-0.21228
10872,-0.63782,-0.86578,-0.42091,-0.43956
10916,-0.37361,-0.41196,-0.37701,-0.24254
10943,-0.44296,-0.50738,-0.62045,-0.31038
11058,-0.14285,-0.10252,-0.405,-0.40839
11174,1.29323,-0.34861,-0.28329,-0.60065
11236,1.0047,0.15108,-0.9583,0.9624
11352,0.01097,-0.6501,-0.64159,-0.45442
11398,-0.83834,-0.62348,-0.30156,-0.33349
11423,-0.02904,-0.43555,-0.3853,-0.34439
11478,-0.36991,-0.46861,-0.46137,-0.19529
11502,0.88223,0.18249,-0.21812,-0.27739
11539,-0.25447,-0.84315,-0.39801,-0.4982
11584,-0.70279,-0.867,-0.61838,-0.33748
11637,-0.44282,0.15337,-0.42188,-0.17163
11664,-1.98864,1.26481,3.77136,-0.32079
11735,0.069,-0.65888,-0.69033,-0.00476
11762,-0.78952,1.42564,2.26966,0.09775
11842,-0.39027,-0.81807,0.30672,0.02302
11940,-0.2064,-0.59986,-0.30848,-0.40258
11995,0.58032,-0.02083,-0.68857,-0.68501
12037,-0.04436,-0.63408,-0.54364,-0.26161
12055,0.34624,-0.82224,0.00367,1.14858
12091,0.45077,1.27877,1.05523,1.22529
12126,-0.58166,-0.23804,1.3413,-0.66121
12144,-0.57785,-0.64365,-0.74056,-0.21949
12206,0.13483,-1.0367,0.48996,-0.40316
12224,-1.11076,0.82356,-0.03785,1.659
12242,-0.29129,0.7021,0.07984,0.62
12288,0.00868,2.56473,-2.01225,1.04883
12340,-0.5487,-0.7602,-0.26265,-0.0817
12368,-0.47079,-0.91571,-0.73674,-0.04932
12402,0.41728,2.0967,-0.30251,-1.85878
12457,-0.47555,-0.03112,-0.2236,-0.10019
12509,-0.58118,-0.81437,-0.27838,0.10202
12572,-0.18086,-0.677,0.55508,0.81933
12643,-0.20594,-0.40744,-0.22469,-0.48875
12689,0.09312,-0.44668,-0.58172,-0.36973
12778,0.67644,0.03728,-0.992,-1.13309
12812,-0.56381,-0.00827,-0.00891,0.38075
12849,-0.16156,-0.47989,0.11883,-0.08194
12876,2.34948,-1.61725,-1.37827,1.53771
12912,-0.78394,0.0666,-0.3507,-0.19881
12920,0.25776,-1.23093,-0.51708,0.57323
12938,-0.6246,-0.52294,-0.51048,-0.31674
13169,-0.86624,-0.86041,-0.82219,-0.17001
13187,0.08876,-1.02106,-0.52684,0.12449
13276,0.22489,-1.00628,0.10552,1.01807
13301,1.50416,1.05736,0.23776,0.7011
13365,-0.63922,-0.80301,-0.66384,-0.32267
13392,-0.77941,-0.88229,-0.67532,-0.41672
13490,-0.84544,-0.97057,-0.66997,-0.42292
13524,-0.55825,-0.71716,-0.16382,0.00263
13622,-0.95865,0.35358,-1.1771,-0.48644
13668,-0.61497,-0.72477,-0.25994,-0.20368
13757,-0.60698,-0.72882,-0.27409,-0.19846
13819,-0.61907,-0.62038,-0.62894,-0.32041
13891,0.45074,-0.75591,0.17901,0.35891
13935,-0.75273,-0.62477,-0.05658,-0.67492
13999,-0.45478,-0.62819,0.17731,0.40323
14049,1.14713,-0.57475,-0.13482,0.43966
14085,-0.66351,-0.24305,-1.03359,1.89644
14165,-0.13057,0.06378,-0.31524,-0.59815
14272,-0.88732,0.49552,-0.13989,-0.86903
14352,-0.47465,0.89965,-0.46357,0.17241
14405,1.86488,1.62862,0.93606,0.73622
14450,0.08763,0.56507,-0.47085,0.51602
14584,0.06494,-0.55585,-0.0427,-0.6525
14673,0.34785,-0.63063,0.94853,0.39571
14726,-0.11911,3.77109,-0.04565,-0.3461
14753,-0.10843,0.84548,1.88367,1.80876
14851,-0.64995,-0.43859,-0.71571,-0.35693
14922,-0.68752,1.06242,-0.8435,-0.76084
14940,-0.56491,0.20272,-0.43813,-0.43577
15064,-0.35116,0.43067,0.07186,-0.6386
15108,-0.56129,-0.72205,-0.16533,-0.19259
15233,-0.39774,-0.47063,-0.9937,0.22675
15313,-0.93844,0.80696,0.27345,0.17823
15402,0.90498,-0.52216,0.42676,0.228
15448,0.35883,0.63395,0.64351,-0.97761
15493,-0.26902,0.52544,-0.11325,-0.37835
15554,0.00417,0.86923,2.82705,-1.66854
15652,-0.57357,1.81621,-0.88075,-0.85851
15741,-0.48439,0.37414,-0.77735,-0.40518
15830,-0.20306,-0.20573,0.18892,0.85163
15901,-0.53277,-0.70491,0.5017,0.87526
15983,-0.53141,-0.46099,-0.02743,-0.30645
16132,0.52866,-1.14602,-0.45888,1.16315
16285,0.56282,-1.01174,-0.5745,0.46972
16329,-0.4201,-0.52762,1.44165,0.25644
16365,1.45299,-0.76263,0.26202,0.14549
16427,-0.42561,0.47466,0.74861,-1.23786
16454,-0.59115,-0.34366,-0.674,-0.03004
16472,-0.45664,-1.18006,1.34266,1.76012
16506,-0.4494,-0.46942,-0.69584,-0.10835
16551,-0.23967,-0.36049,-0.27099,-0.43138
16613,0.00308,0.4636,-0.29488,-0.61377
16659,0.31314,-0.79726,0.18533,1.20987
16739,-0.27114,-0.60197,0.01351,0.06807
16757,-0.37982,-0.99767,-0.13382,-0.21319
16908,-0.33046,0.5233,-0.2778,-0.4381
16944,-1.01954,0.55254,0.05693,1.14887
17049,-0.55123,0.18015,0.51369,0.30256
17101,-0.87062,-0.56419,-0.32727,0.3945
17209,0.81137,-0.70177,0.49912,-0.91514
17254,-0.80094,0.072,-0.05523,-0.41377
17334,-0.09935,0.67303,-0.19548,-0.13638
17398,0.76762,2.25342,-0.41491,-1.02605
17423,0.51283,-0.6945,-0.16679,0.12031
17496,-0.9297,0.12043,-0.3778,-0.76667
17575,-0.09083,-0.00646,1.96781,3.37331
17619,-0.71589,1.94508,-1.48745,-0.18233
17726,-0.13711,0.07874,0.42752,-1.19269
17771,3.38836,-0.47554,2.23667,1.60998
17824,0.49323,-0.22449,-0.41529,0.83169
17851,-0.22024,0.40925,0.50532,-0.68754
17913,1.4219,0.08705,1.20933,0.42383
17968,-0.11112,0.39158,-0.63103,-0.05101
18028,-0.02704,0.16074,-0.63356,-0.46948
18162,-0.25494,2.93991,-1.03194,-0.01136
18242,0.58393,-0.3353,-0.43551,-0.41685
18331,0.20247,-0.17008,0.32626,-1.15824
18411,-0.08439,0.16919,0.66339,0.97628
18475,-0.31315,-0.03511,-0.28857,-0.45856
18527,-0.5791,-0.94317,-0.40547,-0.28106
18554,2.2162,-0.51751,-1.4651,-0.34989
18581,-0.90539,0.46933,-0.31305,0.94267
18670,-0.05368,-0.77742,-0.36093,0.07464
18741,-0.18957,-0.36851,-0.10295,-0.44937
18778,-0.68905,-0.31259,-0.4144,-0.34115
18858,0.69439,-0.23152,-0.35765,-1.16739
18938,-0.31845,0.71443,-0.38799,-0.75102
19007,-0.24023,-0.27567,-0.23431,-0.35972
19114,-0.08586,0.61506,-0.71453,0.06741
19141,-0.1329,0.36615,-0.9921,0.14703
19212,0.28162,1.67046,-0.19289,-1.14507
19249,0.63447,-0.09706,1.25915,-0.40264
19338,-0.22848,0.32857,-0.37992,-0.34101
19392,0.94079,-0.82867,-0.01049,0.10822
19560,-0.66858,0.74359,-0.50573,0.92632
19631,-0.10902,0.4345,-0.64953,-0.83238
19695,-0.69647,-0.6278,-0.47775,-0.30326
19793,-0.40908,0.03734,-0.39048,0.32108
19999,-0.39696,-0.2787,-0.10275,0.04999
20048,0.67395,2.83079,-0.61961,-1.41762
20055,-1.17632,1.97027,-0.96207,-0.07784
20063,-0.48307,-0.22948,0.10217,-0.40152
20297,-0.56214,-1.08288,-0.70983,-0.41037
20313,0.05965,-1.10604,-0.72828,0.36758
20359,-0.8462,-0.69234,-0.63639,-0.38481
20411,-0.22687,-0.70492,-0.3349,-0.50802
20466,-0.71778,-0.80767,-0.60493,-0.4689
20563,-0.64176,-0.91406,-0.73486,-0.62138
20607,-0.22376,0.01643,-0.828,2.08375
20670,-0.61888,2.08994,-1.00005,-0.57325
20778,-0.52443,-0.84918,-0.71052,-0.39253
20821,-0.41873,-0.98454,-0.49081,-0.2451
20876,-0.90775,-0.7873,-0.65852,-0.4071
20910,0.15609,-0.65728,-0.72434,-0.45999
20965,-0.77369,-0.63959,-0.11145,-0.21604
21007,-0.86233,1.05932,-0.30682,-0.11395
21098,0.65313,0.11616,0.01148,0.244
