,Variance,Proportional Variance,Cumulative Variance
F1,10.437,0.337,0.337
F2,2.824,0.091,0.428
F3,2.619,0.084,0.512
F4,2.225,0.072,0.584
F5,1.82,0.059,0.643
F6,1.581,0.051,0.694
F7,1.344,0.043,0.737
F8,1.08,0.035,0.772
F9,1.01,0.033,0.805
F10,0.865,0.028,0.832
F11,0.811,0.026,0.859
F12,0.626,0.02,0.879
F13,0.577,0.019,0.897
F14,0.446,0.014,0.912
F15,0.354,0.011,0.923
F16,0.312,0.01,0.933
F17,0.291,0.009,0.943
F18,0.255,0.008,0.951
F19,0.192,0.006,0.957
F20,0.157,0.005,0.962
F21,0.125,0.004,0.966
F22,0.096,0.003,0.969
F23,0.084,0.003,0.972
F24,0.065,0.002,0.974
F25,0.058,0.002,0.976
F26,0.054,0.002,0.978
F27,0.037,0.001,0.979
F28,0.02,0.001,0.979
F29,0.011,0.0,0.98
F30,0.004,0.0,0.98
F31,0.0,0.0,0.98
