SIRUTA,Krug_CI_2008,Krug_CI_2009,Krug_CI_2010,Krug_CI_2011,Krug_CI_2012,Krug_CI_2013,Krug_CI_2014,Krug_CI_2015,Krug_CI_2016,Krug_CI_2017,Krug_CI_2018,Krug_CI_2019,Krug_CI_2020,Krug_CI_2021,Krug_CI_2022,Krug_CI_2023
1017,0.0031593733238815046,0.0013549007293422836,0.002798097319600141,0.0025355378160389695,0.002442869532339022,0.0023758411133535462,0.0022720074632901883,0.0019928214959154915,0.0021427841638234453,0.0016979607998871805,0.0017105383935694764,0.0014008289127560452,0.0013039056358915997,0.0015824827028130426,0.0013594675603877074,0.0012875527011299564
1071,0.0,0.00023289175240004593,0.0001626876449188161,0.00047356962914460763,0.0006186509231919341,0.000641639977490473,0.0007849696733851112,0.0008181464555167148,0.0008958569627883176,,,,,,,
1213,0.00048459062335094955,0.0003463904100353049,0.001244933943843028,0.0018048053170968054,0.0031619915746585675,0.003593584030271,0.0061804298478441095,0.006181744160626787,0.0063782824155844365,0.012810430006645673,0.01197218246809604,0.010211710606915975,0.0074505432528258414,0.010837111284560092,0.011373282358918529,0.012421818517410138
1348,0.0002766325693620006,0.0002712102051757549,0.00020956899914495987,0.00019740946986448592,0.00016957030218862226,0.00014072710247556904,8.981489872502679e-05,8.51223032531777e-05,6.855413378005811e-05,7.793043604423797e-05,9.385417479355567e-05,8.346118349978621e-05,5.5424785392080544e-05,8.948032110725307e-05,7.883366377334987e-05,6.540808893428555e-05
1455,0.0008687572814118152,0.0007006292241675799,0.0007260630694148995,0.0006326104268221823,0.0006023052733259285,0.0005245171231525765,0.000532713245281456,0.0004891859127495396,0.0004439287351275707,0.00035954010775727174,0.0003748788738195223,0.00027160138124142895,0.00030548469990353396,0.0003250910965245333,0.0002751602531461031,0.00031475393755624035
1696,0.0,0.0,0.0,,7.971874906556412e-06,9.348074187284648e-07,2.5448055793149215e-05,1.1902266015470845e-05,2.3336984229347692e-05,9.969362109510392e-06,4.36369456146373e-06,1.9633535726248312e-05,2.1908369600183084e-05,1.4552862620321288e-05,1.2852878166912787e-05,1.2967460906014495e-05
1794,3.9252684075845e-05,1.4779517158549583e-05,1.0378489520876315e-05,0.0,0.0,0.0,0.0,,,1.767352078057245e-05,0.0,0.0,,8.516844942835195e-05,0.00016436587277168148,0.00010549467098848369
1874,0.0006381060252893135,0.00015761201742815146,0.0004948130388350481,0.0013964505965365442,0.0007751666005911819,0.0005773329357835821,0.000914356021574118,0.0012370581300332026,0.0007437727362626238,0.0014365786179647868,0.001523329938761262,0.0014809191655032242,0.0017292435477956462,0.0020823440056615098,0.002398785295537759,0.005947802745802804
4366,6.375158451596244e-05,2.738320614685048e-05,2.9147029484973047e-05,3.9268711313828115e-05,4.20246386203048e-05,9.52611293379409e-05,1.709626807317461e-05,0.0001773275113648904,0.00021846904774843097,0.0002783666971870042,0.00039893365617238804,0.00044092084921586557,0.00040081284390433634,0.000507100531775422,0.00047727427934278103,0.00037540113128105686
9262,0.015028219452051524,0.017511206659559294,0.029723307114324936,0.03530640459461365,0.04067392373835516,0.03757691786088246,0.03407043004477502,0.025347505622241497,0.02139899685620386,0.02348755837322554,0.021381618729324342,0.016711775751294598,0.012713081339804746,0.008650647862243396,0.008696334966985126,0.007552272086812689
9397,4.369080575480952e-05,9.057867890722247e-05,0.0,0.0,5.701866995376649e-05,0.0005402614670460115,0.0009596763756906845,0.00034885870499317995,0.0,5.92296204663198e-06,0.00023475745259720398,0.00018288990843670755,0.00011824825457950872,0.0002104629218881707,0.0003198457475616907,0.00026477853190837685
9459,5.1310410564520676e-05,0.00010889260386475369,8.242793980000622e-05,5.3311018293425116e-05,4.437872960653584e-06,4.858774260398581e-06,1.0692012783699204e-05,9.77223607180825e-06,1.0682873963529949e-05,8.633326563930128e-06,7.557331560033444e-06,6.947164872270619e-06,4.843061006318686e-06,0.0,,
9574,1.2561245435761015e-06,2.8506346462212573e-06,4.94499568036557e-07,1.1157666855269135e-05,6.455367142074332e-05,9.10524159625849e-05,0.00012198104529951918,0.00023337598006594433,0.00022104531697518336,0.0003145858347078313,0.00029298290046843935,6.927771551092409e-05,5.310007539197392e-05,5.324672062867472e-05,8.637921366953116e-05,0.00010672458062433206
12091,0.0001709571214478033,0.00010988329355442185,0.013560906232190844,0.02257261982918963,0.024869808698317567,0.03483326063384227,0.032288428411993975,0.0627624786876945,0.059021091663778676,0.04684868639748248,0.04456628944969211,0.04602468614770014,0.04485407720215547,0.041158939231239935,0.06359599886249384,0.07462835049679666
