Numar Jonctiune,Cluster 1,Cluster 2,Distanta,Frecventa
0,26.0,31.0,11.59392082084402,2.0
1,15.0,30.0,17.51142198680621,2.0
2,0.0,9.0,21.14771146010839,2.0
3,6.0,27.0,23.553912626143447,2.0
4,8.0,35.0,32.11701470145277,3.0
5,11.0,34.0,32.24323288174848,3.0
6,3.0,18.0,34.07767010815147,2.0
7,36.0,38.0,37.07204022800291,5.0
8,17.0,19.0,38.65469322662443,2.0
9,4.0,42.0,42.068338695420245,3.0
10,20.0,23.0,50.44033850445935,2.0
11,5.0,10.0,55.50487726317392,2.0
12,12.0,33.0,56.690286191237774,2.0
13,7.0,41.0,59.585699626672174,6.0
14,21.0,47.0,61.681834325142155,7.0
15,28.0,29.0,65.17984064492414,2.0
16,37.0,40.0,69.96122783370802,4.0
17,32.0,44.0,71.66922553984718,3.0
18,13.0,24.0,71.98286810068073,2.0
19,39.0,48.0,81.36975192059421,10.0
20,16.0,52.0,84.62739292530128,3.0
21,2.0,45.0,84.79963246775695,3.0
22,1.0,22.0,93.09751715271466,2.0
23,46.0,53.0,104.53370163271288,12.0
24,25.0,49.0,111.8627110324957,3.0
25,50.0,57.0,128.37567510183484,16.0
26,43.0,59.0,139.0186616298712,19.0
27,55.0,56.0,167.53631974390905,5.0
28,51.0,60.0,202.06942967322962,22.0
29,58.0,62.0,221.52511732787892,25.0
30,14.0,54.0,242.88834063549996,4.0
31,61.0,64.0,397.93110283760876,9.0
32,63.0,65.0,930.7928035451175,34.0
