Code,P_opt,Scor Silhouette P_opt,P_5,Scor Silhouette P_5
BEL,C1,0.7690519771405506,C5,0.44800964068519156
BGR,C2,-0.3371967371483666,C4,0.005995839405608161
CZE,C2,0.3906152942987502,C4,0.11909892429382345
DNK,C1,0.725311536350821,C5,0.46580224100042306
DEU,C1,0.7155583613256724,C5,0.42383754756241193
EST,C2,0.2877778498911522,C4,0.4276941900534866
IRL,C1,0.7176905210793336,C5,0.33599269005358184
GRC,C1,0.7367440661156299,C5,0.4886987294308342
ESP,C1,0.7735474471646522,C5,0.38583230106742705
FRA,C1,0.7676234006130566,C5,0.43068858259895587
HRV,C2,0.3318772848335564,C4,0.3174944100403839
ITA,C1,0.7696437162003105,C5,0.43012411343777096
CYP,C1,0.7016481535401983,C5,0.27972484561925265
LVA,C2,0.5594082338482311,C2,0.5347704490644118
LTU,C2,0.42763804135703715,C1,0.0
LUX,C1,0.7782134593663068,C5,0.4365712722632803
HUN,C2,0.5434139658520907,C2,0.49016894526186316
MLT,C1,0.6527767687464672,C5,0.2867632890635315
NLD,C1,0.7365356374653246,C5,0.4335618545795176
AUT,C1,0.5853351070629041,C5,0.2177286143417853
POL,C1,0.5228183538797188,C5,0.32789771832290343
PRT,C1,0.7341933231690978,C5,0.45144220388230893
ROU,C2,0.26652058741910045,C4,0.3661952963196363
SVN,C1,0.6332278679372362,C5,0.4421139593443634
SVK,C2,0.5532151317615877,C2,0.4633499124822387
FIN,C1,0.4379779916590414,C3,0.3357598612272862
SWE,C1,0.7633604902637134,C5,0.290478616053725
GBR,C1,0.7179126734907835,C5,0.3671607870433351
ISL,C1,0.6952551113732006,C3,0.04854023437384325
LIE,C1,0.6285859054679396,C3,0.22529040274668657
NOR,C1,0.7728655920078613,C5,0.4105937040489674
CHE,C1,0.7516034010613005,C5,0.21431952293742532
SRB,C1,0.4734112173846374,C5,0.24964568332373202
TUR,C1,0.6821254217606647,C5,0.1756891584389239
