Siruta,Localitate,Carne,Peste,LegumeFructe,Uleiuri,Lactate,Morarit,Panificatie,Populatie,Judet
57350,Cojocna,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4189,cj
73736,Poiana Mare,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10675,dj
147465,Bunesti,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2769,sv
114710,Oras Ludus,12.0,0.0,0.0,0.0,3.0,0.0,307.0,17606,ms
122908,Grumazesti,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5488,nt
131103,Oras Breaza,0.0,0.0,0.0,0.0,0.0,0.0,44.0,16766,ph
172082,Pausesti-Maglasi,0.0,0.0,0.0,0.0,0.0,0.0,59.0,4013,vl
49206,Sapoca,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3428,bz
106559,Municipiul Sighetu Marmatiei,47.0,0.0,0.0,0.0,10.0,0.0,110.0,44145,mm
139330,Vama,3.0,0.0,0.0,0.0,0.0,0.0,7.0,4095,sm
98373,Oras Podu Iloaiei,0.0,0.0,0.0,0.0,0.0,0.0,74.0,11035,is
147526,Cacica,0.0,0.0,0.0,0.0,0.0,4.0,105.0,4394,sv
16454,Domnesti,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3156,ag
65609,Oras Fieni,2.0,0.0,0.0,0.0,0.0,0.0,26.0,7652,db
41033,Halchiu,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4806,bv
16472,Dragoslavele,0.0,0.0,0.0,0.0,0.0,0.0,275.0,2628,ag
139358,Vetis,2831.0,0.0,0.0,0.0,0.0,0.0,1.0,5421,sm
155760,Becicherecu Mic,0.0,0.0,0.0,0.0,0.0,19.0,16.0,3166,tm
114809,Municipiul Reghin,218.0,0.0,1.0,0.0,0.0,0.0,263.0,38237,ms
16506,Draganu,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1955,ag
73852,Radovan,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1344,dj
106620,Sarasau,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2754,mm
41088,Harman,0.0,0.0,0.0,0.0,0.0,13.0,3.0,6203,bv
98435,Popesti,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5573,is
131210,Oras Busteni,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9907,ph
65681,Oras Gaesti,0.0,0.0,4.0,0.0,0.0,0.0,121.0,15346,db
155797,Belint,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2599,tm
41113,Harseni,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2259,bv
16551,Godeni,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3004,ag
114854,Oras Sovata,0.0,0.0,1.0,0.0,0.0,0.0,31.0,10557,ms
131256,Municipiul Campina,247.0,0.0,0.0,0.0,0.0,21.0,216.0,37574,ph
106684,Oras Baia Sprie,896.0,0.0,0.0,0.0,0.0,0.0,185.0,17091,mm
73923,Robanesti,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2294,dj
155840,Bethausen,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2803,tm
98505,Popricani,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8287,is
57546,Dabaca,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1445,cj
147660,Ilisesti,0.0,0.0,0.0,0.0,44.0,0.0,12.0,2907,sv
41177,Hoghiz,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5225,bv
123102,Ion Creanga,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5793,nt
8425,Vidra,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1658,ab
114925,Municipiul Tarnaveni,2.0,0.0,0.0,0.0,0.0,0.0,68.0,26500,ms
57582,Feleacu,0.0,0.0,0.0,0.0,16.0,0.0,1.0,3766,cj
106746,Oras Borsa,155.0,0.0,0.0,0.0,3.0,0.0,53.0,29881,mm
155911,Biled,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4049,tm
131336,Oras Comarnic,0.0,0.0,0.0,0.0,0.0,0.0,86.0,12480,ph
73996,Sadova,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8734,dj
49439,Scutelnici,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2322,bz
106782,Oras Cavnic,0.0,0.0,0.0,0.0,0.0,0.0,32.0,5255,mm
164133,Grivita,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3680,vs
65841,Municipiul Moreni,0.0,0.0,0.0,0.0,1.0,3.0,29.0,20524,db
172340,Pietrari,0.0,0.0,0.0,0.0,0.0,85.0,5.0,2954,vl
106817,Oras Targu Lapus,0.0,0.0,2.0,0.0,2.0,0.0,58.0,13219,mm
82243,Stejari,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2412,gj
41284,Jibert,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2735,bv
147786,Cornu Luncii,0.0,0.0,0.0,0.0,0.0,9.0,0.0,7389,sv
131407,Oras Mizil,752.0,0.0,0.0,0.0,0.0,0.0,22.0,16496,ph
57706,Floresti,172.0,0.0,0.0,0.0,2.0,0.0,39.0,28163,cj
131443,Oras Plopeni,0.0,0.0,0.0,0.0,0.0,0.0,74.0,9081,ph
98685,Raducaneni,0.0,0.0,2.0,0.0,0.0,20.0,0.0,9248,is
65921,Oras Pucioasa,8.0,0.0,0.0,0.0,0.0,0.0,89.0,15401,db
49545,Smeeni,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6636,bz
57742,Frata,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4085,cj
41382,Maierus,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3211,bv
24999,Rosiori,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2382,bc
90538,Pui,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4278,hd
172457,Prundeni,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4130,vl
33202,Dumitra,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5453,bn
139704,Municipiul Zalau,9.0,0.0,22.0,0.0,17.0,1.0,197.0,69857,sj
156106,Boldur,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2322,tm
41417,Mandra,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2962,bv
115147,Alunis,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3174,ms
131540,Oras Sinaia,98.0,0.0,0.0,0.0,0.0,0.0,16.0,11540,ph
98774,Ruginoasa,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6456,is
49625,Stalpu,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3128,bz
33248,Feldru,0.0,0.0,0.0,0.0,0.0,15.0,28.0,7964,bn
106979,Oras Viseu De Sus,5.0,0.0,0.0,0.0,0.0,0.0,44.0,18171,mm
147937,Darmanesti,0.0,0.0,0.0,0.0,0.0,2.0,35.0,5897,sv
123371,Pastraveni,0.0,0.0,0.0,0.0,35.0,0.0,0.0,4076,nt
25068,Sascut,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10047,bc
33275,Galatii Bistritei,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2524,bn
131577,Oras Slanic,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5941,ph
41471,Moieciu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4672,bv
16908,Leresti,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4640,ag
66081,Oras Titu,0.0,0.0,0.0,0.0,0.0,0.0,34.0,10361,db
139811,Oras Jibou,0.0,0.0,0.0,0.0,0.0,4.0,14.0,11963,sj
148006,Oras Dolhasca,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11465,sv
115236,Atintis,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1577,ms
131620,Oras Urlati,2.0,0.0,0.0,0.0,0.0,315.0,91.0,11634,ph
164393,Ivanesti,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4470,vs
57902,Gilau,80.0,0.0,0.0,0.0,1.0,1.0,8.0,8704,cj
156213,Carpinis,0.0,0.0,0.0,0.0,345.0,0.0,0.0,5658,tm
25148,Sanduleni,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4675,bc
123479,Piatra Soimului,0.0,0.0,0.0,0.0,0.0,3.0,3.0,8631,nt
156259,Cenad,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4861,tm
98916,Scanteia,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5428,is
139884,Oras Simleu Silvaniei,4.0,0.0,0.0,0.0,12.0,0.0,51.0,17420,sj
74359,Terpezita,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1556,dj
156277,Cenei,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3097,tm
8826,Vintu De Jos,0.0,0.0,0.0,0.0,0.0,1.0,21.0,5475,ab
82555,Turburea,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4239,gj
148097,Dolhesti,0.0,0.0,0.0,0.0,19.0,1.0,0.0,3837,sv
25228,Saucesti,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5422,bc
107154,Baiut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2427,mm
41621,Poiana Marului,651.0,0.0,0.0,0.0,0.0,0.0,26.0,3369,bv
156311,Cheveresu Mare,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2245,tm
66198,Baleni,0.0,0.0,0.0,0.0,0.0,60.0,0.0,8783,db
33435,Lechinta,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6254,bn
148131,Dorna-Arini,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2913,sv
98998,Scobinti,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7666,is
49849,Tintesti,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4536,bz
115389,Band,0.0,0.0,0.0,0.0,1.0,0.0,12.0,6571,ms
41667,Prejmer,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9620,bv
156357,Oras Ciacova,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5373,tm
123601,Pangarati,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5504,nt
41701,Racos,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3500,bv
148202,Dorna Candrenilor,0.0,0.0,0.0,0.0,465.0,0.0,2.0,3071,sv
131817,Oras Valenii De Munte,0.0,0.0,0.0,0.0,0.0,1.0,161.0,13628,ph
131835,Gura Vitioarei,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6081,ph
33541,Livezile,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5101,bn
123674,Podoleni,0.0,0.0,0.0,0.0,0.0,2.0,14.0,5787,nt
58142,Iclod,0.0,0.0,0.0,0.0,33.0,0.0,16.0,4362,cj
107314,Barsana,0.0,0.0,0.0,0.0,14.0,0.0,0.0,4722,mm
156473,Costeiu,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3862,tm
115520,Batos,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4257,ms
9026,Bucerdea Granoasa,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2406,ab
33603,Lunca Ilvei,0.0,0.0,0.0,0.0,43.0,0.0,20.0,3337,bn
148293,Dornesti,0.0,0.0,6.0,0.0,0.0,0.0,1.0,4840,sv
74581,Valea Stanciului,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5443,dj
33621,Maieru,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8110,bn
107350,Bocicoiu Mare,0.0,0.0,0.0,0.0,3.0,0.0,11.0,4508,mm
41818,Sercaia,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2924,bv
131933,Albesti-Paleologu,0.0,0.0,0.0,0.0,0.0,0.0,47.0,5581,ph
50022,Valea Ramnicului,0.0,0.0,0.0,0.0,1.0,0.0,8.0,5681,bz
74616,Vela,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1859,dj
33658,Matei,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2621,bn
107403,Bogdan Voda,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3052,mm
82831,Vladimir,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2784,gj
123790,Poiana Teiului,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4962,nt
58259,Jucu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4319,cj
107430,Boiu Mare,0.0,0.0,0.0,0.0,29.0,0.0,0.0,1126,mm
66474,Bucsani,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6933,db
91054,Sarmizegetusa,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1189,hd
115637,Balauseri,0.0,0.0,0.0,0.0,0.0,0.0,256.0,5146,ms
50102,Vernesti,0.0,0.0,3.0,0.0,0.0,0.0,104.0,9101,bz
172992,Sinesti,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2485,vl
41925,Sanpetru,0.0,0.0,0.0,0.0,0.0,12.0,10.0,5761,bv
58311,Luna,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4687,cj
148426,Dumbraveni,34.0,0.0,0.0,0.0,0.0,2.0,3.0,9658,sv
82895,Oras Rovinari,0.0,0.0,0.0,0.0,0.0,0.0,33.0,13662,gj
107485,Botiza,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2590,mm
66526,Candesti,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2803,db
132075,Aricestii Rahtivani,27.0,0.0,0.0,0.0,0.0,1.0,0.0,8128,ph
1017,Municipiul Alba Iulia,376.0,97.0,3.0,0.0,3.0,0.0,293.0,74283,ab
140280,Bobota,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3998,sj
115708,Beica De Jos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2222,ms
107519,Budesti,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3085,mm
42003,Tarlungeni,0.0,0.0,0.0,0.0,0.0,0.0,66.0,9297,bv
66580,Cobia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3060,db
58393,Manastireni,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1449,cj
156712,Dudestii Vechi,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4420,tm
99370,Sipote,0.0,0.0,0.0,0.0,28.0,0.0,0.0,5347,is
9262,Municipiul Arad,1141.0,0.0,64.0,0.0,18.0,45.0,744.0,179155,ar
50228,Vintila Voda,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2984,bz
33845,Micestii De Campie,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1134,bn
107582,Cernesti,0.0,0.0,0.0,0.0,44.0,0.0,0.0,3671,mm
9280,Fantanele,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3712,ar
164936,Muntenii De Jos,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4273,vs
17496,Mosoaia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5709,ag
33881,Milas,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1284,bn
140379,Buciumi,0.0,0.0,0.0,0.0,3.0,20.0,0.0,2609,sj
25692,Tamasi,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3101,bc
42076,Ticusu,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1076,bv
74859,Carcea,0.0,0.0,0.0,0.0,626.0,0.0,24.0,2307,dj
74867,Carna,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1383,dj
42101,Ucea,244.0,0.0,0.0,0.0,4.0,0.0,10.0,2360,bv
164981,Oras Murgeni,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8297,vs
1151,Oras Abrud,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5513,ab
156801,Oras Faget,0.0,0.0,0.0,0.0,217.0,0.0,14.0,7583,tm
115851,Breaza,0.0,0.0,20.0,0.0,19.0,0.0,15.0,2527,ms
107662,Cicarlau,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4186,mm
9360,Sofronea,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2751,ar
140440,Camar,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1702,sj
33952,Monor,0.0,0.0,0.0,0.0,185.0,0.0,0.0,1421,bn
17575,Mozaceni,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2142,ag
66731,Comisani,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5185,db
173230,Stoenesti,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3479,vl
9397,Vladimirescu,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12982,ar
115897,Brancovenesti,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4010,ms
148667,Fratautii Noi,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5885,sv
83133,Municipiul Odorheiu Secuiesc,6.0,0.0,29.0,0.0,41.0,0.0,67.0,38590,hr
1213,Municipiul Aiud,7.0,0.0,0.0,1.0,5.0,15.0,23.0,26318,ab
42183,Vama Buzaului,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3547,bv
74956,Talpas,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1259,dj
83151,Bradesti,0.0,0.0,0.0,0.0,32.0,0.0,0.0,2023,hr
107733,Copalnic-Manastur,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5663,mm
