Siruta,Denumire localitate,Indicativ judet,Numar absolventi,Populatia scolara
1017,Municipiul Alba Iulia,AB,2897.0,15201.0
1071,Ciugud,AB,7.0,108.0
1151,Oras Abrud,AB,157.0,798.0
1213,Municipiul Aiud,AB,719.0,3662.0
1348,Municipiul Blaj,AB,619.0,3593.0
1455,Oras Campeni,AB,461.0,2047.0
1696,Oras Cugir,AB,361.0,2173.0
1794,Oras Ocna Mures,AB,337.0,1828.0
1874,Municipiul Sebes,AB,732.0,4476.0
1936,Oras Zlatna,AB,116.0,675.0
2130,Albac,AB,66.0,393.0
2309,Almasu Mare,AB,8.0,71.0
2381,Arieseni,AB,39.0,255.0
2577,Avram Iancu,AB,18.0,122.0
2915,Oras Baia De Aries,AB,181.0,693.0
2988,Berghin,AB,9.0,121.0
3039,Bistra,AB,38.0,359.0
3397,Blandiana,AB,8.0,64.0
3459,Bucium,AB,7.0,53.0
3761,Cenade,AB,8.0,84.0
3805,Cergau,AB,15.0,126.0
3841,Ceru-Bacainti,AB,4.0,19.0
3958,Cetatea De Balta,AB,12.0,264.0
4008,Ciuruleasa,AB,13.0,86.0
4106,Calnic,AB,19.0,205.0
4142,Cricau,AB,19.0,138.0
4188,Craciunelu De Jos,AB,14.0,182.0
4240,Daia Romana,AB,32.0,227.0
4268,Dostat,AB,8.0,115.0
4302,Farau,AB,7.0,121.0
4366,Galda De Jos,AB,31.0,230.0
4482,Garbova,AB,16.0,189.0
4525,Garda De Sus,AB,25.0,113.0
4703,Hoparta,AB,11.0,112.0
4767,Horea,AB,18.0,163.0
4927,Ighiu,AB,41.0,456.0
4981,Intregalde,AB,3.0,21.0
5103,Jidvei,AB,74.0,704.0
5167,Livezile,AB,6.0,46.0
5210,Lopadea Noua,AB,21.0,168.0
5309,Lunca Muresului,AB,23.0,226.0
5336,Lupsa,AB,34.0,170.0
5577,Metes,AB,11.0,100.0
5700,Mihalt,AB,20.0,178.0
5755,Miraslau,AB,9.0,88.0
5826,Mogos,AB,2.0,30.0
6048,Noslac,AB,14.0,113.0
6119,Ocolis,AB,2.0,13.0
6164,Ohaba,AB,5.0,34.0
6217,Pianu,AB,35.0,227.0
6271,Poiana Vadului,AB,17.0,102.0
6397,Ponor,AB,3.0,21.0
6468,Posaga,AB,10.0,42.0
6547,Radesti,AB,8.0,86.0
6592,Rametea,AB,8.0,75.0
6627,Ramet,AB,3.0,9.0
6761,Rosia Montana,AB,14.0,138.0
6930,Rosia De Secas,AB,19.0,148.0
6976,Salciua,AB,16.0,80.0
7044,Salistea,AB,17.0,184.0
7099,Sasciori,AB,69.0,697.0
7197,Scarisoara,AB,15.0,148.0
7348,Sancel,AB,17.0,160.0
7384,Santimbru,AB,9.0,159.0
7446,Sohodol,AB,8.0,67.0
7767,Stremt,AB,17.0,167.0
7810,Sibot,AB,3.0,100.0
7865,Sona,AB,31.0,300.0
7945,Spring,AB,26.0,206.0
8014,Sugag,AB,26.0,243.0
8096,Oras Teius,AB,108.0,642.0
8158,Unirea,AB,36.0,400.0
8229,Vadu Motilor,AB,7.0,52.0
8354,Valea Lunga,AB,35.0,233.0
8425,Vidra,AB,16.0,108.0
8826,Vintu De Jos,AB,45.0,367.0
9019,Cut,AB,11.0,69.0
9026,Bucerdea Granoasa,AB,14.0,223.0
9262,Municipiul Arad,AR,7039.0,32429.0
9280,Fantanele,AR,27.0,234.0
9333,Livada,AR,14.0,173.0
9360,Sofronea,AR,15.0,8.0
9397,Vladimirescu,AR,53.0,639.0
9459,Oras Chisineu-Cris,AR,371.0,1747.0
9495,Oras Curtici,AR,71.0,812.0
9538,Oras Ineu,AR,358.0,1903.0
9574,Oras Lipova,AR,235.0,1436.0
9627,Oras Nadlac,AR,184.0,925.0
9654,Oras Pancota,AR,174.0,951.0
9690,Oras Sebis,AR,182.0,1131.0
9743,Almas,AR,18.0,160.0
9798,Apateu,AR,34.0,269.0
9832,Archis,AR,15.0,123.0
9887,Bata,AR,9.0,139.0
9930,Beliu,AR,34.0,281.0
10006,Birchis,AR,15.0,156.0
10051,Barsa,AR,10.0,141.0
10104,Barzava,AR,27.0,160.0
10195,Bocsig,AR,30.0,232.0
10239,Brazii,AR,10.0,94.0
10293,Buteni,AR,15.0,238.0
10346,Carand,AR,3.0,97.0
10373,Cermei,AR,44.0,280.0
10417,Chisindia,AR,6.0,87.0
10453,Conop,AR,20.0,208.0
10514,Covasint,AR,16.0,158.0
10532,Craiva,AR,18.0,226.0
10649,Dezna,AR,8.0,57.0
10701,Dieci,AR,9.0,85.0
10765,Ususau,AR,15.0,181.0
10827,Felnac,AR,27.0,242.0
10872,Ghioroc,AR,53.0,326.0
10916,Graniceri,AR,22.0,216.0
10943,Gurahont,AR,108.0,602.0
11058,Halmagiu,AR,26.0,186.0
11174,Halmagel,AR,5.0,58.0
11236,Hasmas,AR,12.0,112.0
11307,Ignesti,AR,0.0,21.0
11352,Iratosu,AR,15.0,138.0
11398,Macea,AR,53.0,514.0
11423,Misca,AR,34.0,519.0
11478,Moneasa,AR,5.0,37.0
11502,Olari,AR,16.0,164.0
11539,Paulis,AR,41.0,347.0
11584,Oras Pecica,AR,161.0,1313.0
11637,Peregu Mare,AR,10.0,60.0
11664,Petris,AR,11.0,103.0
11735,Pilu,AR,26.0,244.0
11762,Plescuta,AR,6.0,69.0
11842,Savarsin,AR,71.0,434.0
11940,Secusigiu,AR,59.0,507.0
11995,Seleus,AR,31.0,235.0
12037,Semlac,AR,35.0,333.0
12055,Sintea Mare,AR,40.0,402.0
12091,Oras Santana,AR,204.0,1461.0
12126,Socodor,AR,25.0,193.0
12144,Sagu,AR,37.0,338.0
12206,Seitin,AR,29.0,0.0
12224,Sepreus,AR,25.0,234.0
12242,Sicula,AR,28.0,328.0
12288,Silindia,AR,9.0,78.0
12340,Simand,AR,35.0,402.0
12368,Siria,AR,47.0,608.0
12402,Sistarovat,AR,0.0,13.0
12457,Taut,AR,15.0,104.0
12509,Tarnova,AR,56.0,537.0
12572,Varadia De Mures,AR,12.0,121.0
12643,Vinga,AR,76.0,701.0
12689,Varfurile,AR,18.0,124.0
