Siruta,Localitate,Judet,Numar absolventi,Populatie
1017,Municipiul Alba Iulia,AB,2897,15201
1071,Ciugud,AB,7,108
1151,Oras Abrud,AB,157,798
1213,Municipiul Aiud,AB,719,3662
1348,Municipiul Blaj,AB,619,3593
1455,Oras Campeni,AB,461,2047
1696,Oras Cugir,AB,361,2173
1794,Oras Ocna Mures,AB,337,1828
1874,Municipiul Sebes,AB,732,4476
1936,Oras Zlatna,AB,116,675
2130,Albac,AB,66,393
2309,Almasu Mare,AB,8,71
2381,Arieseni,AB,39,255
2577,Avram Iancu,AB,18,122
2915,Oras Baia De Aries,AB,181,693
2988,Berghin,AB,9,121
3039,Bistra,AB,38,359
3397,Blandiana,AB,8,64
3459,Bucium,AB,7,53
3761,Cenade,AB,8,84
3805,Cergau,AB,15,126
3841,Ceru-Bacainti,AB,4,19
3958,Cetatea De Balta,AB,12,264
4008,Ciuruleasa,AB,13,86
4106,Calnic,AB,19,205
4142,Cricau,AB,19,138
4188,Craciunelu De Jos,AB,14,182
4240,Daia Romana,AB,32,227
4268,Dostat,AB,8,115
4302,Farau,AB,7,121
4366,Galda De Jos,AB,31,230
4482,Garbova,AB,16,189
4525,Garda De Sus,AB,25,113
4703,Hoparta,AB,11,112
4767,Horea,AB,18,163
4927,Ighiu,AB,41,456
4981,Intregalde,AB,3,21
5103,Jidvei,AB,74,704
5167,Livezile,AB,6,46
5210,Lopadea Noua,AB,21,168
5309,Lunca Muresului,AB,23,226
5336,Lupsa,AB,34,170
5577,Metes,AB,11,100
5700,Mihalt,AB,20,178
5755,Miraslau,AB,9,88
5826,Mogos,AB,2,30
6048,Noslac,AB,14,113
6119,Ocolis,AB,2,13
6164,Ohaba,AB,5,34
6217,Pianu,AB,35,227
6271,Poiana Vadului,AB,17,102
6397,Ponor,AB,3,21
6468,Posaga,AB,10,42
6547,Radesti,AB,8,86
6592,Rametea,AB,8,75
6627,Ramet,AB,3,9
6761,Rosia Montana,AB,14,138
6930,Rosia De Secas,AB,19,148
6976,Salciua,AB,16,80
7044,Salistea,AB,17,184
7099,Sasciori,AB,69,697
7197,Scarisoara,AB,15,148
7348,Sancel,AB,17,160
7384,Santimbru,AB,9,159
7446,Sohodol,AB,8,67
7767,Stremt,AB,17,167
7810,Sibot,AB,3,100
7865,Sona,AB,31,300
7945,Spring,AB,26,206
8014,Sugag,AB,26,243
8096,Oras Teius,AB,108,642
8158,Unirea,AB,36,400
8229,Vadu Motilor,AB,7,52
8354,Valea Lunga,AB,35,233
8425,Vidra,AB,16,108
8826,Vintu De Jos,AB,45,367
9019,Cut,AB,11,69
9026,Bucerdea Granoasa,AB,14,223
9262,Municipiul Arad,AR,7039,32429
9280,Fantanele,AR,27,234
9333,Livada,AR,14,173
9360,Sofronea,AR,15,8
9397,Vladimirescu,AR,53,639
9459,Oras Chisineu-Cris,AR,371,1747
9495,Oras Curtici,AR,71,812
9538,Oras Ineu,AR,358,1903
9574,Oras Lipova,AR,235,1436
9627,Oras Nadlac,AR,184,925
9654,Oras Pancota,AR,174,951
9690,Oras Sebis,AR,182,1131
9743,Almas,AR,18,160
9798,Apateu,AR,34,269
9832,Archis,AR,15,123
9887,Bata,AR,9,139
9930,Beliu,AR,34,281
10006,Birchis,AR,15,156
10051,Barsa,AR,10,141
10104,Barzava,AR,27,160
10195,Bocsig,AR,30,232
10239,Brazii,AR,10,94
10293,Buteni,AR,15,238
10346,Carand,AR,3,97
10373,Cermei,AR,44,280
10417,Chisindia,AR,6,87
10453,Conop,AR,20,208
10514,Covasint,AR,16,158
10532,Craiva,AR,18,226
10649,Dezna,AR,8,57
10701,Dieci,AR,9,85
10765,Ususau,AR,15,181
10827,Felnac,AR,27,242
10872,Ghioroc,AR,53,326
10916,Graniceri,AR,22,216
10943,Gurahont,AR,108,602
11058,Halmagiu,AR,26,186
11174,Halmagel,AR,5,58
11236,Hasmas,AR,12,112
11307,Ignesti,AR,0,21
11352,Iratosu,AR,15,138
11398,Macea,AR,53,514
11423,Misca,AR,34,519
11478,Moneasa,AR,5,37
11502,Olari,AR,16,164
11539,Paulis,AR,41,347
11584,Oras Pecica,AR,161,1313
11637,Peregu Mare,AR,10,60
11664,Petris,AR,11,103
11735,Pilu,AR,26,244
11762,Plescuta,AR,6,69
11842,Savarsin,AR,71,434
11940,Secusigiu,AR,59,507
11995,Seleus,AR,31,235
12037,Semlac,AR,35,333
12055,Sintea Mare,AR,40,402
12091,Oras Santana,AR,204,1461
12126,Socodor,AR,25,193
12144,Sagu,AR,37,338
12206,Seitin,AR,29,0
12224,Sepreus,AR,25,234
12242,Sicula,AR,28,328
12288,Silindia,AR,9,78
12340,Simand,AR,35,402
12368,Siria,AR,47,608
12402,Sistarovat,AR,0,13
12457,Taut,AR,15,104
12509,Tarnova,AR,56,537
12572,Varadia De Mures,AR,12,121
12643,Vinga,AR,76,701
12689,Varfurile,AR,18,124
12778,Zabrani,AR,38,361
12812,Zarand,AR,36,305
12849,Zerind,AR,12,122
12876,Zimandu Nou,AR,19,247
12912,Dorobanti,AR,14,113
12920,Frumuseni,AR,24,179
12938,Zadareni,AR,14,167
13169,Municipiul Pitesti,AG,7976,35861
13187,Bascov,AG,81,710
13276,Bradu,AG,34,257
13301,Oras Mioveni,AG,668,4071
13365,Maracineni,AG,103,571
13392,Oras Stefanesti,AG,187,1426
13490,Municipiul Campulung,AG,1459,6994
13524,Valea Mare Pravat,AG,47,360
13622,Municipiul Curtea De Arges,AG,1034,5498
13668,Oras Costesti,AG,382,1829
13757,Oras Topoloveni,AG,288,1844
13819,Albestii De Arges,AG,39,428
13891,Albestii De Muscel,AG,12,84
13935,Albota,AG,34,236
13999,Aninoasa,AG,35,302
14049,Arefu,AG,20,118
14085,Babana,AG,32,195
14165,Baiculesti,AG,34,347
14272,Balilesti,AG,32,275
14352,Beleti-Negresti,AG,15,113
14405,Berevoesti,AG,31,349
14450,Barla,AG,60,382
14584,Bogati,AG,31,289
14673,Boteni,AG,33,175
14726,Botesti,AG,8,97
14753,Bradulet,AG,14,111
14851,Budeasa,AG,38,228
14922,Bughea De Jos,AG,22,320
14940,Buzoesti,AG,49,348
15064,Caldararu,AG,16,145
15108,Calinesti,AG,72,898
15233,Cateasca,AG,42,295
15313,Cepari,AG,20,145
15402,Cetateni,AG,35,289
15448,Cicanesti,AG,25,160
15493,Ciofrangeni,AG,22,134
15554,Ciomagesti,AG,9,90
15652,Cocu,AG,18,145
15741,Corbeni,AG,43,547
15830,Corbi,AG,32,269
15901,Cosesti,AG,51,409
15983,Cotmeana,AG,13,105
16132,Cuca,AG,24,140
16285,Davidesti,AG,32,283
16329,Dambovicioara,AG,6,67
16365,Darmanesti,AG,24,148
16427,Dobresti,AG,12,120
16454,Domnesti,AG,59,551
16472,Dragoslavele,AG,22,260
16506,Draganu,AG,16,129
16551,Godeni,AG,13,137
16613,Harsesti,AG,17,162
16659,Hartiesti,AG,28,257
16739,Izvoru,AG,18,136
16757,Leordeni,AG,39,387
16908,Leresti,AG,38,245
16944,Lunca Corbului,AG,24,152
17049,Malureni,AG,26,436
17101,Merisani,AG,30,310
17209,Micesti,AG,57,596
