Siruta,Localitate,Judet,Abs_liceal,Abs_postlic,Abs_primar_gimn,Abs_profes,Abs_tehnic,Abs_univ,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
1017,Municipiul Alba Iulia,AB,873.0,174.0,598.0,72.0,0.0,1180.0,3814.0,458.0,5976.0,4953.0
1213,Municipiul Aiud,AB,384.0,108.0,213.0,14.0,0.0,0.0,1606.0,237.0,1819.0,0.0
1348,Municipiul Blaj,AB,299.0,42.0,225.0,33.0,0.0,20.0,1330.0,265.0,1887.0,111.0
1455,Oras Campeni,AB,309.0,71.0,69.0,12.0,0.0,0.0,1232.0,169.0,646.0,0.0
1696,Oras Cugir,AB,144.0,57.0,137.0,23.0,0.0,0.0,610.0,102.0,1461.0,0.0
1794,Oras Ocna Mures,AB,145.0,65.0,127.0,0.0,0.0,0.0,716.0,109.0,1003.0,0.0
2915,Oras Baia De Aries,AB,119.0,30.0,32.0,0.0,0.0,0.0,488.0,11.0,194.0,0.0
9262,Municipiul Arad,AR,2063.0,441.0,1316.0,159.0,0.0,3060.0,8347.0,961.0,13098.0,10023.0
13169,Municipiul Pitesti,AG,2704.0,906.0,1532.0,79.0,47.0,2708.0,11275.0,517.0,14959.0,9110.0
13301,Oras Mioveni,AG,295.0,51.0,288.0,34.0,0.0,0.0,1300.0,169.0,2602.0,0.0
13365,Maracineni,AG,29.0,27.0,39.0,8.0,0.0,0.0,190.0,26.0,355.0,0.0
13490,Municipiul Campulung,AG,802.0,66.0,430.0,51.0,0.0,110.0,3148.0,361.0,3119.0,366.0
13622,Municipiul Curtea De Arges,AG,660.0,27.0,267.0,80.0,0.0,0.0,2791.0,303.0,2404.0,0.0
13668,Oras Costesti,AG,190.0,27.0,100.0,44.0,21.0,0.0,835.0,159.0,835.0,0.0
20297,Municipiul Bacau,BC,2394.0,547.0,1377.0,264.0,40.0,1479.0,10640.0,1572.0,13328.0,5543.0
20563,Municipiul Onesti,BC,819.0,74.0,450.0,86.0,0.0,0.0,3414.0,765.0,3524.0,0.0
20876,Municipiul Moinesti,BC,380.0,62.0,233.0,58.0,0.0,0.0,1601.0,396.0,1827.0,0.0
20965,Oras Targu Ocna,BC,144.0,237.0,122.0,55.0,0.0,0.0,762.0,295.0,1198.0,0.0
26564,Municipiul Oradea,BH,2673.0,922.0,1857.0,273.0,22.0,3669.0,10511.0,1601.0,17559.0,15833.0
26804,Municipiul Beius,BH,347.0,66.0,192.0,19.0,0.0,0.0,1617.0,214.0,1350.0,0.0
