Siruta,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
1017,3814.0,458.0,5976.0,4953.0
1071,0.0,0.0,108.0,0.0
1151,377.0,21.0,400.0,0.0
1213,1606.0,237.0,1819.0,0.0
1348,1330.0,265.0,1887.0,111.0
1455,1232.0,169.0,646.0,0.0
1696,610.0,102.0,1461.0,0.0
1794,716.0,109.0,1003.0,0.0
1874,1451.0,342.0,2683.0,0.0
1936,194.0,0.0,481.0,0.0
2130,165.0,51.0,177.0,0.0
2309,0.0,0.0,71.0,0.0
2381,86.0,38.0,131.0,0.0
2577,0.0,0.0,122.0,0.0
2915,488.0,11.0,194.0,0.0
2988,0.0,0.0,121.0,0.0
3039,0.0,0.0,359.0,0.0
3397,0.0,0.0,64.0,0.0
3459,0.0,0.0,53.0,0.0
3761,0.0,0.0,84.0,0.0
3805,0.0,0.0,126.0,0.0
3841,0.0,0.0,19.0,0.0
3958,0.0,0.0,264.0,0.0
4008,0.0,0.0,86.0,0.0
4106,0.0,0.0,205.0,0.0
4142,0.0,0.0,138.0,0.0
4188,0.0,0.0,182.0,0.0
4240,0.0,0.0,227.0,0.0
4268,0.0,0.0,115.0,0.0
4302,0.0,0.0,121.0,0.0
4366,0.0,0.0,230.0,0.0
4482,0.0,0.0,189.0,0.0
4525,0.0,0.0,113.0,0.0
4703,0.0,0.0,112.0,0.0
4767,0.0,0.0,163.0,0.0
4927,0.0,0.0,456.0,0.0
4981,0.0,0.0,21.0,0.0
5103,188.0,23.0,493.0,0.0
5167,0.0,0.0,46.0,0.0
5210,0.0,0.0,168.0,0.0
5309,0.0,0.0,226.0,0.0
5336,0.0,0.0,170.0,0.0
5577,0.0,0.0,100.0,0.0
5700,0.0,0.0,178.0,0.0
5755,0.0,0.0,88.0,0.0
5826,0.0,0.0,30.0,0.0
6048,0.0,0.0,113.0,0.0
6119,0.0,0.0,13.0,0.0
6164,0.0,0.0,34.0,0.0
6217,0.0,0.0,227.0,0.0
6271,0.0,0.0,102.0,0.0
6397,0.0,0.0,21.0,0.0
6468,0.0,0.0,42.0,0.0
6547,0.0,0.0,86.0,0.0
6592,0.0,0.0,75.0,0.0
6627,0.0,0.0,9.0,0.0
6761,0.0,0.0,138.0,0.0
6930,0.0,0.0,148.0,0.0
6976,0.0,0.0,80.0,0.0
7044,0.0,0.0,184.0,0.0
7099,0.0,0.0,697.0,0.0
7197,0.0,0.0,148.0,0.0
7348,0.0,0.0,160.0,0.0
7384,0.0,0.0,159.0,0.0
7446,0.0,0.0,67.0,0.0
7767,0.0,0.0,167.0,0.0
7810,0.0,0.0,100.0,0.0
7865,0.0,0.0,300.0,0.0
7945,0.0,0.0,206.0,0.0
8014,0.0,0.0,243.0,0.0
8096,197.0,0.0,445.0,0.0
8158,0.0,0.0,400.0,0.0
8229,0.0,0.0,52.0,0.0
8354,0.0,0.0,233.0,0.0
8425,0.0,0.0,108.0,0.0
8826,0.0,0.0,367.0,0.0
9019,0.0,0.0,69.0,0.0
9026,0.0,0.0,223.0,0.0
9262,8347.0,961.0,13098.0,10023.0
9280,0.0,0.0,234.0,0.0
9333,0.0,0.0,173.0,0.0
9360,0.0,0.0,8.0,0.0
9397,0.0,0.0,639.0,0.0
9459,867.0,153.0,727.0,0.0
9495,190.0,16.0,606.0,0.0
9538,861.0,229.0,813.0,0.0
9574,541.0,57.0,838.0,0.0
9627,343.0,31.0,551.0,0.0
9654,342.0,0.0,609.0,0.0
9690,559.0,0.0,530.0,42.0
9743,0.0,0.0,160.0,0.0
9798,0.0,0.0,269.0,0.0
9832,0.0,0.0,123.0,0.0
9887,0.0,0.0,139.0,0.0
9930,0.0,29.0,252.0,0.0
10006,0.0,0.0,156.0,0.0
10051,0.0,0.0,141.0,0.0
10104,0.0,0.0,160.0,0.0
10195,0.0,0.0,232.0,0.0
10239,0.0,0.0,94.0,0.0
10293,0.0,0.0,238.0,0.0
10346,0.0,0.0,97.0,0.0
10373,91.0,0.0,189.0,0.0
10417,0.0,0.0,87.0,0.0
10453,0.0,0.0,208.0,0.0
10514,0.0,0.0,158.0,0.0
10532,0.0,0.0,226.0,0.0
10649,0.0,0.0,57.0,0.0
10701,0.0,0.0,85.0,0.0
10765,0.0,0.0,181.0,0.0
10827,0.0,0.0,242.0,0.0
10872,113.0,15.0,198.0,0.0
10916,0.0,0.0,216.0,0.0
10943,323.0,0.0,279.0,0.0
11058,70.0,0.0,116.0,0.0
11174,0.0,0.0,58.0,0.0
11236,0.0,0.0,112.0,0.0
11307,0.0,0.0,21.0,0.0
11352,0.0,0.0,138.0,0.0
11398,0.0,0.0,514.0,0.0
11423,0.0,0.0,519.0,0.0
11478,0.0,0.0,37.0,0.0
11502,0.0,0.0,164.0,0.0
11539,0.0,0.0,347.0,0.0
11584,265.0,58.0,990.0,0.0
11637,0.0,0.0,60.0,0.0
11664,0.0,0.0,103.0,0.0
11735,0.0,0.0,244.0,0.0
11762,0.0,0.0,69.0,0.0
11842,201.0,0.0,233.0,0.0
11940,0.0,0.0,507.0,0.0
11995,0.0,0.0,235.0,0.0
12037,0.0,0.0,333.0,0.0
12055,0.0,0.0,402.0,0.0
12091,346.0,41.0,1074.0,0.0
12126,0.0,0.0,193.0,0.0
12144,0.0,0.0,338.0,0.0
12206,0.0,0.0,0.0,0.0
12224,0.0,0.0,234.0,0.0
12242,0.0,0.0,328.0,0.0
12288,0.0,0.0,78.0,0.0
12340,0.0,0.0,402.0,0.0
12368,0.0,0.0,608.0,0.0
12402,0.0,0.0,13.0,0.0
12457,0.0,0.0,104.0,0.0
12509,0.0,0.0,537.0,0.0
12572,0.0,0.0,121.0,0.0
12643,103.0,0.0,598.0,0.0
12689,0.0,0.0,124.0,0.0
12778,0.0,0.0,361.0,0.0
12812,0.0,0.0,305.0,0.0
12849,0.0,0.0,122.0,0.0
12876,0.0,0.0,247.0,0.0
12912,0.0,0.0,113.0,0.0
12920,0.0,0.0,179.0,0.0
12938,0.0,0.0,167.0,0.0
13169,11275.0,517.0,14959.0,9110.0
13187,0.0,0.0,710.0,0.0
13276,0.0,0.0,257.0,0.0
13301,1300.0,169.0,2602.0,0.0
13365,190.0,26.0,355.0,0.0
13392,159.0,150.0,1117.0,0.0
13490,3148.0,361.0,3119.0,366.0
13524,0.0,0.0,360.0,0.0
13622,2791.0,303.0,2404.0,0.0
13668,835.0,159.0,835.0,0.0
13757,891.0,0.0,953.0,0.0
13819,0.0,0.0,428.0,0.0
13891,0.0,0.0,84.0,0.0
13935,0.0,0.0,236.0,0.0
13999,0.0,0.0,302.0,0.0
14049,0.0,0.0,118.0,0.0
14085,0.0,0.0,195.0,0.0
14165,0.0,0.0,347.0,0.0
14272,0.0,0.0,275.0,0.0
14352,0.0,0.0,113.0,0.0
14405,0.0,0.0,349.0,0.0
14450,0.0,0.0,382.0,0.0
14584,0.0,0.0,289.0,0.0
14673,0.0,0.0,175.0,0.0
14726,0.0,0.0,97.0,0.0
14753,0.0,0.0,111.0,0.0
14851,0.0,0.0,228.0,0.0
14922,0.0,0.0,320.0,0.0
14940,0.0,0.0,348.0,0.0
15064,0.0,0.0,145.0,0.0
15108,0.0,0.0,898.0,0.0
15233,0.0,0.0,295.0,0.0
15313,0.0,0.0,145.0,0.0
15402,0.0,0.0,289.0,0.0
15448,0.0,0.0,160.0,0.0
15493,0.0,0.0,134.0,0.0
15554,0.0,0.0,90.0,0.0
15652,0.0,0.0,145.0,0.0
15741,0.0,0.0,547.0,0.0
15830,0.0,0.0,269.0,0.0
15901,0.0,0.0,409.0,0.0
15983,0.0,0.0,105.0,0.0
16132,0.0,0.0,140.0,0.0
16285,0.0,0.0,283.0,0.0
16329,0.0,0.0,67.0,0.0
16365,0.0,0.0,148.0,0.0
16427,0.0,0.0,120.0,0.0
16454,276.0,52.0,223.0,0.0
16472,0.0,0.0,260.0,0.0
16506,0.0,0.0,129.0,0.0
16551,0.0,0.0,137.0,0.0
16613,0.0,0.0,162.0,0.0
16659,0.0,0.0,257.0,0.0
16739,0.0,0.0,136.0,0.0
16757,0.0,0.0,387.0,0.0
16908,0.0,0.0,245.0,0.0
16944,0.0,0.0,152.0,0.0
17049,0.0,0.0,436.0,0.0
17101,0.0,0.0,310.0,0.0
17209,0.0,0.0,596.0,0.0
17254,0.0,0.0,593.0,0.0
17334,0.0,0.0,50.0,0.0
17398,0.0,0.0,153.0,0.0
17423,0.0,0.0,105.0,0.0
17496,0.0,0.0,146.0,0.0
17575,282.0,30.0,142.0,0.0
17619,0.0,0.0,246.0,0.0
17726,0.0,0.0,141.0,0.0
17771,0.0,0.0,107.0,0.0
17824,0.0,0.0,251.0,0.0
17851,0.0,0.0,439.0,0.0
17913,0.0,0.0,42.0,0.0
17968,0.0,0.0,197.0,0.0
18028,0.0,0.0,593.0,0.0
18162,0.0,0.0,106.0,0.0
18242,0.0,0.0,193.0,0.0
18331,0.0,0.0,268.0,0.0
18411,0.0,0.0,201.0,0.0
18475,0.0,0.0,162.0,0.0
18527,216.0,35.0,493.0,0.0
18554,0.0,0.0,165.0,0.0
18581,0.0,0.0,88.0,0.0
18670,0.0,0.0,386.0,0.0
18741,0.0,0.0,387.0,0.0
18778,227.0,86.0,385.0,0.0
18858,0.0,0.0,374.0,0.0
18938,0.0,0.0,196.0,0.0
19007,0.0,0.0,223.0,0.0
19114,0.0,0.0,218.0,0.0
19141,0.0,0.0,162.0,0.0
19212,0.0,0.0,91.0,0.0
19249,0.0,0.0,313.0,0.0
19338,0.0,0.0,493.0,0.0
19392,0.0,0.0,90.0,0.0
19560,0.0,0.0,183.0,0.0
19631,0.0,0.0,157.0,0.0
19695,0.0,0.0,65.0,0.0
19793,230.0,22.0,253.0,0.0
19999,0.0,0.0,289.0,0.0
20048,0.0,0.0,88.0,0.0
20055,0.0,0.0,224.0,0.0
20063,0.0,0.0,166.0,0.0
20297,10640.0,1572.0,13328.0,5543.0
20313,0.0,0.0,331.0,0.0
20359,0.0,0.0,301.0,0.0
20411,0.0,0.0,287.0,0.0
20466,0.0,0.0,536.0,0.0
20563,3414.0,765.0,3524.0,0.0
20607,0.0,0.0,365.0,0.0
20670,0.0,0.0,389.0,0.0
20778,661.0,0.0,1326.0,0.0
20821,1056.0,60.0,1892.0,0.0
20876,1601.0,396.0,1827.0,0.0
20910,0.0,0.0,306.0,0.0
20965,762.0,295.0,1198.0,0.0
21007,0.0,0.0,446.0,0.0
21098,0.0,0.0,191.0,0.0
21123,0.0,0.0,462.0,0.0
21196,0.0,0.0,538.0,0.0
21249,0.0,0.0,206.0,0.0
21338,0.0,0.0,572.0,0.0
21418,0.0,0.0,451.0,0.0
21454,0.0,0.0,256.0,0.0
21506,0.0,0.0,830.0,0.0
21560,0.0,0.0,147.0,0.0
21597,0.0,0.0,324.0,0.0
21668,0.0,0.0,414.0,0.0
21720,0.0,0.0,190.0,0.0
21757,0.0,0.0,422.0,0.0
21855,0.0,0.0,638.0,0.0
21891,0.0,0.0,321.0,0.0
