Siruta,Judet,Localitate,Total_medici_sanatate
1017,AB,Municipiul Alba Iulia,1322
1071,AB,Ciugud,6
1151,AB,Oras Abrud,105
1213,AB,Municipiul Aiud,300
1348,AB,Municipiul Blaj,272
1455,AB,Oras Campeni,153
1696,AB,Oras Cugir,145
1794,AB,Oras Ocna Mures,43
1874,AB,Municipiul Sebes,319
1936,AB,Oras Zlatna,22
2130,AB,Albac,4
2309,AB,Almasu Mare,3
2381,AB,Arieseni,4
2577,AB,Avram Iancu,3
2915,AB,Oras Baia De Aries,10
2988,AB,Berghin,4
3039,AB,Bistra,8
3397,AB,Blandiana,3
3459,AB,Bucium,4
3761,AB,Cenade,4
3805,AB,Cergau,4
3841,AB,Ceru-Bacainti,1
3958,AB,Cetatea De Balta,7
4008,AB,Ciuruleasa,3
4106,AB,Calnic,4
4142,AB,Cricau,5
4188,AB,Craciunelu De Jos,9
4240,AB,Daia Romana,7
4268,AB,Dostat,6
4302,AB,Farau,4
4366,AB,Galda De Jos,54
4482,AB,Garbova,9
4525,AB,Garda De Sus,4
4703,AB,Hoparta,5
4767,AB,Horea,4
4927,AB,Ighiu,19
4981,AB,Intregalde,2
5103,AB,Jidvei,12
5167,AB,Livezile,3
5210,AB,Lopadea Noua,4
5309,AB,Lunca Muresului,4
5336,AB,Lupsa,5
5577,AB,Metes,5
5700,AB,Mihalt,7
5755,AB,Miraslau,3
5826,AB,Mogos,2
6048,AB,Noslac,4
6119,AB,Ocolis,0
6164,AB,Ohaba,4
6217,AB,Pianu,9
6271,AB,Poiana Vadului,7
6397,AB,Ponor,4
6468,AB,Posaga,4
6547,AB,Radesti,3
6592,AB,Rametea,3
6627,AB,Ramet,4
6761,AB,Rosia Montana,5
6930,AB,Rosia De Secas,2
6976,AB,Salciua,6
7044,AB,Salistea,4
7099,AB,Sasciori,9
7197,AB,Scarisoara,6
7348,AB,Sancel,8
7384,AB,Santimbru,8
7446,AB,Sohodol,4
7767,AB,Stremt,6
7810,AB,Sibot,6
7865,AB,Sona,7
7945,AB,Spring,6
8014,AB,Sugag,12
8096,AB,Oras Teius,29
8158,AB,Unirea,8
8229,AB,Vadu Motilor,3
8354,AB,Valea Lunga,7
8425,AB,Vidra,5
8826,AB,Vintu De Jos,8
9019,AB,Cut,3
9026,AB,Bucerdea Granoasa,4
9262,AR,Municipiul Arad,2674
9280,AR,Fantanele,14
9333,AR,Livada,11
9360,AR,Sofronea,6
9397,AR,Vladimirescu,27
9459,AR,Oras Chisineu-Cris,95
9495,AR,Oras Curtici,47
9538,AR,Oras Ineu,178
9574,AR,Oras Lipova,109
9627,AR,Oras Nadlac,22
9654,AR,Oras Pancota,22
9690,AR,Oras Sebis,92
9743,AR,Almas,6
9798,AR,Apateu,7
9832,AR,Archis,4
9887,AR,Bata,7
9930,AR,Beliu,4
10006,AR,Birchis,18
10051,AR,Barsa,4
10104,AR,Barzava,8
10195,AR,Bocsig,6
10239,AR,Brazii,4
10293,AR,Buteni,10
10346,AR,Carand,3
10373,AR,Cermei,6
10417,AR,Chisindia,6
10453,AR,Conop,10
10514,AR,Covasint,8
10532,AR,Craiva,6
10649,AR,Dezna,41
10701,AR,Dieci,3
10765,AR,Ususau,3
10827,AR,Felnac,14
10872,AR,Ghioroc,30
10916,AR,Graniceri,3
10943,AR,Gurahont,36
11058,AR,Halmagiu,10
11174,AR,Halmagel,3
11236,AR,Hasmas,3
11307,AR,Ignesti,0
11352,AR,Iratosu,8
11398,AR,Macea,9
11423,AR,Misca,7
11478,AR,Moneasa,29
11502,AR,Olari,3
11539,AR,Paulis,10
11584,AR,Oras Pecica,34
11637,AR,Peregu Mare,5
11664,AR,Petris,7
11735,AR,Pilu,3
11762,AR,Plescuta,4
11842,AR,Savarsin,11
11940,AR,Secusigiu,6
11995,AR,Seleus,6
12037,AR,Semlac,7
12055,AR,Sintea Mare,6
12091,AR,Oras Santana,38
12126,AR,Socodor,10
12144,AR,Sagu,9
12206,AR,Seitin,6
12224,AR,Sepreus,9
12242,AR,Sicula,15
12288,AR,Silindia,3
12340,AR,Simand,9
12368,AR,Siria,22
12402,AR,Sistarovat,3
12457,AR,Taut,7
12509,AR,Tarnova,13
12572,AR,Varadia De Mures,4
12643,AR,Vinga,13
12689,AR,Varfurile,6
12778,AR,Zabrani,7
12812,AR,Zarand,6
12849,AR,Zerind,9
12876,AR,Zimandu Nou,14
12912,AR,Dorobanti,4
12920,AR,Frumuseni,7
12938,AR,Zadareni,3
13169,AG,Municipiul Pitesti,2789
13187,AG,Bascov,25
13276,AG,Bradu,22
13301,AG,Oras Mioveni,277
13365,AG,Maracineni,10
13392,AG,Oras Stefanesti,86
13490,AG,Municipiul Campulung,599
13524,AG,Valea Mare Pravat,10
13622,AG,Municipiul Curtea De Arges,348
13668,AG,Oras Costesti,139
13757,AG,Oras Topoloveni,60
13819,AG,Albestii De Arges,7
13891,AG,Albestii De Muscel,3
13935,AG,Albota,11
13999,AG,Aninoasa,6
14049,AG,Arefu,6
14085,AG,Babana,7
14165,AG,Baiculesti,7
14272,AG,Balilesti,6
14352,AG,Beleti-Negresti,5
14405,AG,Berevoesti,8
14450,AG,Barla,7
14584,AG,Bogati,10
14673,AG,Boteni,6
14726,AG,Botesti,4
14753,AG,Bradulet,54
14851,AG,Budeasa,10
14922,AG,Bughea De Jos,4
14940,AG,Buzoesti,18
15064,AG,Caldararu,3
15108,AG,Calinesti,65
15233,AG,Cateasca,11
15313,AG,Cepari,8
15402,AG,Cetateni,5
15448,AG,Cicanesti,6
15493,AG,Ciofrangeni,7
15554,AG,Ciomagesti,6
15652,AG,Cocu,4
15741,AG,Corbeni,17
15830,AG,Corbi,7
15901,AG,Cosesti,14
15983,AG,Cotmeana,19
16132,AG,Cuca,9
16285,AG,Davidesti,8
16329,AG,Dambovicioara,3
16365,AG,Darmanesti,4
16427,AG,Dobresti,6
16454,AG,Domnesti,37
16472,AG,Dragoslavele,6
16506,AG,Draganu,7
16551,AG,Godeni,8
16613,AG,Harsesti,4
16659,AG,Hartiesti,8
16739,AG,Izvoru,5
16757,AG,Leordeni,46
16908,AG,Leresti,15
16944,AG,Lunca Corbului,6
17049,AG,Malureni,9
17101,AG,Merisani,9
17209,AG,Micesti,8
17254,AG,Mihaesti,9
17334,AG,Mioarele,2
17398,AG,Mirosi,6
17423,AG,Moraresti,9
17496,AG,Mosoaia,6
17575,AG,Mozaceni,7
17619,AG,Musatesti,8
17726,AG,Negrasi,4
17771,AG,Nucsoara,5
17824,AG,Oarja,5
17851,AG,Pietrosani,10
17913,AG,Poienarii De Arges,3
17968,AG,Poienarii De Muscel,10
18028,AG,Poiana Lacului,13
18162,AG,Popesti,6
18242,AG,Priboieni,8
18331,AG,Ratesti,8
18411,AG,Recea,4
18475,AG,Rociu,18
18527,AG,Rucar,23
18554,AG,Salatrucu,3
18581,AG,Sapata,9
18670,AG,Schitu Golesti,6
18741,AG,Slobozia,7
18778,AG,Stalpeni,14
18858,AG,Stoenesti,10
18938,AG,Stolnici,7
19007,AG,Suseni,10
19114,AG,Stefan Cel Mare,6
19141,AG,Suici,25
19212,AG,Teiu,4
19249,AG,Tigveni,49
19338,AG,Titesti,11
19392,AG,Uda,7
19560,AG,Ungheni,7
19631,AG,Valea Danului,7
19695,AG,Valea Iasului,63
19793,AG,Vedea,54
19999,AG,Vladesti,7
20048,AG,Raca,3
20055,AG,Vulturesti,14
20063,AG,Bughea De Sus,6
20297,BC,Municipiul Bacau,2586
20313,BC,Hemeius,6
20359,BC,Letea Veche,10
20411,BC,Magura,11
20466,BC,Margineni,26
20563,BC,Municipiul Onesti,690
20607,BC,Gura Vaii,6
20670,BC,Stefan Cel Mare,4
20778,BC,Oras Buhusi,209
20821,BC,Oras Comanesti,242
20876,BC,Municipiul Moinesti,385
20910,BC,Oras Slanic-Moldova,24
20965,BC,Oras Targu Ocna,110
21007,BC,Agas,12
21098,BC,Ardeoani,5
21123,BC,Asau,9
21196,BC,Balcani,7
21249,BC,Beresti-Bistrita,4
21338,BC,Beresti-Tazlau,9
21418,BC,Berzunti,6
21454,BC,Barsanesti,4
21506,BC,Blagesti,10
21560,BC,Bogdanesti,5
21597,BC,Brusturoasa,3
21668,BC,Buhoci,9
21720,BC,Casin,3
21757,BC,Caiuti,6
21855,BC,Cleja,8
21891,BC,Colonesti,3
21971,BC,Corbasca,4
22059,BC,Cotofanesti,4
22111,BC,Damienesti,3
22166,BC,Oras Darmanesti,50
22237,BC,Dealu Morii,3
22380,BC,Dofteana,14
22460,BC,Faraoani,8
22488,BC,Filipeni,3
22576,BC,Filipesti,34
22665,BC,Gaiceana,4
22718,BC,Ghimes-Faget,6
22781,BC,Garleni,11
22834,BC,Glavanesti,4
22898,BC,Helegiu,10
22941,BC,Horgesti,8
23047,BC,Huruiesti,4
23127,BC,Izvoru Berheciului,3
23207,BC,Lipova,5
23289,BC,Livezi,5
23350,BC,Luizi-Calugara,7
23387,BC,Magiresti,3
23449,BC,Manastirea Casin,9
23494,BC,Motoseni,5
23644,BC,Negri,3
23715,BC,Nicolae Balcescu,16
23797,BC,Oituz,18
23868,BC,Oncesti,5
23948,BC,Orbeni,4
23975,BC,Palanca,6
24034,BC,Parava,6
24089,BC,Parincea,17
24187,BC,Pancesti,10
24276,BC,Pargaresti,7
24338,BC,Parjol,8
24427,BC,Plopana,5
24524,BC,Podu Turcului,66
24631,BC,Poduri,5
24711,BC,Racova,4
24766,BC,Racaciuni,62
24837,BC,Rachitoasa,20
24999,BC,Rosiori,3
25068,BC,Sascut,16
25148,BC,Sanduleni,3
25228,BC,Saucesti,10
25291,BC,Scorteni,5
25362,BC,Secuieni,5
25488,BC,Solont,4
25521,BC,Stanisesti,5
25629,BC,Strugari,3
25692,BC,Tamasi,3
25745,BC,Tatarasti,3
25825,BC,Targu Trotus,9
25861,BC,Traian,4
25932,BC,Ungureni,23
26029,BC,Urechesti,7
26083,BC,Valea Seaca,7
26118,BC,Vultureni,3
26289,BC,Zemes,6
26320,BC,Sarata,2
26338,BC,Buciumi,3
26346,BC,Gioseni,3
26353,BC,Odobesti,3
26361,BC,Prajesti,3
26379,BC,Itesti,1
26564,BH,Municipiul Oradea,3896
26582,BH,Sanmartin,165
26653,BH,Santandrei,12
26699,BH,Oras Alesd,152
26742,BH,Astileu,10
26804,BH,Municipiul Beius,301
26840,BH,Oras Stei,147
26877,BH,Municipiul Marghita,293
26920,BH,Oras Nucet,144
26975,BH,Municipiul Salonta,169
27007,BH,Oras Vascau,4
27070,BH,Abram,4
27169,BH,Abramut,7
27212,BH,Auseu,5
27285,BH,Avram Iancu,7
27329,BH,Balc,8
27383,BH,Batar,10
27436,BH,Biharia,11
27506,BH,Boianu Mare,4
27560,BH,Borod,9
27631,BH,Bors,9
27686,BH,Bratca,60
27757,BH,Brusturi,11
27846,BH,Budureasa,5
27908,BH,Buduslau,4
27935,BH,Bulz,32
27971,BH,Buntesti,7
28077,BH,Cabesti,4
28139,BH,Capalna,5
28193,BH,Carpinet,2
28246,BH,Cefa,9
28335,BH,Ceica,11
28415,BH,Cetariu,6
28497,BH,Cherechiu,10
28530,BH,Chislaz,8
28610,BH,Ciuhoi,7
28665,BH,Ciumeghiu,24
28709,BH,Campani,12
28763,BH,Cociuba Mare,9
28816,BH,Copacel,4
28889,BH,Cristioru De Jos,3
28941,BH,Curatele,9
29001,BH,Curtuiseni,6
29038,BH,Derna,4
29092,BH,Diosig,16
29154,BH,Dobresti,13
29243,BH,Draganesti,4
29341,BH,Dragesti,4
29403,BH,Finis,12
29467,BH,Girisu De Cris,7
29519,BH,Hidiselu De Sus,9
29573,BH,Holod,6
29662,BH,Husasau De Tinca,8
29724,BH,Ineu,10
29760,BH,Lazuri De Beius,10
29813,BH,Lazareni,5
29902,BH,Lugasu De Jos,6
29948,BH,Lunca,11
30014,BH,Madaras,6
30069,BH,Magesti,4
30149,BH,Nojorid,8
30229,BH,Olcea,8
30274,BH,Osorhei,9
30336,BH,Pietroasa,10
30416,BH,Pocola,8
30470,BH,Pomezeu,4
30568,BH,Popesti,48
30648,BH,Rabagani,8
30719,BH,Remetea,4
30773,BH,Rieni,2
30844,BH,Rosia,11
30871,BH,Sacadat,6
30915,BH,Oras Sacueni,19
30988,BH,Salacea,4
31011,BH,Salard,16
31057,BH,Sambata,10
31128,BH,Sarbi,4
31208,BH,Spinus,8
31262,BH,Suplacu De Barcau,14
31333,BH,Simian,10
31379,BH,Sinteu,2
31422,BH,Soimi,4
31510,BH,Suncuius,9
31565,BH,Tarcea,4
31609,BH,Tarcaia,4
31654,BH,Tauteu,24
31716,BH,Tileagd,14
31789,BH,Tinca,72
31841,BH,Tulca,6
31878,BH,Tetchea,8
31921,BH,Uileacu De Beius,9
31976,BH,Vadu Crisului,8
32027,BH,Oras Valea Lui Mihai,28
32045,BH,Viisoara,4
32090,BH,Varciorog,4
32153,BH,Tamaseu,4
32161,BH,Paleu,3
32179,BH,Sannicolau Roman,4
32187,BH,Rosiori,4
32195,BH,Gepiu,5
32201,BH,Toboliu,3
32394,BN,Municipiul Bistrita,1420
32483,BN,Oras Beclean,186
32544,BN,Oras Nasaud,193
32599,BN,Oras Sangeorz-Bai,47
32633,BN,Bistrita Bargaului,8
32660,BN,Branistea,9
32704,BN,Budacu De Jos,7
32768,BN,Budesti,4
32811,BN,Caianu Mic,8
32884,BN,Cetate,7
32955,BN,Ciceu-Giurgesti,4
33015,BN,Chiochis,6
33122,BN,Chiuza,5
33177,BN,Cosbuc,4
33202,BN,Dumitra,10
33248,BN,Feldru,19
33275,BN,Galatii Bistritei,3
33337,BN,Ilva Mare,6
33364,BN,Ilva Mica,6
33382,BN,Josenii Bargaului,9
33435,BN,Lechinta,11
33514,BN,Lesu,5
33541,BN,Livezile,9
33603,BN,Lunca Ilvei,6
33621,BN,Maieru,18
33658,BN,Matei,3
33729,BN,Magura Ilvei,4
33765,BN,Mariselu,4
33845,BN,Micestii De Campie,3
33881,BN,Milas,3
33952,BN,Monor,0
33989,BN,Nimigea,13
34075,BN,Nuseni,9
34155,BN,Parva,4
34173,BN,Petru Rares,11
34235,BN,Prundu Bargaului,28
34262,BN,Rebra,4
34280,BN,Rebrisoara,9
34333,BN,Rodna,12
34360,BN,Romuli,3
34397,BN,Salva,5
34422,BN,Silivasu De Campie,3
34477,BN,Sanmihaiu De Campie,4
34547,BN,Spermezeu,4
34618,BN,Sant,7
34645,BN,Sieu,8
34690,BN,Sieu-Magherus,9
34770,BN,Sieu-Odorhei,5
34850,BN,Sieut,6
34903,BN,Sintereag,5
34985,BN,Teaca,24
35054,BN,Telciu,8
35090,BN,Tiha Bargaului,12
35152,BN,Tarlisua,5
35269,BN,Uriu,14
35312,BN,Urmenis,4
35429,BN,Zagra,5
35731,BT,Municipiul Botosani,2173
35759,BT,Curtesti,11
35839,BT,Rachiti,8
35884,BT,Stauceni,4
35946,BT,Oras Darabani,35
36006,BT,Municipiul Dorohoi,319
36060,BT,Oras Saveni,33
36131,BT,Albesti,17
36202,BT,Avrameni,9
36300,BT,Baluseni,9
36373,BT,Braesti,10
36426,BT,Broscauti,5
36453,BT,Oras Bucecea,15
36499,BT,Calarasi,7
36532,BT,Concesti,5
36569,BT,Copalau,10
36649,BT,Cordareni,7
36676,BT,Corlateni,7
36756,BT,Corni,13
36809,BT,Cotusca,11
36907,BT,Cristesti,12
36952,BT,Cristinesti,6
37011,BT,Dersca,15
37057,BT,Dangeni,4
37100,BT,Dobarceni,6
37173,BT,Draguseni,20
37217,BT,Durnesti,10
37280,BT,Oras Flamanzi,36
37324,BT,Frumusica,11
37397,BT,George Enescu,4
37459,BT,Gorbanesti,7
37547,BT,Havarna,13
37618,BT,Hanesti,5
37672,BT,Hiliseu-Horia,7
37734,BT,Hlipiceni,5
37770,BT,Hudesti,13
37823,BT,Ibanesti,10
37850,BT,Leorda,18
37912,BT,Lunca,10
37958,BT,Manoleasa,4
38063,BT,Mihai Eminescu,12
38161,BT,Mihaileni,16
38241,BT,Mihalaseni,5
38321,BT,Mileanca,10
38376,BT,Mitoc,5
38456,BT,Nicseni,8
38492,BT,Paltinis,7
38544,BT,Pomarla,7
38580,BT,Prajeni,5
38633,BT,Radauti-Prut,7
38679,BT,Rauseni,4
38731,BT,Ripiceni,5
38811,BT,Roma,9
38848,BT,Romanesti,5
38893,BT,Santa Mare,7
38982,BT,Suharau,14
39051,BT,Sulita,21
39122,BT,Sendriceni,5
39168,BT,Oras Stefanesti,22
39220,BT,Stiubieni,4
39266,BT,Todireni,5
39328,BT,Trusesti,20
39391,BT,Tudora,10
39417,BT,Ungureni,10
39532,BT,Unteni,4
39612,BT,Vaculesti,5
39658,BT,Viisoara,4
39694,BT,Varfu Campului,19
39738,BT,Vladeni,7
39792,BT,Vlasinesti,6
39836,BT,Vorniceni,7
39872,BT,Vorona,16
39942,BT,Lozna,4
39959,BT,Dimacheni,1
39967,BT,Candesti,7
39975,BT,Cosula,7
39983,BT,Blandesti,2
40035,BT,Adaseni,4
40198,BV,Municipiul Brasov,3649
40214,BV,Oras Ghimbav,10
40241,BV,Municipiul Codlea,154
40278,BV,Municipiul Fagaras,354
40303,BV,Oras Predeal,51
40367,BV,Oras Rasnov,40
40394,BV,Oras Rupea,64
40438,BV,Municipiul Sacele,85
40465,BV,Oras Victoria,37
40492,BV,Oras Zarnesti,155
40526,BV,Apata,0
40544,BV,Beclean,0
40606,BV,Bod,9
40633,BV,Bran,13
40688,BV,Budila,6
40704,BV,Bunesti,3
40768,BV,Cata,3
40820,BV,Cincu,7
40857,BV,Comana,4
40900,BV,Cristian,13
40928,BV,Dumbravita,12
40955,BV,Feldioara,14
40991,BV,Fundata,4
41033,BV,Halchiu,11
41088,BV,Harman,10
41113,BV,Harseni,6
41177,BV,Hoghiz,10
41248,BV,Homorod,4
41284,BV,Jibert,5
41346,BV,Lisa,3
41382,BV,Maierus,3
41417,BV,Mandra,6
41471,BV,Moieciu,9
41541,BV,Ormenis,6
41578,BV,Parau,7
41621,BV,Poiana Marului,6
41667,BV,Prejmer,19
41701,BV,Racos,3
41738,BV,Recea,6
41818,BV,Sercaia,20
41854,BV,Sinca,9
41925,BV,Sanpetru,36
41943,BV,Soars,3
42003,BV,Tarlungeni,29
42058,BV,Teliu,6
42076,BV,Ticusu,1
42101,BV,Ucea,3
42156,BV,Ungra,3
42183,BV,Vama Buzaului,6
42236,BV,Vistea,6
42307,BV,Voila,3
42398,BV,Vulcan,26
42449,BV,Sinca Noua,0
42456,BV,Crizbav,0
42464,BV,Sambata De Sus,0
42472,BV,Holbav,0
42480,BV,Dragus,0
42498,BV,Augustin,0
42682,BR,Municipiul Braila,2826
42708,BR,Chiscani,12
42753,BR,Oras Faurei,66
42771,BR,Surdila-Greci,3
42824,BR,Baraganul,18
42842,BR,Bertestii De Jos,5
42913,BR,Bordei Verde,5
42968,BR,Ciocile,6
43019,BR,Ciresu,5
43073,BR,Dudesti,7
43117,BR,Frecatei,3
43180,BR,Galbenu,6
43242,BR,Gemenele,4
43279,BR,Gradistea,4
43313,BR,Gropeni,6
43331,BR,Oras Ianca,21
43411,BR,Oras Insuratei,14
43466,BR,Jirlau,6
43493,BR,Marasu,6
43563,BR,Maxineni,4
43625,BR,Mircea Voda,5
43652,BR,Movila Miresii,12
43698,BR,Racovita,4
43732,BR,Ramnicelu,6
43787,BR,Romanu,4
43812,BR,Rosiori,4
43867,BR,Salcia Tudor,0
43929,BR,Scortaru Nou,4
43992,BR,Silistea,2
44060,BR,Stancuta,6
44113,BR,Surdila-Gaiseanca,5
44140,BR,Sutesti,9
44177,BR,Tichilesti,17
44202,BR,Traian,7
44257,BR,Tudor Vladimirescu,6
44300,BR,Tufesti,12
44328,BR,Ulmu,6
44355,BR,Unirea,5
44391,BR,Vadeni,28
44435,BR,Victoria,7
44462,BR,Visani,3
44505,BR,Viziru,9
44532,BR,Zavoaia,6
44560,BR,Cazasu,6
44818,BZ,Municipiul Buzau,1941
44845,BZ,Municipiul Ramnicu Sarat,546
44863,BZ,Amaru,6
44934,BZ,Balta Alba,5
44989,BZ,Balaceanu,4
45003,BZ,Beceni,14
45101,BZ,Berca,36
45245,BZ,Bisoca,5
45334,BZ,Blajani,3
45361,BZ,Boldu,7
45389,BZ,Bozioru,1
45496,BZ,Bradeanu,4
45539,BZ,Braesti,3
45619,BZ,Breaza,5
45673,BZ,Buda,6
45753,BZ,Calvini,10
45815,BZ,C.a. Rosetti,3
45888,BZ,Canesti,4
45959,BZ,Catina,1
46019,BZ,Cernatesti,10
46108,BZ,Chiliile,1
46180,BZ,Chiojdu,8
46251,BZ,Cilibia,6
46313,BZ,Cislau,9
46377,BZ,Cochirleanca,14
46439,BZ,Colti,2
46484,BZ,Costesti,13
46554,BZ,Cozieni,5
46769,BZ,Galbinasi,10
46803,BZ,Gheraseni,9
46830,BZ,Ghergheasa,6
46867,BZ,Glodeanu Sarat,6
46910,BZ,Glodeanu-Silistea,7
47006,BZ,Grebanu,8
47079,BZ,Gura Teghii,4
47159,BZ,Largu,0
47186,BZ,Lopatari,9
47300,BZ,Luciu,6
47337,BZ,Magura,48
47373,BZ,Maracineni,16
47417,BZ,Margaritesti,4
47453,BZ,Merei,43
47578,BZ,Mihailesti,6
47630,BZ,Manzalesti,3
47774,BZ,Movila Banului,3
47818,BZ,Murgesti,4
47854,BZ,Naeni,2
47916,BZ,Oras Nehoiu,112
48021,BZ,Odaile,3
48138,BZ,Padina,7
48165,BZ,Pardosi,1
48227,BZ,Panatau,3
48325,BZ,Oras Patarlagele,38
48487,BZ,Pietroasele,9
48557,BZ,Parscov,18
48682,BZ,Podgoria,3
48744,BZ,Oras Pogoanele,21
48771,BZ,Posta Calnau,13
48842,BZ,Puiesti,11
48922,BZ,Racoviteni,2
48968,BZ,Ramnicelu,10
49019,BZ,Robeasca,2
49046,BZ,Rusetu,7
49073,BZ,Sageata,12
49153,BZ,Sahateni,7
49206,BZ,Sapoca,148
49233,BZ,Sarulesti,4
49313,BZ,Scortoasa,6
49439,BZ,Scutelnici,5
49484,BZ,Siriu,5
49545,BZ,Smeeni,43
49625,BZ,Stalpu,11
49643,BZ,Tisau,13
49769,BZ,Topliceni,6
49849,BZ,Tintesti,8
49894,BZ,Ulmeni,6
49956,BZ,Vadu Pasii,17
50022,BZ,Valea Ramnicului,11
50068,BZ,Valea Salciei,2
50102,BZ,Vernesti,21
50228,BZ,Vintila Voda,27
50326,BZ,Viperesti,8
50399,BZ,Valcelele,5
50415,BZ,Zarnesti,11
50479,BZ,Ziduri,8
50549,BZ,Unguriu,99
50564,BZ,Florica,4
50790,CS,Municipiul Resita,1304
50889,CS,Oras Anina,28
50923,CS,Oras Baile Herculane,38
50969,CS,Oras Bocsa,64
50987,CS,Ocna De Fier,3
51010,CS,Municipiul Caransebes,425
51056,CS,Oras Moldova Noua,119
51118,CS,Oras Oravita,179
51207,CS,Oras Otelu Rosu,140
51243,CS,Armenis,3
51305,CS,Bania,0
51332,CS,Bautar,4
51387,CS,Berliste,3
51449,CS,Berzasca,3
51500,CS,Berzovia,4
51546,CS,Bolvasnita,3
51573,CS,Bozovici,19
51626,CS,Brebu,3
51662,CS,Brebu Nou,0
51699,CS,Buchin,3
51751,CS,Bucosnita,3
51804,CS,Carasova,3
51840,CS,Carbunari,0
51877,CS,Constantin Daicoviciu,4
51948,CS,Ciclova Romana,4
51984,CS,Ciuchici,0
52035,CS,Ciudanovita,0
52062,CS,Copacele,3
52115,CS,Cornea,3
52160,CS,Cornereva,3
52570,CS,Dalboset,4
52650,CS,Doclin,3
52696,CS,Dognecea,3
52721,CS,Domasnea,0
52758,CS,Ezeris,3
52785,CS,Farliug,3
52856,CS,Forotic,3
52909,CS,Garnic,0
52936,CS,Glimboca,4
52954,CS,Goruia,0
52990,CS,Gradinari,5
53023,CS,Iablanita,4
53069,CS,Lapusnicel,3
53103,CS,Lapusnicu Mare,3
53130,CS,Luncavita,4
53167,CS,Lupac,3
53210,CS,Marga,0
53247,CS,Maureni,3
53274,CS,Mehadia,13
53327,CS,Mehadica,0
53345,CS,Naidas,3
53372,CS,Obreja,3
53425,CS,Paltinis,6
53489,CS,Coronini,3
53513,CS,Pojejena,3
53577,CS,Prigor,3
53639,CS,Ramna,3
53675,CS,Racasdia,4
53700,CS,Eftimie Murgu,4
53728,CS,Rusca Montana,4
53755,CS,Sacu,7
53791,CS,Sasca Montana,3
53853,CS,Sichevita,3
54056,CS,Slatina-Timis,6
54109,CS,Socol,3
54163,CS,Sopotu Nou,4
54270,CS,Teregova,4
54305,CS,Ticvaniu Mare,3
54350,CS,Tarnova,0
54387,CS,Toplet,7
54412,CS,Turnu Ruieni,7
54485,CS,Valiug,3
54500,CS,Varadia,3
54537,CS,Vermes,3
54573,CS,Vrani,0
54617,CS,Zavoi,11
54699,CS,Zorlentu Mare,3
54975,CJ,Municipiul Cluj-Napoca,0
55008,CJ,Municipiul Dej,0
55062,CJ,Cuzdrioara,0
55106,CJ,Jichisu De Jos,0
55160,CJ,Mica,0
55259,CJ,Municipiul Turda,0
55277,CJ,Mihai Viteazu,0
55311,CJ,Sandulesti,0
55357,CJ,Municipiul Campia Turzii,0
55384,CJ,Municipiul Gherla,0
55446,CJ,Oras Huedin,0
55473,CJ,Aghiresu,0
55598,CJ,Aiton,0
55623,CJ,Alunis,0
55687,CJ,Apahida,0
55776,CJ,Aschileu,0
55838,CJ,Baciu,0
55918,CJ,Baisoara,0
56014,CJ,Belis,0
56096,CJ,Bobalna,0
56210,CJ,Bontida,0
56265,CJ,Borsa,0
56327,CJ,Buza,0
56354,CJ,Caianu,0
56425,CJ,Calarasi,0
56461,CJ,Calatele,0
56522,CJ,Camarasu,0
56568,CJ,Capusu Mare,0
56666,CJ,Caseiu,0
56773,CJ,Catina,0
56844,CJ,Ceanu Mare,0
56988,CJ,Chinteni,0
57083,CJ,Chiuiesti,0
57163,CJ,Ciucea,0
57225,CJ,Ciurila,0
57314,CJ,Catcau,0
57350,CJ,Cojocna,0
57449,CJ,Cornesti,0
57546,CJ,Dabaca,0
57582,CJ,Feleacu,0
57644,CJ,Fizesu Gherlii,0
57706,CJ,Floresti,0
57742,CJ,Frata,0
57831,CJ,Geaca,0
57902,CJ,Gilau,0
57948,CJ,Garbau,0
58008,CJ,Iara,0
58142,CJ,Iclod,0
