Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie
1017,Municipiul Alba Iulia,AB,89,194,246,731,62
1071,Ciugud,AB,2,0,2,0,2
1151,Oras Abrud,AB,4,20,18,59,4
1213,Municipiul Aiud,AB,12,46,48,182,12
1348,Municipiul Blaj,AB,14,55,41,150,12
1455,Oras Campeni,AB,4,37,20,88,4
1696,Oras Cugir,AB,10,30,20,75,10
1794,Oras Ocna Mures,AB,8,1,21,5,8
1874,Municipiul Sebes,AB,26,52,63,158,20
1936,Oras Zlatna,AB,4,0,14,0,4
2130,Albac,AB,1,0,2,0,1
2309,Almasu Mare,AB,1,0,1,0,1
2381,Arieseni,AB,1,0,2,0,1
2577,Avram Iancu,AB,1,0,1,0,1
2915,Oras Baia De Aries,AB,3,0,4,0,3
2988,Berghin,AB,1,0,1,1,1
3039,Bistra,AB,2,0,4,0,2
3397,Blandiana,AB,1,0,1,0,1
3459,Bucium,AB,1,0,2,0,1
3761,Cenade,AB,1,0,2,0,1
3805,Cergau,AB,1,0,1,1,1
3841,Ceru-Bacainti,AB,0,0,1,0,0
3958,Cetatea De Balta,AB,2,0,2,1,2
4008,Ciuruleasa,AB,1,0,1,0,1
4106,Calnic,AB,1,0,2,0,1
4142,Cricau,AB,1,0,2,1,1
4188,Craciunelu De Jos,AB,2,0,4,1,2
4240,Daia Romana,AB,2,0,3,0,2
4268,Dostat,AB,1,0,3,1,1
4302,Farau,AB,1,0,2,0,1
4366,Galda De Jos,AB,4,2,7,37,4
4482,Garbova,AB,1,1,1,5,1
4525,Garda De Sus,AB,1,0,2,0,1
4703,Hoparta,AB,1,0,3,0,1
4767,Horea,AB,1,0,2,0,1
4927,Ighiu,AB,5,0,8,1,5
4981,Intregalde,AB,1,0,0,0,1
5103,Jidvei,AB,4,0,4,0,4
5167,Livezile,AB,1,0,1,0,1
5210,Lopadea Noua,AB,1,0,2,0,1
5309,Lunca Muresului,AB,1,0,2,0,1
5336,Lupsa,AB,1,0,2,1,1
5577,Metes,AB,1,0,3,0,1
5700,Mihalt,AB,2,0,3,0,2
5755,Miraslau,AB,1,0,1,0,1
5826,Mogos,AB,1,0,0,0,1
6048,Noslac,AB,1,0,2,0,1
6119,Ocolis,AB,0,0,0,0,0
6164,Ohaba,AB,1,0,2,0,1
6217,Pianu,AB,2,0,4,1,2
6271,Poiana Vadului,AB,3,0,1,0,3
6397,Ponor,AB,1,0,2,0,1
6468,Posaga,AB,1,0,2,0,1
6547,Radesti,AB,1,0,1,0,1
6592,Rametea,AB,1,0,1,0,1
6627,Ramet,AB,1,0,2,0,1
6761,Rosia Montana,AB,1,0,2,1,1
6930,Rosia De Secas,AB,1,0,0,0,1
6976,Salciua,AB,2,0,2,0,2
7044,Salistea,AB,1,0,2,0,1
7099,Sasciori,AB,2,0,3,2,2
7197,Scarisoara,AB,1,0,3,1,1
7348,Sancel,AB,2,0,4,0,2
7384,Santimbru,AB,2,0,3,1,2
7446,Sohodol,AB,1,0,2,0,1
7767,Stremt,AB,2,0,2,0,2
7810,Sibot,AB,1,0,4,0,1
7865,Sona,AB,2,0,2,1,2
7945,Spring,AB,2,0,2,0,2
8014,Sugag,AB,3,0,5,1,3
8096,Oras Teius,AB,5,0,19,0,5
8158,Unirea,AB,2,0,4,0,2
8229,Vadu Motilor,AB,1,0,1,0,1
8354,Valea Lunga,AB,2,0,3,0,2
8425,Vidra,AB,1,0,2,1,1
8826,Vintu De Jos,AB,2,0,3,1,2
9019,Cut,AB,1,0,1,0,1
9026,Bucerdea Granoasa,AB,1,0,2,0,1
