Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie,Total_medici_desc
179132,Municipiul Bucuresti,B,4487,8050,6080,14702,1763,14300
155243,Municipiul Timisoara,TM,1078,2259,1896,2471,298,3635
95060,Municipiul Iasi,IS,496,2418,942,4167,210,3124
69900,Municipiul Craiova,DJ,791,1555,1900,2337,228,2574
114319,Municipiul Targu Mures,MS,342,1475,474,2443,132,1949
60419,Municipiul Constanta,CT,745,751,1570,1497,239,1735
26564,Municipiul Oradea,BH,410,949,615,1757,165,1524
40198,Municipiul Brasov,BV,568,742,674,1454,211,1521
143450,Municipiul Sibiu,SB,231,821,844,1331,132,1184
9262,Municipiul Arad,AR,292,480,842,903,157,929
13169,Municipiul Pitesti,AG,423,377,616,1253,120,920
75098,Municipiul Galati,GL,199,544,696,2050,152,895
130534,Municipiul Ploiesti,PH,175,389,1012,1953,132,696
20297,Municipiul Bacau,BC,198,297,631,1363,97,592
106318,Municipiul Baia Mare,MM,164,323,788,1424,75,562
42682,Municipiul Braila,BR,169,270,713,1578,96,535
146263,Municipiul Suceava,SV,133,277,671,1139,67,477
35731,Municipiul Botosani,BT,99,311,423,1277,63,473
136483,Municipiul Satu Mare,SM,98,268,432,720,92,458
167473,Municipiul Ramnicu Valcea,VL,115,274,251,1119,56,445
86687,Municipiul Deva,HD,169,225,129,630,43,437
120726,Municipiul Piatra-Neamt,NT,141,226,263,1017,56,423
44818,Municipiul Buzau,BZ,127,210,556,978,70,407
109773,Municipiul Drobeta-Turnu Severin,MH,77,248,339,713,73,398
77812,Municipiul Targu Jiu,GJ,85,249,363,732,57,391
125347,Municipiul Slatina,OT,50,251,145,1221,51,352
1017,Municipiul Alba Iulia,AB,89,194,246,731,62,345
174744,Municipiul Focsani,VN,72,225,280,1092,47,344
32394,Municipiul Bistrita,BN,92,199,369,715,45,336
65342,Municipiul Targoviste,DB,74,218,497,1186,40,332
50790,Municipiul Resita,CS,92,183,219,763,47,322
159614,Municipiul Tulcea,TL,70,202,369,705,40,312
139704,Municipiul Zalau,SJ,104,165,300,506,40,309
63394,Municipiul Sfantu Gheorghe,CV,71,147,195,488,33,251
151790,Municipiul Alexandria,TR,64,145,234,607,34,243
83320,Municipiul Miercurea Ciuc,HR,40,172,540,777,24,236
86810,Municipiul Hunedoara,HD,73,122,98,368,40,235
161945,Municipiul Vaslui,VS,45,146,189,686,31,222
20563,Municipiul Onesti,BC,36,154,98,377,25,215
120860,Municipiul Roman,NT,71,100,341,620,34,205
161794,Municipiul Barlad,VS,44,122,201,524,33,199
100521,Municipiul Giurgiu,GR,48,114,183,430,28,190
92569,Municipiul Calarasi,CL,48,105,125,606,32,185
13490,Municipiul Campulung,AG,68,89,100,318,24,181
92658,Municipiul Slobozia,IL,37,112,144,604,29,178
95391,Municipiul Pascani,IS,54,69,68,310,48,171
131256,Municipiul Campina,PH,33,103,160,444,29,165
86990,Municipiul Petrosani,HD,40,99,48,410,21,160
106559,Municipiul Sighetu Marmatiei,MM,29,105,165,562,21,155
100576,Oras Buftea,IF,41,98,29,210,11,150
83133,Municipiul Odorheiu Secuiesc,HR,16,118,144,369,16,150
20876,Municipiul Moinesti,BC,15,120,73,169,8,143
60482,Municipiul Mangalia,CT,41,80,60,259,21,142
155350,Municipiul Lugoj,TM,52,52,126,268,32,136
125472,Municipiul Caracal,OT,19,95,47,378,19,133
143619,Municipiul Medias,SB,43,52,105,205,35,130
51010,Municipiul Caransebes,CS,37,67,76,227,18,122
40278,Municipiul Fagaras,BV,26,68,24,210,26,120
13622,Municipiul Curtea De Arges,AG,48,51,65,166,18,117
44845,Municipiul Ramnicu Sarat,BZ,26,67,130,304,19,112
146539,Municipiul Falticeni,SV,35,49,142,174,18,102
179551,Oras Voluntari,IF,76,11,75,35,14,101
146628,Municipiul Radauti,SV,30,55,153,239,16,101
78329,Oras Targu Carbunesti,GJ,5,89,7,202,5,99
114809,Municipiul Reghin,MS,25,51,52,203,22,98
1874,Municipiul Sebes,AB,26,52,63,158,20,98
151683,Municipiul Turnu Magurele,TR,23,55,71,145,17,95
87059,Municipiul Lupeni,HD,19,62,20,136,13,94
75203,Municipiul Tecuci,GL,34,37,76,210,23,94
13301,Oras Mioveni,AG,39,35,54,130,19,93
179481,Oras Otopeni,IF,43,41,66,178,8,92
63526,Oras Covasna,CV,8,78,32,180,5,91
60847,Municipiul Medgidia,CT,35,35,52,176,19,89
36006,Municipiul Dorohoi,BT,17,58,42,189,13,88
26877,Municipiul Marghita,BH,31,43,73,133,13,87
114925,Municipiul Tarnaveni,MS,17,55,18,218,15,87
63740,Municipiul Targu Secuiesc,CV,21,52,48,151,12,85
114514,Municipiul Sighisoara,MS,21,48,38,176,15,84
121055,Oras Targu Neamt,NT,25,45,99,77,13,83
1348,Municipiul Blaj,AB,14,55,41,150,12,81
151870,Municipiul Rosiori De Vede,TR,19,47,66,223,14,80
95355,Oras Harlau,IS,33,15,40,31,30,78
161829,Municipiul Husi,VS,18,43,59,200,14,75
95471,Oras Targu Frumos,IS,36,12,29,18,26,74
125542,Oras Corabia,OT,9,55,18,114,9,73
167981,Municipiul Dragasani,VL,25,36,84,108,12,73
26804,Municipiul Beius,BH,24,42,63,165,7,73
87291,Municipiul Brad,HD,13,47,29,148,12,72
114710,Oras Ludus,MS,12,51,14,129,8,71
70352,Municipiul Calafat,DJ,22,37,60,179,12,71
1213,Municipiul Aiud,AB,12,46,48,182,12,70
139884,Oras Simleu Silvaniei,SJ,8,53,30,78,8,69
