Siruta,Judet,Localitate,PersonalMediu_privat,PersonalMediu_public
1017,AB,Municipiul Alba Iulia,246,731
1071,AB,Ciugud,2,0
1151,AB,Oras Abrud,18,59
1213,AB,Municipiul Aiud,48,182
1348,AB,Municipiul Blaj,41,150
1455,AB,Oras Campeni,20,88
1696,AB,Oras Cugir,20,75
1794,AB,Oras Ocna Mures,21,5
1874,AB,Municipiul Sebes,63,158
1936,AB,Oras Zlatna,14,0
2130,AB,Albac,2,0
2309,AB,Almasu Mare,1,0
2381,AB,Arieseni,2,0
2577,AB,Avram Iancu,1,0
2915,AB,Oras Baia De Aries,4,0
2988,AB,Berghin,1,1
3039,AB,Bistra,4,0
3397,AB,Blandiana,1,0
3459,AB,Bucium,2,0
3761,AB,Cenade,2,0
3805,AB,Cergau,1,1
3841,AB,Ceru-Bacainti,1,0
3958,AB,Cetatea De Balta,2,1
4008,AB,Ciuruleasa,1,0
4106,AB,Calnic,2,0
4142,AB,Cricau,2,1
4188,AB,Craciunelu De Jos,4,1
4240,AB,Daia Romana,3,0
4268,AB,Dostat,3,1
4302,AB,Farau,2,0
4366,AB,Galda De Jos,7,37
4482,AB,Garbova,1,5
4525,AB,Garda De Sus,2,0
4703,AB,Hoparta,3,0
4767,AB,Horea,2,0
4927,AB,Ighiu,8,1
4981,AB,Intregalde,0,0
5103,AB,Jidvei,4,0
5167,AB,Livezile,1,0
5210,AB,Lopadea Noua,2,0
5309,AB,Lunca Muresului,2,0
5336,AB,Lupsa,2,1
5577,AB,Metes,3,0
5700,AB,Mihalt,3,0
5755,AB,Miraslau,1,0
5826,AB,Mogos,0,0
6048,AB,Noslac,2,0
6119,AB,Ocolis,0,0
6164,AB,Ohaba,2,0
6217,AB,Pianu,4,1
6271,AB,Poiana Vadului,1,0
6397,AB,Ponor,2,0
6468,AB,Posaga,2,0
6547,AB,Radesti,1,0
6592,AB,Rametea,1,0
6627,AB,Ramet,2,0
6761,AB,Rosia Montana,2,1
6930,AB,Rosia De Secas,0,0
6976,AB,Salciua,2,0
7044,AB,Salistea,2,0
7099,AB,Sasciori,3,2
7197,AB,Scarisoara,3,1
7348,AB,Sancel,4,0
7384,AB,Santimbru,3,1
7446,AB,Sohodol,2,0
7767,AB,Stremt,2,0
7810,AB,Sibot,4,0
7865,AB,Sona,2,1
7945,AB,Spring,2,0
8014,AB,Sugag,5,1
8096,AB,Oras Teius,19,0
8158,AB,Unirea,4,0
8229,AB,Vadu Motilor,1,0
8354,AB,Valea Lunga,3,0
8425,AB,Vidra,2,1
8826,AB,Vintu De Jos,3,1
9019,AB,Cut,1,0
9026,AB,Bucerdea Granoasa,2,0
9262,AR,Municipiul Arad,842,903
9280,AR,Fantanele,6,0
9333,AR,Livada,5,0
9360,AR,Sofronea,2,0
9397,AR,Vladimirescu,10,0
9459,AR,Oras Chisineu-Cris,65,1
9495,AR,Oras Curtici,18,2
9538,AR,Oras Ineu,33,86
9574,AR,Oras Lipova,30,35
9627,AR,Oras Nadlac,10,1
9654,AR,Oras Pancota,11,1
9690,AR,Oras Sebis,31,32
9743,AR,Almas,2,0
9798,AR,Apateu,3,0
9832,AR,Archis,2,0
9887,AR,Bata,3,0
9930,AR,Beliu,2,0
10006,AR,Birchis,3,10
10051,AR,Barsa,2,0
10104,AR,Barzava,4,0
10195,AR,Bocsig,2,0
10239,AR,Brazii,2,0
10293,AR,Buteni,4,0
10346,AR,Carand,1,0
10373,AR,Cermei,2,0
10417,AR,Chisindia,2,0
10453,AR,Conop,4,0
10514,AR,Covasint,4,0
10532,AR,Craiva,2,0
10649,AR,Dezna,3,30
10701,AR,Dieci,1,0
10765,AR,Ususau,1,0
10827,AR,Felnac,5,2
10872,AR,Ghioroc,10,10
10916,AR,Graniceri,1,0
10943,AR,Gurahont,10,14
11058,AR,Halmagiu,4,0
11174,AR,Halmagel,1,0
11236,AR,Hasmas,1,0
11307,AR,Ignesti,0,0
11352,AR,Iratosu,3,0
11398,AR,Macea,3,0
11423,AR,Misca,3,0
11478,AR,Moneasa,16,6
11502,AR,Olari,1,0
11539,AR,Paulis,3,2
11584,AR,Oras Pecica,13,6
11637,AR,Peregu Mare,3,0
11664,AR,Petris,1,4
11735,AR,Pilu,1,0
11762,AR,Plescuta,2,0
11842,AR,Savarsin,1,7
11940,AR,Secusigiu,2,0
11995,AR,Seleus,2,0
12037,AR,Semlac,3,0
12055,AR,Sintea Mare,2,0
12091,AR,Oras Santana,18,2
12126,AR,Socodor,5,0
12144,AR,Sagu,3,0
12206,AR,Seitin,2,0
12224,AR,Sepreus,3,0
12242,AR,Sicula,4,2
12288,AR,Silindia,1,0
12340,AR,Simand,3,0
12368,AR,Siria,9,2
12402,AR,Sistarovat,0,3
12457,AR,Taut,3,0
