IndicativJudet,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Rata_medie
bh,84.1,86.4,83.2,82.3,79.3,74.8,74.4,72.5,76.6,74.2,80.0,78.5,78.6,78.7,76.5,76.7,76.6,77.7,76.7,73.8,71.4,70.1,71.4,70.9,73.8,73.5,71.6,72.0,73.1,72.9,72.3,75.95483870967743
ab,83.5,86.1,85.6,80.6,80.5,79.1,83.4,71.4,72.1,72.6,74.7,70.7,73.8,70.7,69.5,68.5,70.5,71.9,70.0,66.0,64.2,65.0,67.5,68.0,76.7,77.4,77.3,79.5,81.6,82.7,81.9,74.93548387096774
ar,81.9,82.9,78.3,76.9,76.2,79.7,75.2,79.7,67.6,64.0,67.8,67.3,69.3,69.4,69.1,69.5,69.9,72.3,71.1,67.6,67.0,67.3,69.1,70.8,78.4,78.6,78.0,78.2,79.7,79.4,77.7,73.54516129032257
vl,87.0,85.4,83.0,76.4,79.9,77.7,75.7,78.7,77.6,74.9,74.9,70.6,69.7,69.0,66.8,67.8,68.1,70.5,69.6,67.2,65.9,65.7,67.4,65.6,74.5,73.9,71.6,72.3,74.4,76.1,75.8,73.34516129032258
tm,83.1,83.1,79.7,81.4,81.1,77.1,71.0,69.6,70.1,65.6,69.4,68.3,72.6,71.9,71.8,73.2,73.3,74.7,74.3,69.8,69.3,70.3,72.3,72.4,71.0,72.3,71.8,72.3,73.3,73.5,73.4,73.3225806451613
cj,85.1,84.1,83.5,78.9,78.3,75.7,73.9,70.8,70.4,64.8,66.3,66.7,68.8,67.5,65.8,68.5,68.3,71.8,73.2,70.5,69.5,70.3,71.7,73.0,73.6,74.3,74.9,76.5,77.7,79.3,78.8,73.30645161290323
sj,83.2,82.1,77.9,75.0,74.2,74.8,75.5,74.1,71.1,79.6,73.6,71.7,67.0,65.4,63.4,63.8,66.4,68.3,67.2,64.2,63.4,64.0,66.6,66.6,75.3,74.1,73.4,74.9,76.2,78.4,77.4,71.89677419354841
tr,81.1,78.8,78.6,75.6,79.9,76.4,74.9,72.5,73.1,75.1,76.1,73.1,70.1,67.3,63.3,63.8,63.9,65.2,64.2,63.1,62.6,63.2,66.4,65.7,71.7,68.3,64.3,66.4,68.7,70.0,68.6,70.06451612903227
ms,83.1,84.7,80.0,77.2,79.2,73.9,74.0,70.3,68.6,66.5,69.6,66.3,68.1,68.1,65.1,64.8,65.1,65.8,65.5,62.7,61.4,61.6,63.3,62.7,67.0,66.1,64.8,66.1,67.9,68.4,68.5,68.91612903225806
ag,86.4,86.9,82.4,80.8,79.2,75.7,75.3,71.5,71.7,69.6,71.3,66.8,66.2,63.7,62.3,62.5,62.1,64.6,64.0,59.8,58.6,58.6,60.6,60.1,64.4,65.1,65.4,67.4,69.2,69.9,69.0,68.74516129032256
hr,81.8,82.4,80.4,76.9,78.2,73.8,73.3,72.4,70.1,68.1,70.7,66.6,64.2,61.7,59.5,60.3,62.2,64.2,65.1,62.5,63.1,62.7,64.1,63.9,66.7,66.3,65.7,66.7,68.0,69.0,69.1,68.37741935483872
sb,75.2,81.2,74.8,75.6,72.5,69.1,70.6,65.5,63.6,63.7,61.9,61.5,63.4,60.9,61.2,60.0,62.6,65.4,65.5,61.3,62.4,62.4,65.3,65.5,71.6,73.6,74.4,75.6,76.1,76.5,75.4,68.2032258064516
mm,83.1,84.4,81.9,78.8,76.2,72.2,72.6,67.2,75.4,67.2,66.9,65.5,62.4,60.8,60.9,61.0,60.6,60.9,60.8,59.3,58.4,58.8,60.4,60.1,66.7,65.9,63.7,65.2,66.6,67.6,67.1,67.0516129032258
vn,85.3,85.5,80.4,78.5,78.0,80.0,76.5,68.4,67.1,67.5,68.9,66.4,61.4,59.4,58.1,57.8,57.8,58.9,58.8,56.5,56.5,55.8,58.0,56.7,68.9,68.1,65.9,66.8,68.1,69.9,69.3,66.94193548387096
hd,80.1,78.6,77.2,75.5,77.6,75.8,77.8,66.7,63.1,58.7,62.8,58.8,63.7,60.3,61.5,61.7,61.9,64.8,63.0,59.4,57.6,57.3,59.4,59.6,69.0,69.6,68.1,68.6,69.4,70.3,70.6,66.7258064516129
bn,83.4,81.8,75.5,69.5,68.2,65.0,65.1,65.0,60.9,60.8,60.2,59.4,57.5,58.0,57.6,58.4,59.6,61.9,62.3,59.9,59.7,60.6,63.1,62.4,72.9,73.4,71.9,72.7,72.6,73.3,73.2,65.99354838709678
gj,90.6,88.9,88.0,84.6,87.6,85.8,80.6,72.7,66.3,65.1,66.0,64.6,60.9,59.6,57.8,55.2,54.6,56.2,56.3,54.9,52.3,52.6,53.5,53.4,61.3,60.1,59.5,60.9,63.7,64.8,64.7,65.90645161290323
dj,82.0,82.6,79.3,75.2,74.5,70.0,68.3,70.2,66.9,69.6,69.1,67.1,63.2,62.3,60.6,61.3,61.8,63.7,63.9,60.5,60.0,58.1,59.2,58.7,62.6,61.2,58.5,59.7,61.8,62.7,63.1,65.73225806451613
bz,85.6,87.0,80.5,77.0,71.4,67.5,69.9,71.0,65.0,66.4,65.2,65.0,61.0,61.7,60.3,59.6,59.9,61.2,60.4,58.3,57.9,57.9,59.1,59.1,65.5,64.4,60.9,62.2,64.0,65.2,64.2,65.6225806451613
bv,76.6,80.5,76.2,76.4,79.5,69.0,65.9,66.2,65.2,63.1,59.1,58.0,61.1,57.4,56.2,55.1,56.6,57.7,58.6,55.6,54.8,55.4,57.8,59.2,67.3,68.4,70.6,71.5,73.6,73.7,73.0,65.13870967741936
db,86.2,86.3,83.4,80.1,75.4,73.4,71.7,72.1,69.8,67.5,67.4,65.7,65.5,62.6,60.4,59.1,58.9,60.3,58.9,56.6,55.8,55.5,56.5,55.6,57.7,57.3,55.8,56.8,58.6,59.8,59.8,64.85483870967741
mh,78.7,75.0,72.9,70.6,80.6,71.6,68.9,69.4,68.3,68.7,66.5,66.6,61.4,60.6,57.4,58.2,58.5,59.9,59.7,56.8,55.2,56.0,57.9,56.4,64.5,63.0,59.6,61.3,63.5,63.5,62.5,64.31290322580647
cv,78.0,77.0,73.0,75.0,68.8,67.0,69.4,72.3,68.6,62.2,63.5,60.0,61.5,62.0,59.9,58.3,58.4,60.9,60.3,57.2,55.3,56.4,58.4,57.7,63.5,64.3,63.0,64.2,65.2,66.3,64.6,64.26451612903227
cs,82.9,77.0,77.4,70.3,79.7,70.2,68.2,68.9,69.1,64.6,67.0,64.1,61.9,60.7,57.2,57.4,57.3,59.9,59.5,57.4,55.1,54.8,56.4,55.3,63.5,64.1,61.4,60.5,60.6,60.8,60.3,63.983870967741936
ot,84.3,82.1,78.3,75.6,73.7,70.2,68.5,67.4,66.1,64.3,65.7,64.3,59.4,58.5,56.7,58.1,57.6,59.5,58.3,55.1,54.7,54.8,56.8,55.9,62.0,60.7,57.7,59.9,62.4,63.3,62.3,63.68387096774193
ct,73.6,77.8,76.0,73.7,72.8,65.5,64.3,66.0,60.2,58.2,57.6,56.3,58.3,57.8,58.6,58.4,59.9,61.7,63.0,59.7,58.5,57.8,59.7,60.1,65.0,65.3,64.3,64.5,65.5,66.5,66.5,63.6483870967742
sv,89.0,86.9,83.1,78.4,79.4,71.1,70.4,68.8,67.2,67.0,66.6,64.4,61.4,59.4,57.4,57.0,55.8,56.8,56.3,53.8,53.7,51.9,52.5,51.3,60.2,58.4,56.4,56.6,57.8,58.4,57.3,63.377419354838715
nt,85.2,85.0,79.6,73.1,70.7,69.0,69.3,66.1,64.7,63.4,64.8,62.5,59.4,57.6,55.5,55.3,54.1,54.5,54.0,51.9,52.0,51.1,52.9,51.9,68.0,66.3,63.2,64.0,66.0,67.0,66.2,63.36451612903226
ph,80.7,83.5,84.9,84.6,82.9,73.6,70.3,65.1,61.6,58.1,56.7,56.2,56.0,55.7,54.0,54.5,55.3,57.5,57.5,55.0,53.8,53.5,54.7,55.3,60.8,61.3,61.3,62.3,63.7,64.2,63.8,63.174193548387095
bt,86.3,86.0,81.7,76.6,71.2,69.1,70.0,67.2,64.3,67.3,67.1,64.0,60.2,57.1,55.3,54.9,54.2,55.6,54.4,52.6,51.8,52.8,54.4,53.6,61.1,59.3,55.6,56.3,57.4,58.2,57.6,62.361290322580636
br,78.3,80.8,77.9,73.7,75.5,66.3,64.4,58.0,57.7,55.9,62.8,54.9,55.4,53.1,51.5,52.8,53.8,56.1,56.6,54.2,52.2,52.7,53.3,53.1,63.0,63.2,62.3,65.7,66.8,67.6,67.6,61.52258064516128
il,79.6,79.3,79.1,73.4,70.2,68.6,68.3,65.8,60.9,60.2,58.0,56.9,56.7,55.1,53.9,53.3,54.1,56.4,56.2,54.1,52.5,53.0,54.8,54.4,59.0,56.4,54.8,55.3,56.4,57.7,57.3,60.377419354838715
is,80.4,80.6,75.9,69.7,71.0,70.1,67.2,61.6,62.9,61.2,62.0,62.1,59.7,57.1,56.1,56.9,56.0,56.7,56.1,53.8,53.3,50.7,51.3,49.9,54.3,53.9,53.1,54.5,55.7,56.3,56.2,60.20322580645162
tl,83.8,77.5,73.3,68.1,69.9,68.8,66.6,56.6,58.7,55.3,56.8,55.3,52.3,53.4,51.4,51.4,51.7,52.4,52.1,49.5,47.9,48.3,51.4,51.0,63.7,63.7,62.4,64.7,65.4,67.2,67.7,59.945161290322595
vs,85.8,85.1,76.8,69.9,68.7,67.3,67.6,67.3,63.7,63.0,63.1,60.1,54.1,54.3,50.9,51.7,50.8,52.0,52.0,49.8,48.6,49.1,50.2,47.8,58.7,57.2,53.7,54.6,55.9,56.5,55.6,59.41612903225806
cl,78.9,80.2,76.6,72.5,68.3,65.5,63.7,63.7,64.1,58.8,59.9,57.0,53.9,53.3,52.4,52.5,52.6,53.1,52.9,49.9,51.0,50.6,51.6,50.7,52.7,51.2,48.1,49.2,50.6,52.1,50.7,57.68709677419354
