IndicativJudet,2015,2018
ab,77.4,81.6
ag,65.1,69.2
ar,78.6,79.7
bc,54.8,55.9
bh,73.5,73.1
bn,73.4,72.6
br,63.2,66.8
bt,59.3,57.4
bv,68.4,73.6
bz,64.4,64.0
cj,74.3,77.7
cl,51.2,50.6
cs,64.1,60.6
ct,65.3,65.5
cv,64.3,65.2
db,57.3,58.6
dj,61.2,61.8
gj,60.1,63.7
gl,54.7,56.1
gr,48.3,47.6
hd,69.6,69.4
hr,66.3,68.0
if,58.4,60.9
il,56.4,56.4
is,53.9,55.7
mh,63.0,63.5
mm,65.9,66.6
ms,66.1,67.9
nt,66.3,66.0
ot,60.7,62.4
ph,61.3,63.7
sb,73.6,76.1
sj,74.1,76.2
sv,58.4,57.8
tl,63.7,65.4
tm,72.3,73.3
tr,68.3,68.7
vl,73.9,74.4
vn,68.1,68.1
vs,57.2,55.9
