,Shapiro,KS,Chi2
RN,0.5854616761207581,0.0,0.3427159302642906
RM,0.6155468225479126,0.0,0.06139032555877675
RMI,0.48618176579475403,4.072810017859607e-93,0.20659914014955608
Emigranti,0.001085100695490837,0.0,0.9875485708247292
Imigranti,6.826787746216922e-11,0.0,1.0
RS,0.32079949975013733,7.993759477116779e-41,0.3527945354111465
Sal,7.39167489882675e-07,0.0,1.0
CSom,1.212632241731626e-06,0.0,1.0
AjSoc,0.14666950702667236,1.3321810072510669e-68,0.6465670579973797
Pensie,0.003288502572104335,0.0,0.9995260545646562
PopScolara,0.005999412387609482,0.0,0.9171372712260204
PaturiUS,0.08326364308595657,0.0,0.785879240594916
Medici,4.3708740804504487e-07,0.0,0.9999999999999911
VolumeB,4.209299788726639e-07,0.0,1.0
SpectatoriS,1.1157190726862609e-08,1.3321723501796274e-68,1.0
VizitatoriM,3.674628601402219e-08,0.0,1.0
SportiviL,0.21101276576519012,0.0,0.371573139997002
PIB,3.006436344321628e-08,0.0,1.0
SalariatiC,1.6367360800018105e-08,1.4388907060374542e-68,1.0
PAgrVeg,0.5863673090934753,0.0,0.6292191775802582
PAgrAnim,0.5548689961433411,1.332170459134491e-68,0.7355985147273
ServAgr,2.65427457790679e-10,3.157667072203173e-39,1.0
Silvicultura,8.270573744084686e-06,7.12536668632068e-12,1.0
SupLoc,1.4355087785133946e-08,0.0,1.0
DrumuriM,0.18950501084327698,2.7173828016607073e-272,0.7874227445834385
Innoptari,2.3357925371669808e-08,0.0,1.0
BugetVenituri,6.98369376550545e-06,0.0,0.999999988664457
BugetSubventii,0.6223728060722351,0.0,0.01565567579973999
Apa,0.4830643832683563,0.0,0.8492327966424611
Canal,0.00930078700184822,0.0,0.8551132852184211
Export,1.1905877727258485e-05,0.0,0.9999990801256793
