Indicativ,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
ab,-0.7952380952380951,0.054761904761905456,-0.03571428571428559,-23.608047619047625,-140.35957142857143,-0.13095238095238093,-11.309523809523853,42.331523809523816,3.7022380952381013,56.54761904761904,1.0109999999999957,10.153404761904767,-65.36230952380953,1025.8861190476182,-54.23921951219513,-98.03978571428576,3.6388333333333307,7317.759309523812,-81.02309999999997,444.6717857142853,1159.518880952381,-48.44400000000002,0.24439024390243902,0.5251904761904775,298.3945238095238,-129.89973809523792,125.46059523809527,2.687119047619035,12.112333333333325,7.167023809523812,4614.017810638095
ar,-0.19523809523809543,0.7547619047619047,-0.43571428571428594,28.76195238095238,-127.13057142857143,-1.7309523809523806,-96.30952380952385,-51.02647619047619,-18.5987619047619,-86.45238095238096,-0.5450000000000159,-71.50059523809523,8.23669047619046,-275.75788095238113,-53.279219512195134,-460.31878571428575,5.392833333333332,9585.905309523812,42.53190000000002,2145.7967857142858,35.66788095238098,15.261999999999986,0.43139024390243885,2.1761904761904773,92.31952380952379,-340.63373809523796,77.3235952380951,-40.574880952380965,3.2013333333333236,-10.372976190476187,5131.161114638096
ag,-0.49523809523809526,0.35476190476190617,-0.43571428571428594,-75.32704761904762,-165.04757142857142,-0.13095238095238093,185.69047619047615,81.3685238095238,-1.8587619047618986,147.54761904761904,1.4039999999999964,-11.63559523809522,-14.891309523809525,-358.33288095238186,-56.80821951219513,-75.30378571428577,-1.8801666666666677,3954.919309523815,217.5709,-986.3302142857146,-431.2581190476192,-79.21100000000001,0.20639024390243899,0.5631904761904778,-139.30947619047623,-532.266738095238,-724.1664047619047,-186.07688095238098,4.227333333333334,2.1250238095238103,7862.865255638095
bc,-0.2952380952380951,-0.9452380952380945,-0.23571428571428577,76.81995238095237,-22.80457142857142,1.4690476190476196,-32.30952380952385,-74.90447619047619,20.2882380952381,36.54761904761904,-0.11299999999999955,-135.10459523809527,-91.00930952380952,-353.08388095238115,-46.39721951219513,-429.8947857142858,-6.864166666666668,-10849.862690476184,-93.29309999999997,-1300.9042142857147,-110.74511904761903,-76.77300000000002,0.6913902439024389,-1.4608095238095231,-53.44647619047623,-476.611738095238,-253.46840476190482,17.96011904761906,-10.42366666666667,-5.012976190476188,-1600.4956623619044
bh,1.204761904761904,0.15476190476190688,0.06428571428571406,-65.48504761904762,-160.66757142857142,-1.630952380952381,-254.30952380952385,38.8635238095238,-13.1907619047619,-1.4523809523809632,23.482,118.65440476190474,167.00269047619048,-1131.6438809523816,-2.531219512195136,303.4972142857142,-1.6211666666666673,-2013.7886904761835,-110.97809999999997,241.93778571428538,108.76688095238092,-57.506000000000014,-0.09560975609756106,-0.6988095238095227,-98.52747619047622,1073.597261904762,25.07659523809525,-14.193880952380937,1.5523333333333227,-0.9849761904761891,771.7347136380954
bn,1.3047619047619055,-1.5452380952380942,1.2642857142857142,2.3729523809523982,-130.62357142857144,-0.5309523809523808,-319.30952380952385,220.65252380952379,-12.832761904761899,-196.45238095238096,7.141999999999996,-86.59259523809521,-101.69830952380951,-1078.3208809523812,-63.21021951219513,-315.0677857142857,-0.5881666666666678,-6639.055690476183,-68.92209999999997,-668.5502142857144,835.156880952381,-71.88100000000001,0.9903902439024388,-0.3318095238095218,-106.58247619047623,-452.29673809523797,1078.738595238095,-51.79588095238097,1.1783333333333275,-2.0989761904761863,-529.6252643619046
bt,0.10476190476190439,0.5547619047619055,0.8642857142857139,8.402952380952371,842.3264285714286,-1.0309523809523808,-186.30952380952385,-10.099476190476196,-7.239761904761899,-260.45238095238096,-4.442000000000007,-53.07059523809528,-107.39230952380953,371.9401190476183,-26.632219512195128,-469.27278571428576,-2.618166666666667,-17437.011690476185,-109.61109999999996,985.4907857142853,1077.183880952381,-36.36700000000002,-0.7156097560975611,-1.455809523809524,3.1065238095237646,-834.090738095238,-227.78740476190478,261.184119047619,-31.735666666666674,-21.637976190476188,-2092.7090997619043
br,-1.595238095238095,3.5547619047619055,0.9642857142857144,12.687952380952396,-159.05057142857143,0.36904761904761907,-250.30952380952385,-23.996476190476187,0.1232380952381007,-62.45238095238096,-22.203000000000003,45.657404761904786,-77.60730952380953,-1462.7858809523814,-21.876219512195135,-420.6037857142858,-2.4861666666666675,-4853.60669047619,-105.86709999999997,958.1627857142857,35.106880952380834,739.6289999999999,-0.892609756097561,-3.613809523809522,76.66252380952375,-507.791738095238,-363.268404761905,27.86911904761905,32.718333333333334,20.404023809523814,-2192.3168851619043
bv,1.0047619047619047,-2.2452380952380935,0.4642857142857144,44.95495238095239,-71.39557142857143,-1.3309523809523807,253.69047619047615,-22.20947619047618,-7.8827619047618995,355.54761904761904,33.121999999999986,75.38840476190478,84.6076904761905,-169.27888095238177,469.53278048780487,2833.3552142857143,3.6818333333333335,17864.559309523815,153.89390000000003,-2184.6432142857147,-171.9731190476191,-25.20800000000002,0.15439024390243894,1.9271904761904786,-66.29947619047624,2604.340261904762,-152.22640476190463,-238.70288095238095,31.72033333333333,34.96602380952381,3435.3976116380954
bz,-0.8952380952380956,2.7547619047619047,-0.43571428571428594,-58.76804761904762,-160.32957142857143,3.9690476190476196,-213.30952380952385,-18.983476190476182,36.60823809523811,-143.45238095238096,-20.36700000000002,-4.8795952380952485,-126.17530952380952,-1487.0558809523818,14.588780487804868,-199.52778571428576,2.3128333333333337,-9355.681690476187,-89.87009999999998,246.25778571428555,909.1398809523807,-34.780000000000015,-0.08560975609756105,-0.305809523809522,25.695523809523763,-671.7907380952379,-706.1584047619049,-152.78588095238098,15.024333333333331,-3.207976190476188,-1202.0142743619044
