,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-0.13439707589999095,0.13964136071584257,0.14326632211661122,0.6339196498367031,-0.268064102425609,0.8789230727728967,-0.3384482621430349,-0.1575252289783884,-0.267735305047227,0.956711128918164,0.1499496814129886,0.8411640512431227,0.5399356478556342,-0.020215104630623676,-0.745004907315108,0.5045415143448162,0.7027163127473617,0.6405811465783938,0.41964292578532947,0.1762274298003679,0.338647584753197,-0.6257132165676518,0.6685863952270618,-0.5921578168723578,-0.5598120805365502,-0.5115827471847388,-0.6399732436230378,0.24609309496380052,0.11233417378908579,0.8661032507883866
RM,-0.13439707589999095,1.0,0.6861957500493598,0.020857649175284383,-0.19643325137209935,0.5485177801168472,-0.26522140914216297,0.013483130000008071,0.5067362210085459,0.10711658088810647,-0.19908866339513737,-0.2867762914270523,-0.28249427276385597,-0.09409203373819192,0.2414361360407944,-0.08790453823308499,-0.34850764559459785,-0.5413154315949577,-0.11351761486064402,0.34357023924729563,-0.695073416665002,0.313391888324202,-0.11040006044883342,-0.218658127465072,0.3885984647844549,-0.6343919362642911,-0.15319560333237586,-0.08600859003968937,-0.26858419538892425,0.17386056626339463,-0.13920710723335417
RMI,0.13964136071584257,0.6861957500493598,0.9999999999999999,-0.3229929221372927,-0.34168673050037934,0.5302384722825542,-0.006209537504413943,0.2522657977032726,0.45542615961572813,0.25733506724593846,0.17294045263787555,0.13586572817778023,0.07010515691973151,0.393596208392383,0.15251438061437686,-0.1720462882130996,-0.25900286983643067,-0.18880770796223834,-0.30133422137686433,0.25197581468274527,-0.8702922781989458,0.3222292254518602,-0.4424956162246906,-0.3125555541604586,-0.249985693740086,-0.8076669458477729,-0.6678294107502323,-0.44848735860276734,-0.38003080598978994,0.12619537597462335,-0.0045780884713034955
Emigranti,0.14326632211661122,0.020857649175284383,-0.3229929221372927,0.9999999999999998,0.8139568169706438,-0.6381043326726711,0.21481525276679386,0.11407142042109271,-0.6247702869134313,0.1884347218929355,0.10985583185849493,0.21947111425941265,0.2953681785834364,-0.020249721745881986,-0.7080659271940988,0.13202794270477372,0.6241325656932604,0.3308613750553132,0.748773507058776,-0.3593754877419745,0.4115666815578359,-0.17581901996171803,0.4966576458983495,0.7115501956516578,0.2728332571573806,0.10581196539661394,0.06950944896631893,-0.2082291327413512,0.5253439813092106,0.5736305671445688,0.4287344798911179
Imigranti,0.6339196498367031,-0.19643325137209933,-0.34168673050037934,0.8139568169706437,1.0,-0.6266088665296369,0.6339299092075933,-0.1734230882097164,-0.5426774396067067,-0.1359598500342278,0.5713085884832572,0.19430482759908202,0.6909904202558272,0.25410092506180937,-0.5356850900736498,-0.2909869469214936,0.7992717015958563,0.5812233005265796,0.9501881776155024,-0.0012009489837184124,0.5822563568020954,0.04766973766882071,0.0332596904708695,0.9239284785153441,-0.15463858896168292,-0.04836935286295442,-0.137538481437761,-0.4776944768916488,0.5753277627727275,0.4675353307868363,0.803516402022934
RS,-0.268064102425609,0.5485177801168472,0.5302384722825542,-0.6381043326726711,-0.626608866529637,0.9999999999999999,-0.2942572921940697,-0.214007176093135,0.9770379494782035,-0.20640801487105598,-0.22945212112681515,-0.24223238429807706,-0.26794184292926676,0.03247716868061543,0.5838204891956273,-0.0453647974032934,-0.7127394780021451,-0.7670485513832874,-0.5802968998721632,0.4371924685190933,-0.6415850524564018,0.22258632478638743,-0.4350649458296945,-0.6090957964069499,-0.024057171442558055,-0.2654665518971086,-0.16739740906710926,0.09779469680326439,-0.629646525231043,-0.2494933165944114,-0.48650815989236584
Sal,0.8789230727728967,-0.26522140914216297,-0.006209537504413943,0.21481525276679386,0.6339299092075933,-0.2942572921940697,1.0,-0.3126803610397048,-0.21866783976605259,-0.21473304621834036,0.887737995593145,0.2792855123932399,0.8856250389983312,0.35511497100925576,7.416595152601781e-05,-0.633076807814553,0.3903709652916916,0.7127360151437373,0.5751458375079044,0.1509246288304652,0.3286533096142804,0.31299439392428857,-0.6316893795591214,0.5755640182575716,-0.5832850519465774,-0.43252268921523623,-0.5293566629220657,-0.5922883558947347,0.21185335134722796,0.15610450877662888,0.7527672237780914
CSom,-0.3384482621430349,0.013483130000008073,0.2522657977032726,0.11407142042109272,-0.1734230882097164,-0.214007176093135,-0.3126803610397048,1.0,-0.327203229857107,0.8802243031461462,-0.22403023744061756,0.6281519229754313,-0.07337096773851319,0.24200457330581804,-0.33282411520585825,0.7333808432350818,0.2966686651096908,-0.003323613895840289,-0.08024258548818476,-0.6909456696728626,-0.12181512596333315,-0.40957515042224957,0.35704159787509726,-0.36685290604804693,0.1304811294382631,0.06309338848940435,-0.02741314438559803,-0.0832672623737529,0.4398098183379583,0.6534901476097198,-0.2560643676542232
AjSoc,-0.1575252289783884,0.5067362210085458,0.45542615961572813,-0.6247702869134313,-0.5426774396067066,0.9770379494782035,-0.21866783976605259,-0.327203229857107,1.0,-0.2610977660879951,-0.11528769925412095,-0.24744582642886861,-0.1903570073985332,0.09896613156771558,0.6294428089318038,-0.11470687630036736,-0.6682164805443539,-0.6983979716748955,-0.4689172722455888,0.5054230865786732,-0.5815494565082501,0.1614466197453696,-0.465387374995721,-0.5065527727273683,-0.01008394206285489,-0.2685193235595593,-0.09468975928175381,0.1490054406277074,-0.5599178982529921,-0.2704694728030471,-0.43280940922918976
Pensie,-0.267735305047227,0.10711658088810647,0.25733506724593846,0.18843472189293548,-0.1359598500342278,-0.20640801487105598,-0.21473304621834038,0.8802243031461463,-0.2610977660879952,1.0,-0.08824723610274135,0.7273832775637172,-0.016815535296955814,0.2780558672109273,-0.2329430419394996,0.7122815930833248,0.16572973510594582,0.106983267894475,-0.0073274547230887735,-0.7675756291819374,-0.22877747460550166,-0.6244958034354421,0.38643333803997076,-0.29693576663390353,0.3229422071170683,-0.0650188735386661,0.07915290244233826,0.12820165025896077,0.4514329449262153,0.6331291610947949,-0.3439836530536375
PopScolara,0.956711128918164,-0.19908866339513737,0.17294045263787555,0.10985583185849493,0.571308588483257,-0.22945212112681515,0.887737995593145,-0.22403023744061756,-0.11528769925412095,-0.08824723610274135,1.0,0.39179177256571307,0.9137903569251995,0.6830133302259477,-0.04663000744701064,-0.5884166096626317,0.4637537529103503,0.7337772182854618,0.5860908914101569,0.23051952050965216,0.11140644914391584,0.12453858115269878,-0.6009275777518571,0.5894080635930591,-0.6134119533977445,-0.5271758761106003,-0.5324046955048992,-0.5769301214612798,0.26020981046943775,0.1813629340154602,0.7318022092823073
