,Shapiro,KS,Chi2
RN,True,False,False
RM,True,False,True
RMI,True,False,False
Emigranti,False,False,False
Imigranti,False,False,False
RS,True,False,False
Sal,False,False,False
CSom,False,False,False
AjSoc,True,False,False
Pensie,False,False,False
PopScolara,False,False,False
PaturiUS,False,False,False
Medici,False,False,False
VolumeB,False,False,False
SpectatoriS,False,False,False
VizitatoriM,False,False,False
SportiviL,True,False,False
PIB,False,False,False
SalariatiC,False,False,False
PAgrVeg,True,False,False
PAgrAnim,True,False,False
ServAgr,False,False,False
Silvicultura,False,False,False
SupLoc,False,False,False
DrumuriM,True,False,False
Innoptari,False,False,False
BugetVenituri,False,False,False
BugetSubventii,True,False,True
Apa,True,False,False
Canal,False,False,False
Export,False,False,False
