,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.2657692307692308,-1.6708974358974351,-0.34673076923076934,26.006466666666682,209.58239615384616,-0.2056410256410257,79.63717948717951,-8.206282692307697,-1.9366237179487182,-24.43846153846153,20.375638461538458,27.964895512820508,38.994974358974346,740.0026160256411,-0.45769218261413186,68.46335512820511,-1.285487820512821,-1188.1373192307688,48.50971923076922,-179.541069871795,7.034163461538516,-99.24979871794869,0.3574698717948717,-0.5395301282051289,-8.094828205128199,133.89089038461532,-84.178807051282,-30.287964743589743,-15.206810256410257,-7.960109615384615,-217.8575000665385
RM,-1.6708974358974351,4.954102564102563,1.4816025641025643,-160.32601666666662,-790.3160288461538,0.1510256410256406,-247.90448717948715,8.309433974358978,0.38912628205127936,-96.72179487179486,-49.8494032051282,-111.49754615384614,-155.36309230769226,-1958.5709006410254,-3.214586288305173,-245.8447782051282,2.1098788461538462,-780.3717358974375,-95.5914057692307,1174.9013051282052,800.9286467948715,277.85710128205125,-0.268496794871795,-0.47273012820512933,55.18583846153843,-650.2858762820518,-86.29764871794846,92.29304358974363,18.540748076923073,3.160823717948717,-67.31840004820509
RMI,-0.34673076923076934,1.4816025641025643,4.302435897435897,-97.89528333333334,-688.266328846154,-1.5323076923076924,-87.1794871794872,32.13803397435896,-17.14708205128205,-15.863461538461532,-16.776494871794867,-138.21937948717948,-82.66521730769229,96.17440769230745,-11.62478771106942,291.98532179487177,-1.5726461538461545,3114.2432307692306,-6.833047435897445,464.5539467948716,392.85028846153847,27.723734615384636,0.6892115384615385,1.8882198717948717,43.005763461538436,996.6208653846156,874.5855679487179,223.58885192307687,3.090264743589741,-4.725792948717948,665.0725234492946
Emigranti,26.006466666666682,-160.32601666666662,-97.89528333333334,9179.07308733333,46035.52432833333,24.11548333333333,10196.978,57.497910416666514,255.31763466666655,3985.229666666666,1356.34326175,6566.848528666667,6300.077459416666,73646.77021775,399.681900394309,2023.5786591666683,-142.64565474999998,-66358.85975933328,3279.0124978333324,-44574.30719816666,-38511.39421949999,-4273.150662749998,-26.936767499999995,-56.3906193333333,-822.4040544166666,-16767.22600558333,3620.8153364999953,-365.01253150000116,-398.01736274999985,104.0910749166666,-6028.795680755446
Imigranti,209.58239615384616,-790.3160288461538,-688.266328846154,46035.52432833333,334431.66082593595,200.48795320512824,37534.885147435896,1909.9210677884603,1971.131349826923,-934.4618910256452,6146.838925224359,31769.618282814095,22346.122846961538,385193.97573829495,1344.639602023921,-34072.67981060898,-677.4531460192306,-1787509.541861487,12500.012163653846,-89903.06992785897,-101280.19969835895,-32918.13758542307,-216.09920797435896,-535.2023488910256,-410.4654902756336,-290671.0888999102,-37363.99170500641,8001.682018448716,-5205.367056448718,-1186.7093539935902,-118692.53006639195
RS,-0.2056410256410257,0.1510256410256406,-1.5323076923076924,24.11548333333333,200.48795320512824,2.7985897435897433,-127.47820512820513,-5.9163269230769195,25.85992115384615,-4.251282051282056,-11.676690384615386,-41.75146153846152,-87.8077064102564,-699.1813980769231,-15.71098564727955,-173.0048403846154,-0.694794871794871,-6284.729167307692,-43.01524935897436,-23.188782051282118,44.67110128205122,-42.71224551282053,0.2676653846153846,-0.48970128205128205,35.31610961538462,-1111.5981294871794,-347.62119551282046,-78.10897243589746,-1.0314858974358931,1.5193038461538464,-275.21886661955125
Sal,79.63717948717951,-247.90448717948715,-87.1794871794872,10196.978,37534.885147435896,-127.47820512820513,40892.10256410256,-218.99962179487193,-1406.90216025641,14098.55769230769,4041.741775641025,21331.596519230767,23071.572955128202,196305.5046217949,4793.731069574734,22632.95652564102,-128.66756410256409,839939.5647371794,13653.21226282051,-98423.22964102565,-65581.56689102564,-9061.92691025641,-84.2374423076923,-113.95394230769222,-8934.965807692304,86520.9504102564,2792.3201730769238,-10092.286698717948,378.6489487179486,442.1144102564101,60476.459194083975
CSom,-8.206282692307697,8.309433974358978,32.13803397435896,57.497910416666514,1909.9210677884603,-5.9163269230769195,-218.99962179487193,1379.5530734102563,-44.26135092948715,-762.7118653846156,-183.20557655128192,-404.3272638717947,-660.5837663269228,12824.428316756408,176.7858777043464,1082.0009293653845,13.135408961538452,-8546.093949891045,232.59538039102551,14632.557587948717,5346.066117948718,468.5886999038462,-8.29924828205128,-10.450762948717944,1909.8666988653843,-7958.588682403843,15659.12132948718,3889.5066063141026,155.31943360256406,10.37914501282053,11745.240749463195
AjSoc,-1.9366237179487182,0.38912628205127936,-17.14708205128205,255.31763466666655,1971.131349826923,25.85992115384615,-1406.90216025641,-44.26135092948715,277.270426974359,-580.6553974358974,-146.4125893525641,-677.5660432435897,-977.6596179038459,-7718.644118320515,-147.66010165838023,-2181.758833102564,1.3368413397435985,-80663.82032794872,-492.2559171346153,-74.65471426922983,1467.0855999807693,-741.5618470256411,3.811614352564103,-4.044137314102563,481.2222643141027,-14805.993596057693,-2531.330381025641,-302.9167369551283,-51.24299296153845,-35.695856141025644,-4476.843613905103
Pensie,-24.43846153846153,-96.72179487179486,-15.863461538461532,3985.229666666666,-934.4618910256452,-4.251282051282056,14098.55769230769,-762.7118653846156,-580.6553974358974,21445.256410256407,1856.18016025641,8867.057974358973,9560.589698717948,41739.4097820513,526.9580664477795,16000.50766025641,-47.39977564102569,833660.0106282053,2845.7488717948713,-66688.98367307693,-73529.63875641025,1076.0085192307688,-37.24774358974359,53.081339743589794,-7000.608923076922,131616.58381410255,-7448.227147435902,-16709.661929487178,1739.9806794871797,1859.559314102564,73691.71674672692
