Siruta,Localitate,Judet,Categorie
1017,Municipiul Alba Iulia,ab,Femei_45-64
1071,Ciugud,ab,Femei_45-64
1348,Municipiul Blaj,ab,Femei_45-64
1696,Oras Cugir,ab,Femei_45-64
1874,Municipiul Sebes,ab,Femei_45-64
6468,Posaga,ab,Femei_45-64
6592,Rametea,ab,Femei_45-64
6627,Ramet,ab,Femei_45-64
7384,Santimbru,ab,Femei_45-64
9627,Oras Nadlac,ar,Femei_45-64
10453,Conop,ar,Femei_45-64
10649,Dezna,ar,Femei_45-64
10701,Dieci,ar,Femei_45-64
12849,Zerind,ar,Femei_45-64
13169,Municipiul Pitesti,ag,Femei_45-64
13365,Maracineni,ag,Femei_45-64
13490,Municipiul Campulung,ag,Femei_45-64
13622,Municipiul Curtea De Arges,ag,Femei_45-64
14753,Bradulet,ag,Femei_45-64
15830,Corbi,ag,Femei_45-64
17913,Poienarii De Arges,ag,Femei_45-64
18554,Salatrucu,ag,Femei_45-64
19141,Suici,ag,Femei_45-64
20297,Municipiul Bacau,bc,Femei_45-64
20563,Municipiul Onesti,bc,Femei_45-64
20778,Oras Buhusi,bc,Femei_45-64
20821,Oras Comanesti,bc,Femei_45-64
20965,Oras Targu Ocna,bc,Femei_45-64
22166,Oras Darmanesti,bc,Femei_45-64
22460,Faraoani,bc,Femei_45-64
22781,Garleni,bc,Femei_45-64
26564,Municipiul Oradea,bh,Femei_45-64
26804,Municipiul Beius,bh,Femei_45-64
26877,Municipiul Marghita,bh,Femei_45-64
26975,Municipiul Salonta,bh,Femei_45-64
27007,Oras Vascau,bh,Femei_45-64
27169,Abramut,bh,Femei_45-64
27436,Biharia,bh,Femei_45-64
28415,Cetariu,bh,Femei_45-64
28709,Campani,bh,Femei_45-64
29092,Diosig,bh,Femei_45-64
29341,Dragesti,bh,Femei_45-64
30988,Salacea,bh,Femei_45-64
31208,Spinus,bh,Femei_45-64
31379,Sinteu,bh,Femei_45-64
31565,Tarcea,bh,Femei_45-64
31841,Tulca,bh,Femei_45-64
32027,Oras Valea Lui Mihai,bh,Femei_45-64
32394,Municipiul Bistrita,bn,Femei_45-64
32483,Oras Beclean,bn,Femei_45-64
32544,Oras Nasaud,bn,Femei_45-64
32599,Oras Sangeorz-Bai,bn,Femei_45-64
32633,Bistrita Bargaului,bn,Femei_45-64
34262,Rebra,bn,Femei_45-64
34397,Salva,bn,Femei_45-64
34618,Sant,bn,Femei_45-64
34645,Sieu,bn,Femei_45-64
35731,Municipiul Botosani,bt,Femei_45-64
36006,Municipiul Dorohoi,bt,Femei_45-64
40198,Municipiul Brasov,bv,Femei_45-64
40278,Municipiul Fagaras,bv,Femei_45-64
40303,Oras Predeal,bv,Femei_45-64
40438,Municipiul Sacele,bv,Femei_45-64
40465,Oras Victoria,bv,Femei_45-64
40492,Oras Zarnesti,bv,Femei_45-64
40606,Bod,bv,Femei_45-64
40633,Bran,bv,Femei_45-64
40704,Bunesti,bv,Femei_45-64
41033,Halchiu,bv,Femei_45-64
41667,Prejmer,bv,Femei_45-64
41943,Soars,bv,Femei_45-64
42058,Teliu,bv,Femei_45-64
42456,Crizbav,bv,Femei_45-64
42682,Municipiul Braila,br,Femei_45-64
44818,Municipiul Buzau,bz,Femei_45-64
44845,Municipiul Ramnicu Sarat,bz,Femei_45-64
45003,Beceni,bz,Femei_45-64
49484,Siriu,bz,Femei_45-64
51305,Bania,cs,Femei_45-64
52936,Glimboca,cs,Femei_45-64
54975,Municipiul Cluj-Napoca,cj,Femei_45-64
55446,Oras Huedin,cj,Femei_45-64
58204,Izvoru Crisului,cj,Femei_45-64
59238,Risca,cj,Femei_45-64
60419,Municipiul Constanta,ct,Femei_45-64
60455,Oras Eforie,ct,Femei_45-64
60482,Municipiul Mangalia,ct,Femei_45-64
60507,Oras Navodari,ct,Femei_45-64
60534,Oras Techirghiol,ct,Femei_45-64
60801,Oras Harsova,ct,Femei_45-64
60847,Municipiul Medgidia,ct,Femei_45-64
63045,Topalu,ct,Femei_45-64
63294,Baraganu,ct,Femei_45-64
63394,Municipiul Sfantu Gheorghe,cv,Femei_45-64
63447,Oras Baraolt,cv,Femei_45-64
63526,Oras Covasna,cv,Femei_45-64
63553,Comandau,cv,Femei_45-64
63740,Municipiul Targu Secuiesc,cv,Femei_45-64
63777,Aita Mare,cv,Femei_45-64
64005,Brates,cv,Femei_45-64
64041,Bradut,cv,Femei_45-64
64194,Cernat,cv,Femei_45-64
64504,Malnas,cv,Femei_45-64
64602,Ojdula,cv,Femei_45-64
64773,Reci,cv,Femei_45-64
64826,Sanzieni,cv,Femei_45-64
64871,Turia,cv,Femei_45-64
64906,Valea Crisului,cv,Femei_45-64
65121,Bixad,cv,Femei_45-64
65139,Micfalau,cv,Femei_45-64
65342,Municipiul Targoviste,db,Femei_45-64
65609,Oras Fieni,db,Femei_45-64
65681,Oras Gaesti,db,Femei_45-64
65841,Municipiul Moreni,db,Femei_45-64
65921,Oras Pucioasa,db,Femei_45-64
66009,Branesti,db,Femei_45-64
66438,Buciumeni,db,Femei_45-64
68280,Nucet,db,Femei_45-64
69615,Vulcana-Bai,db,Femei_45-64
70637,Amarastii De Jos,dj,Femei_45-64
71910,Cotofenii Din Dos,dj,Femei_45-64
73594,Perisor,dj,Femei_45-64
74073,Scaesti,dj,Femei_45-64
75098,Municipiul Galati,gl,Femei_45-64
83133,Municipiul Odorheiu Secuiesc,hr,Femei_45-64
83320,Municipiul Miercurea Ciuc,hr,Femei_45-64
83375,Pauleni-Ciuc,hr,Femei_45-64
83428,Oras Baile Tusnad,hr,Femei_45-64
83464,Oras Balan,hr,Femei_45-64
83525,Oras Cristuru Secuiesc,hr,Femei_45-64
83561,Municipiul Gheorgheni,hr,Femei_45-64
83785,Atid,hr,Femei_45-64
83936,Bilbor,hr,Femei_45-64
83981,Ciucsangeorgiu,hr,Femei_45-64
84102,Carta,hr,Femei_45-64
84237,Danesti,hr,Femei_45-64
84264,Dealu,hr,Femei_45-64
84344,Ditrau,hr,Femei_45-64
84380,Darjiu,hr,Femei_45-64
84415,Frumoasa,hr,Femei_45-64
84460,Galautas,hr,Femei_45-64
84558,Joseni,hr,Femei_45-64
84656,Lunca De Jos,hr,Femei_45-64
85074,Mihaileni,hr,Femei_45-64
85289,Plaiesii De Jos,hr,Femei_45-64
85412,Remetea,hr,Femei_45-64
85626,Siculeni,hr,Femei_45-64
85680,Sancraieni,hr,Femei_45-64
85760,Sandominic,hr,Femei_45-64
85788,Sanmartin,hr,Femei_45-64
85840,Sansimion,hr,Femei_45-64
86188,Tusnad,hr,Femei_45-64
86446,Cozmeni,hr,Femei_45-64
86487,Porumbeni,hr,Femei_45-64
86495,Racu,hr,Femei_45-64
86501,Satu Mare,hr,Femei_45-64
86519,Santimbru,hr,Femei_45-64
86687,Municipiul Deva,hd,Femei_45-64
87576,Oras Hateg,hd,Femei_45-64
87638,Municipiul Orastie,hd,Femei_45-64
88868,Bucuresci,hd,Femei_45-64
90431,Pestisu Mic,hd,Femei_45-64
91624,Totesti,hd,Femei_45-64
91731,General Berthelot,hd,Femei_45-64
92097,Vorta,hd,Femei_45-64
92569,Municipiul Calarasi,cl,Femei_45-64
92658,Municipiul Slobozia,il,Femei_45-64
95060,Municipiul Iasi,is,Femei_45-64
96815,Deleni,is,Femei_45-64
100576,Oras Buftea,if,Femei_45-64
104118,Mihai Bravu,gr,Femei_45-64
104715,Putineiu,gr,Femei_45-64
106318,Municipiul Baia Mare,mm,Femei_45-64
107047,Arinis,mm,Femei_45-64
107975,Desesti,mm,Femei_45-64
109265,Oras Ulmeni,mm,Femei_45-64
109773,Municipiul Drobeta-Turnu Severin,mh,Femei_45-64
110456,Balta,mh,Femei_45-64
114319,Municipiul Targu Mures,ms,Femei_45-64
114453,Santana De Mures,ms,Femei_45-64
114970,Acatari,ms,Femei_45-64
116590,Eremitu,ms,Femei_45-64
116938,Ganesti,ms,Femei_45-64
118281,Oras Miercurea Nirajului,ms,Femei_45-64
118511,Neaua,ms,Femei_45-64
119723,Suseni,ms,Femei_45-64
120254,Vanatori,ms,Femei_45-64
120726,Municipiul Piatra-Neamt,nt,Femei_45-64
120824,Savinesti,nt,Femei_45-64
120860,Municipiul Roman,nt,Femei_45-64
120888,Cordun,nt,Femei_45-64
121055,Oras Targu Neamt,nt,Femei_45-64
121108,Agapia,nt,Femei_45-64
124563,Tasca,nt,Femei_45-64
124634,Tamaseni,nt,Femei_45-64
125347,Municipiul Slatina,ot,Femei_45-64
125418,Oras Bals,ot,Femei_45-64
130295,Calui,ot,Femei_45-64
130302,Gavanesti,ot,Femei_45-64
130534,Municipiul Ploiesti,ph,Femei_45-64
130954,Oras Azuga,ph,Femei_45-64
131103,Oras Breaza,ph,Femei_45-64
131256,Municipiul Campina,ph,Femei_45-64
131274,Poiana Campina,ph,Femei_45-64
131407,Oras Mizil,ph,Femei_45-64
131540,Oras Sinaia,ph,Femei_45-64
131817,Oras Valenii De Munte,ph,Femei_45-64
132342,Bertea,ph,Femei_45-64
132404,Brebu,ph,Femei_45-64
132805,Cornu,ph,Femei_45-64
133330,Floresti,ph,Femei_45-64
133688,Gura Vadului,ph,Femei_45-64
133795,Izvoarele,ph,Femei_45-64
134050,Magureni,ph,Femei_45-64
135654,Talea,ph,Femei_45-64
136483,Municipiul Satu Mare,sm,Femei_45-64
136526,Municipiul Carei,sm,Femei_45-64
136553,Capleni,sm,Femei_45-64
136599,Oras Negresti-Oas,sm,Femei_45-64
136642,Oras Tasnad,sm,Femei_45-64
136919,Batarci,sm,Femei_45-64
137728,Foieni,sm,Femei_45-64
137746,Gherta Mica,sm,Femei_45-64
138501,Petresti,sm,Femei_45-64
138770,Sacaseni,sm,Femei_45-64
139143,Tarsolt,sm,Femei_45-64
139250,Urziceni,sm,Femei_45-64
139704,Municipiul Zalau,sj,Femei_45-64
140440,Camar,sj,Femei_45-64
140627,Crasna,sj,Femei_45-64
142239,Nusfalau,sj,Femei_45-64
142550,Salatig,sj,Femei_45-64
143450,Municipiul Sibiu,sb,Femei_45-64
144349,Brateiu,sb,Femei_45-64
144508,Carta,sb,Femei_45-64
145275,Poiana Sibiului,sb,Femei_45-64
145382,Rau Sadului,sb,Femei_45-64
145471,Sadu,sb,Femei_45-64
145934,Turnu Rosu,sb,Femei_45-64
145961,Valea Viilor,sb,Femei_45-64
146263,Municipiul Suceava,sv,Femei_45-64
146502,Municipiul Campulung Moldovenesc,sv,Femei_45-64
146539,Municipiul Falticeni,sv,Femei_45-64
146584,Oras Gura Humorului,sv,Femei_45-64
146628,Municipiul Radauti,sv,Femei_45-64
146744,Municipiul Vatra Dornei,sv,Femei_45-64
146904,Baia,sv,Femei_45-64
147526,Cacica,sv,Femei_45-64
147786,Cornu Luncii,sv,Femei_45-64
149655,Ostra,sv,Femei_45-64
150294,Straja,sv,Femei_45-64
150418,Sucevita,sv,Femei_45-64
150766,Vadu Moldovei,sv,Femei_45-64
151978,Oras Zimnicea,tr,Femei_45-64
155662,Bara,tm,Femei_45-64
156589,Curtea,tm,Femei_45-64
157969,Ohaba Lunga,tm,Femei_45-64
159491,Livezile,tm,Femei_45-64
159614,Municipiul Tulcea,tl,Femei_45-64
159687,Oras Isaccea,tl,Femei_45-64
160911,Murighiol,tl,Femei_45-64
161794,Municipiul Barlad,vs,Femei_45-64
161829,Municipiul Husi,vs,Femei_45-64
161945,Municipiul Vaslui,vs,Femei_45-64
167473,Municipiul Ramnicu Valcea,vl,Femei_45-64
167909,Oras Calimanesti,vl,Femei_45-64
167981,Municipiul Dragasani,vl,Femei_45-64
168041,Oras Horezu,vl,Femei_45-64
174744,Municipiul Focsani,vn,Femei_45-64
174860,Municipiul Adjud,vn,Femei_45-64
175019,Oras Odobesti,vn,Femei_45-64
175055,Oras Panciu,vn,Femei_45-64
