Judet,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64,Femei_65_
ab,6.248943012129382,6.262767755216557,6.259075734164464,6.27600703229458,6.258289968915482,6.2295566142256265,6.249952596133464,6.25869606131163,6.2712570616370575,6.239088958035186
ag,6.635354347289687,6.644313286290664,6.65251396858148,6.666988558241437,6.639277088510645,6.6276912284290255,6.636252504716981,6.65277102529833,6.664615278837827,6.627814986984208
ar,6.251047392463835,6.2615062626805065,6.26648166637844,6.279505418442963,6.260759034302076,6.250214730312251,6.261862147854624,6.27211442446265,6.279123719203706,6.2446443618470004
b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bc,6.502579555319238,6.500633541741702,6.519312965350667,6.53312542411878,6.50840756536273,6.485926281681628,6.499152763783966,6.523724007686765,6.527889703244196,6.505898324392322
bh,6.626925438659732,6.629530229573224,6.638503134035066,6.654178570777743,6.620292321892224,6.627628449521777,6.630950407665533,6.6338363939620075,6.651817045551031,6.613855349196095
bn,5.927632977793444,5.924683960813816,5.929474259918525,5.948917788087205,5.923377517925424,5.920227578472187,5.9163839334096355,5.938805731661495,5.942016499931234,5.904497362033971
br,5.415733744729305,5.4211589386620345,5.4345217515547475,5.455209009346119,5.437282304786438,5.406956106914483,5.434184473914975,5.430215620906894,5.448288988991983,5.42594761220461
bt,6.252381005611528,6.262027291742658,6.271012908854799,6.279684597470567,6.2612337732027905,6.248544550956807,6.258667425738199,6.268178629817705,6.274719963648405,6.251641812614086
bv,5.817300083669448,5.82500422802054,5.83787493661073,5.851834228336717,5.817570514926588,5.807398259033967,5.8168635917545,5.828585734012803,5.8508143249314735,5.823806970636839
bz,6.3995923223879805,6.402619369460486,6.42215305243354,6.435011515633894,6.416422595511515,6.389306481387099,6.391383416425622,6.420857253949196,6.430955987512492,6.37726019282017
cj,6.289187704863729,6.298911622603036,6.305950923254297,6.33217797970376,6.30055516176956,6.302398588386963,6.279887847571036,6.302842863290647,6.327543637257321,6.278487741899031
cl,5.731741584069098,5.75287945663472,5.756939351710082,5.776896520748042,5.757815318920611,5.740516795109087,5.750735759076276,5.763966213051453,5.7728274344543244,5.72093544212842
cs,6.208556280021882,6.223280291490529,6.24322774503406,6.258661895183959,6.244278573539055,6.198874847084984,6.227461299371461,6.2411763469980635,6.256010778024023,6.214609900839336
ct,6.093545551478973,6.0912148597991855,6.108640763964458,6.124303364033746,6.107119278094541,6.087465414226996,6.102469646707937,6.112458985440802,6.120101260765456,6.087360325415477
cv,5.422609065027499,5.438061545070086,5.472510171539742,5.486013917602553,5.463235044075017,5.450588149152381,5.443393280718963,5.477166948053031,5.483134000568434,5.457405548838773
db,6.432683928737225,6.435964828075798,6.45747287563604,6.472169178513723,6.452980250975696,6.4408319271282926,6.449292236375954,6.464851204929517,6.4683671038858535,6.4379622870989
dj,6.759203215817107,6.759374279967601,6.770727923558195,6.7896288145568215,6.763481775859889,6.759520578503824,6.7603294673349135,6.775847140366835,6.786272807175571,6.735917014709105
gj,6.089801123540182,6.103911570451416,6.115054437573818,6.123616925350498,6.097521283689664,6.099467657816404,6.107884375978164,6.116834052449362,6.122899266015905,6.07874077934028
gl,5.960455264050949,5.987610619910516,6.007429174631543,6.018356213433558,5.997379585486627,5.98080090870219,5.988122024164811,6.008430305884526,6.015393023487722,5.984385074468485
gr,5.721077992695568,5.729067903875096,5.738394135951212,5.748409102969306,5.71297795120382,5.71571467770146,5.72609459526354,5.739508262814033,5.747785770913878,5.667951398214233
hd,6.073464273833309,6.07061334502493,6.092618320317739,6.101266023625249,6.087157149299393,6.041556258095594,6.083909631457941,6.080741843373316,6.0970026553739975,6.07304497930122
hr,6.018410880825929,6.028477357931545,6.0433884993351015,6.053582238742691,6.048755772385883,6.026982385439652,6.034673578954799,6.045013394497355,6.057157563826836,6.035644023899617
if,5.290825039098218,5.287395799269559,5.303612214665672,5.314028915022709,5.282209437118363,5.298596496991767,5.279330735621712,5.296623602290731,5.314038495283241,5.270735459090215
il,5.994467910615018,5.983804907588681,6.00928520651236,6.037381520274518,6.01102238338935,5.98627285648449,5.989898076180548,6.02253089155084,6.024442164906859,5.973535509654469
is,6.575112937375854,6.563715160493102,6.594061171264915,6.60621419300238,6.575537386064628,6.5913730576369725,6.551446326638482,6.593626575923452,6.603565985092888,6.563029672102377
mh,5.996063673857068,6.00608536046304,6.025459398604392,6.037948585495021,6.011973279349052,5.9968125287825735,6.011466551146088,6.028020331363935,6.037199167880973,5.98081038454508
mm,6.221357646222461,6.225874722396985,6.232353078582109,6.243511067633797,6.221356935613028,6.215080807492178,6.223713715704454,6.233950966562614,6.2420766185873635,6.213975165553652
ms,6.624961491618881,6.633805496199321,6.640206730305611,6.663869002071905,6.645337234888441,6.632620982991231,6.6381393182593555,6.6464713937661815,6.659623342339096,6.619017313995834
nt,6.337775608447003,6.339964297989037,6.358931583652031,6.369623760507951,6.355746565893406,6.334938806211432,6.345988298552007,6.355101633965472,6.362904470039087,6.34762576144622
ot,6.765974637251509,6.7760101562357935,6.787453428492029,6.80041605092194,6.7806499423043,6.753153288008868,6.764557664361774,6.783173902803087,6.799028125789622,6.741425505261347
ph,6.655153611040942,6.666892082455949,6.684105560894725,6.695842098163943,6.676742933466626,6.666429315054057,6.6746567878528245,6.682080620243258,6.6900670619327895,6.659162374740313
sb,5.959154530866897,5.963697598779363,5.971659048463748,5.98820811114441,5.959733060597775,5.962271405752913,5.9532064026566065,5.974092815348261,5.989831850952226,5.95339346988617
sj,5.895901369495866,5.8800855459732455,5.914743441944622,5.92077391484884,5.889319931546825,5.9003990969810625,5.883937394017312,5.909953826531824,5.919076506712463,5.883262607226722
sm,5.979894451594136,5.998767718546258,6.000117193436389,6.017566847397414,5.96882153102087,5.9851726856977745,5.973189852349087,6.0047138550551935,6.013595127258557,5.9695675793090315
sv,6.795448632503202,6.798261602328212,6.815725842926049,6.826238706435651,6.816604081099955,6.802089357524985,6.804230025002472,6.8162380362729404,6.8240843025704985,6.8008052636323235
tl,5.591831711195483,5.607840946273857,5.634406507623012,5.660993488189422,5.630828286209447,5.604714779691621,5.635303641041363,5.646064399907307,5.66099831905945,5.619027063213092
tm,6.58831865454784,6.601953240152603,6.6028847740513825,6.620537265543962,6.594959675840821,6.590857732706095,6.591289513421032,6.5938493443945925,6.622558127661176,6.581022642706199
tr,6.528956975459211,6.550386021472023,6.567346034432188,6.59065423245572,6.565169343468392,6.533650038023749,6.552171158677602,6.568247195754295,6.588036006372447,6.551944533575459
vl,6.443160501859782,6.439145794919025,6.457522204188198,6.469998016703836,6.4523604731683895,6.429622605773539,6.433218724865553,6.455213063870111,6.46769162521698,6.433277615076636
vn,6.141655658073949,6.140016380829297,6.165464571264391,6.178901622381874,6.157695271907178,6.150030636115178,6.157098054402675,6.174868756628923,6.181178848273426,6.145893328606013
vs,6.387004637464336,6.39551390610651,6.407975119294988,6.421449886086364,6.408408707162753,6.383227245690477,6.382098565837108,6.406410239187168,6.41409677339388,6.393819003793181
