Siruta,Localitate,Judet,Categorie
1017,Municipiul Alba Iulia,ab,Femei_45-64
1071,Ciugud,ab,Femei_45-64
1151,Oras Abrud,ab,Barbati_45-64
1213,Municipiul Aiud,ab,Barbati_45-64
1348,Municipiul Blaj,ab,Femei_45-64
1455,Oras Campeni,ab,Barbati_45-64
1696,Oras Cugir,ab,Femei_45-64
1794,Oras Ocna Mures,ab,Barbati_45-64
1874,Municipiul Sebes,ab,Femei_45-64
1936,Oras Zlatna,ab,Barbati_45-64
2130,Albac,ab,Barbati_45-64
2309,Almasu Mare,ab,Barbati_45-64
2381,Arieseni,ab,Barbati_45-64
2577,Avram Iancu,ab,Barbati_45-64
2915,Oras Baia De Aries,ab,Barbati_45-64
2988,Berghin,ab,Barbati_45-64
3039,Bistra,ab,Barbati_45-64
3397,Blandiana,ab,Barbati_45-64
3459,Bucium,ab,Barbati_45-64
3761,Cenade,ab,Barbati_45-64
3805,Cergau,ab,Barbati_45-64
3841,Ceru-Bacainti,ab,Barbati_45-64
3958,Cetatea De Balta,ab,Barbati_45-64
4008,Ciuruleasa,ab,Barbati_45-64
4106,Calnic,ab,Barbati_45-64
4142,Cricau,ab,Barbati_45-64
4188,Craciunelu De Jos,ab,Barbati_45-64
4240,Daia Romana,ab,Barbati_45-64
4268,Dostat,ab,Barbati_45-64
4302,Farau,ab,Barbati_45-64
4366,Galda De Jos,ab,Barbati_45-64
4482,Garbova,ab,Barbati_45-64
4525,Garda De Sus,ab,Barbati_45-64
4703,Hoparta,ab,Barbati_45-64
4767,Horea,ab,Barbati_45-64
4927,Ighiu,ab,Barbati_45-64
4981,Intregalde,ab,Barbati_45-64
5103,Jidvei,ab,Barbati_45-64
5167,Livezile,ab,Barbati_45-64
5210,Lopadea Noua,ab,Barbati_45-64
5309,Lunca Muresului,ab,Barbati_45-64
5336,Lupsa,ab,Barbati_45-64
5577,Metes,ab,Barbati_45-64
5700,Mihalt,ab,Barbati_45-64
5755,Miraslau,ab,Barbati_45-64
5826,Mogos,ab,Barbati_45-64
6048,Noslac,ab,Barbati_45-64
6119,Ocolis,ab,Barbati_45-64
6164,Ohaba,ab,Femei_65_
6217,Pianu,ab,Barbati_45-64
6271,Poiana Vadului,ab,Barbati_45-64
6397,Ponor,ab,Barbati_45-64
6468,Posaga,ab,Femei_45-64
6547,Radesti,ab,Barbati_45-64
6592,Rametea,ab,Femei_45-64
6627,Ramet,ab,Femei_45-64
6761,Rosia Montana,ab,Barbati_45-64
6930,Rosia De Secas,ab,Barbati_45-64
6976,Salciua,ab,Barbati_45-64
7044,Salistea,ab,Barbati_45-64
7099,Sasciori,ab,Barbati_45-64
7197,Scarisoara,ab,Barbati_45-64
7348,Sancel,ab,Barbati_45-64
7384,Santimbru,ab,Femei_45-64
7446,Sohodol,ab,Barbati_45-64
7767,Stremt,ab,Barbati_45-64
7810,Sibot,ab,Barbati_45-64
7865,Sona,ab,Barbati_45-64
7945,Spring,ab,Barbati_45-64
8014,Sugag,ab,Barbati_45-64
8096,Oras Teius,ab,Barbati_45-64
8158,Unirea,ab,Barbati_45-64
8229,Vadu Motilor,ab,Barbati_45-64
8354,Valea Lunga,ab,Barbati_45-64
8425,Vidra,ab,Barbati_45-64
8826,Vintu De Jos,ab,Barbati_45-64
9019,Cut,ab,Barbati_45-64
9026,Bucerdea Granoasa,ab,Barbati_45-64
9262,Municipiul Arad,ar,Barbati_45-64
9280,Fantanele,ar,Barbati_45-64
9333,Livada,ar,Barbati_45-64
9360,Sofronea,ar,Barbati_45-64
9397,Vladimirescu,ar,Barbati_45-64
9459,Oras Chisineu-Cris,ar,Barbati_45-64
9495,Oras Curtici,ar,Barbati_45-64
9538,Oras Ineu,ar,Barbati_45-64
9574,Oras Lipova,ar,Barbati_45-64
9627,Oras Nadlac,ar,Femei_45-64
9654,Oras Pancota,ar,Barbati_45-64
9690,Oras Sebis,ar,Barbati_45-64
9743,Almas,ar,Barbati_45-64
9798,Apateu,ar,Barbati_45-64
9832,Archis,ar,Barbati_45-64
9887,Bata,ar,Barbati_45-64
9930,Beliu,ar,Barbati_45-64
10006,Birchis,ar,Barbati_45-64
10051,Barsa,ar,Barbati_45-64
10104,Barzava,ar,Barbati_45-64
10195,Bocsig,ar,Barbati_45-64
10239,Brazii,ar,Barbati_45-64
10293,Buteni,ar,Barbati_45-64
10346,Carand,ar,Barbati_45-64
10373,Cermei,ar,Barbati_45-64
10417,Chisindia,ar,Barbati_45-64
10453,Conop,ar,Femei_45-64
10514,Covasint,ar,Barbati_45-64
10532,Craiva,ar,Barbati_45-64
10649,Dezna,ar,Femei_45-64
10701,Dieci,ar,Femei_45-64
10765,Ususau,ar,Barbati_45-64
10827,Felnac,ar,Barbati_45-64
10872,Ghioroc,ar,Barbati_45-64
10916,Graniceri,ar,Barbati_45-64
10943,Gurahont,ar,Barbati_45-64
11058,Halmagiu,ar,Barbati_45-64
11174,Halmagel,ar,Barbati_45-64
11236,Hasmas,ar,Barbati_45-64
11307,Ignesti,ar,Barbati_45-64
11352,Iratosu,ar,Barbati_45-64
11398,Macea,ar,Barbati_45-64
11423,Misca,ar,Barbati_45-64
11478,Moneasa,ar,Barbati_45-64
11502,Olari,ar,Barbati_45-64
11539,Paulis,ar,Barbati_45-64
11584,Oras Pecica,ar,Barbati_45-64
11637,Peregu Mare,ar,Barbati_45-64
11664,Petris,ar,Barbati_45-64
11735,Pilu,ar,Barbati_45-64
11762,Plescuta,ar,Barbati_45-64
11842,Savarsin,ar,Barbati_45-64
11940,Secusigiu,ar,Barbati_45-64
11995,Seleus,ar,Barbati_45-64
12037,Semlac,ar,Barbati_45-64
12055,Sintea Mare,ar,Barbati_45-64
12091,Oras Santana,ar,Barbati_45-64
12126,Socodor,ar,Barbati_45-64
12144,Sagu,ar,Barbati_45-64
12206,Seitin,ar,Barbati_45-64
12224,Sepreus,ar,Barbati_45-64
12242,Sicula,ar,Barbati_45-64
12288,Silindia,ar,Barbati_45-64
12340,Simand,ar,Barbati_45-64
12368,Siria,ar,Barbati_45-64
12402,Sistarovat,ar,Barbati_45-64
12457,Taut,ar,Barbati_45-64
12509,Tarnova,ar,Barbati_45-64
12572,Varadia De Mures,ar,Barbati_45-64
12643,Vinga,ar,Barbati_45-64
12689,Varfurile,ar,Barbati_45-64
12778,Zabrani,ar,Barbati_45-64
12812,Zarand,ar,Barbati_45-64
12849,Zerind,ar,Femei_45-64
12876,Zimandu Nou,ar,Barbati_45-64
12912,Dorobanti,ar,Barbati_45-64
12920,Frumuseni,ar,Barbati_45-64
12938,Zadareni,ar,Barbati_45-64
13169,Municipiul Pitesti,ag,Femei_45-64
13187,Bascov,ag,Barbati_45-64
13276,Bradu,ag,Barbati_45-64
13301,Oras Mioveni,ag,Barbati_45-64
13365,Maracineni,ag,Femei_45-64
13392,Oras Stefanesti,ag,Barbati_45-64
13490,Municipiul Campulung,ag,Femei_45-64
13524,Valea Mare Pravat,ag,Barbati_45-64
13622,Municipiul Curtea De Arges,ag,Femei_45-64
13668,Oras Costesti,ag,Barbati_45-64
13757,Oras Topoloveni,ag,Barbati_45-64
13819,Albestii De Arges,ag,Barbati_45-64
13891,Albestii De Muscel,ag,Barbati_45-64
13935,Albota,ag,Barbati_45-64
13999,Aninoasa,ag,Barbati_45-64
14049,Arefu,ag,Barbati_45-64
14085,Babana,ag,Barbati_45-64
14165,Baiculesti,ag,Barbati_45-64
14272,Balilesti,ag,Barbati_45-64
14352,Beleti-Negresti,ag,Barbati_45-64
14405,Berevoesti,ag,Barbati_45-64
14450,Barla,ag,Barbati_45-64
14584,Bogati,ag,Barbati_45-64
14673,Boteni,ag,Barbati_45-64
14726,Botesti,ag,Barbati_45-64
14753,Bradulet,ag,Femei_45-64
14851,Budeasa,ag,Barbati_45-64
14922,Bughea De Jos,ag,Barbati_45-64
14940,Buzoesti,ag,Barbati_45-64
15064,Caldararu,ag,Barbati_45-64
15108,Calinesti,ag,Barbati_45-64
15233,Cateasca,ag,Barbati_45-64
15313,Cepari,ag,Barbati_45-64
15402,Cetateni,ag,Barbati_45-64
15448,Cicanesti,ag,Barbati_45-64
15493,Ciofrangeni,ag,Barbati_45-64
15554,Ciomagesti,ag,Barbati_45-64
15652,Cocu,ag,Barbati_45-64
15741,Corbeni,ag,Barbati_45-64
15830,Corbi,ag,Femei_45-64
15901,Cosesti,ag,Barbati_45-64
15983,Cotmeana,ag,Barbati_45-64
16132,Cuca,ag,Barbati_45-64
16285,Davidesti,ag,Barbati_45-64
16329,Dambovicioara,ag,Barbati_45-64
16365,Darmanesti,ag,Barbati_45-64
16427,Dobresti,ag,Barbati_45-64
16454,Domnesti,ag,Barbati_45-64
16472,Dragoslavele,ag,Barbati_45-64
16506,Draganu,ag,Barbati_45-64
16551,Godeni,ag,Barbati_45-64
16613,Harsesti,ag,Barbati_45-64
16659,Hartiesti,ag,Barbati_45-64
16739,Izvoru,ag,Barbati_45-64
16757,Leordeni,ag,Barbati_45-64
16908,Leresti,ag,Barbati_45-64
16944,Lunca Corbului,ag,Barbati_45-64
17049,Malureni,ag,Barbati_45-64
17101,Merisani,ag,Barbati_45-64
17209,Micesti,ag,Barbati_45-64
17254,Mihaesti,ag,Barbati_45-64
17334,Mioarele,ag,Barbati_45-64
17398,Mirosi,ag,Barbati_45-64
17423,Moraresti,ag,Barbati_45-64
17496,Mosoaia,ag,Barbati_45-64
17575,Mozaceni,ag,Barbati_45-64
17619,Musatesti,ag,Barbati_45-64
17726,Negrasi,ag,Barbati_45-64
17771,Nucsoara,ag,Barbati_45-64
17824,Oarja,ag,Barbati_45-64
17851,Pietrosani,ag,Barbati_45-64
17913,Poienarii De Arges,ag,Femei_45-64
17968,Poienarii De Muscel,ag,Barbati_45-64
18028,Poiana Lacului,ag,Barbati_45-64
18162,Popesti,ag,Barbati_45-64
18242,Priboieni,ag,Barbati_45-64
18331,Ratesti,ag,Barbati_45-64
18411,Recea,ag,Barbati_45-64
18475,Rociu,ag,Femei_65_
18527,Rucar,ag,Barbati_45-64
18554,Salatrucu,ag,Femei_45-64
18581,Sapata,ag,Barbati_45-64
18670,Schitu Golesti,ag,Barbati_45-64
18741,Slobozia,ag,Barbati_45-64
18778,Stalpeni,ag,Barbati_45-64
18858,Stoenesti,ag,Barbati_45-64
18938,Stolnici,ag,Barbati_45-64
19007,Suseni,ag,Barbati_45-64
19114,Stefan Cel Mare,ag,Barbati_45-64
19141,Suici,ag,Femei_45-64
19212,Teiu,ag,Barbati_45-64
19249,Tigveni,ag,Barbati_45-64
19338,Titesti,ag,Barbati_45-64
19392,Uda,ag,Barbati_45-64
19560,Ungheni,ag,Barbati_45-64
19631,Valea Danului,ag,Barbati_45-64
19695,Valea Iasului,ag,Barbati_45-64
19793,Vedea,ag,Barbati_45-64
19999,Vladesti,ag,Barbati_45-64
20048,Raca,ag,Barbati_45-64
20055,Vulturesti,ag,Barbati_45-64
20063,Bughea De Sus,ag,Barbati_45-64
20297,Municipiul Bacau,bc,Femei_45-64
20313,Hemeius,bc,Barbati_45-64
20359,Letea Veche,bc,Barbati_45-64
20411,Magura,bc,Barbati_45-64
20466,Margineni,bc,Barbati_45-64
20563,Municipiul Onesti,bc,Femei_45-64
20607,Gura Vaii,bc,Barbati_45-64
20670,Stefan Cel Mare,bc,Barbati_45-64
20778,Oras Buhusi,bc,Femei_45-64
20821,Oras Comanesti,bc,Femei_45-64
20876,Municipiul Moinesti,bc,Barbati_45-64
20910,Oras Slanic-Moldova,bc,Barbati_45-64
20965,Oras Targu Ocna,bc,Femei_45-64
21007,Agas,bc,Barbati_45-64
21098,Ardeoani,bc,Barbati_45-64
21123,Asau,bc,Barbati_45-64
21196,Balcani,bc,Barbati_45-64
21249,Beresti-Bistrita,bc,Barbati_45-64
