,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
BoliInfectioase,0.17777940856060132,0.4171634376369483,-0.30871492067031453,-0.24165476721312087,-0.23258019466370336,-0.28075596203925385,0.45056072003619463,0.13051011654354316,-0.460951164739191,0.09152398686070191,-0.16217045562059684,-0.1419734167744676,-0.04470814559060953,0.1150053171610605,0.07159401195595176,-0.007256760171396235,0.00042512776890597055
Tuberculoza,-0.3386980834162452,0.5208407888776421,0.05613058786036002,-0.25935179477088693,0.05137858538144762,0.1596352667995477,0.47738429749801065,0.2429319131115941,0.41110544902929136,0.023976173535735192,-0.08772051934681242,0.07318087590814479,-0.07863891142124607,-0.18253577313054728,0.04712844483846394,-0.06482489105906188,-6.581499812346852e-05
Tumori,-0.6557277050690934,0.13081858591203985,0.015431746210409172,-0.16395237051338973,0.3205572594225697,-0.24150500741359598,-0.2684304906974396,-0.11652178310395872,-0.11258794346791944,0.4334094076963744,-0.017884759474020892,-0.14442863995988311,0.1547830046731558,-0.16903749538384158,0.05259668427876513,-0.045586058290548084,-0.00025827029065061486
BoliEndocrine,-0.46712268242989263,-0.7625888461968866,-0.19400889851862882,0.08782555559514756,-0.04511203302764393,-0.23469481278744878,0.15229997936475256,0.261516660005963,0.059442565739490874,0.009099354242759462,-0.005391059446199135,-0.030006887569624236,0.009713370879501524,0.0072952524321250765,-0.009664260194708084,-0.0019538598299136275,-0.037528562176862096
Diabet,-0.46642561139783417,-0.7637714153585918,-0.16049887899826348,0.08453095221905868,-0.004081194847709727,-0.25489813685482765,0.16128844869588463,0.2523191178733083,0.07124513182670199,-0.001012912590110457,-0.027594240937858335,-0.056055676715359444,0.00435163177666783,-0.0030940050651092504,-0.03282380453713255,0.008272142148633786,0.03703334912806602
TulbMentale,-0.2980700690315605,-0.20208517400565382,-0.14884883969723384,0.2097802272046166,-0.5236853069406568,0.5766534330808254,0.04202177722703504,-0.05028763162689045,-0.05816089885306904,0.29423118105170676,0.25865176542912793,-0.09883366759538091,-0.145664011336226,0.01591844573955205,0.04162714586036945,-0.0570164649324011,0.0018253811577350315
SistNervORL,-0.2196683933167726,-0.32295206774963636,-0.41495504069239403,-0.40841397990856826,0.2132944670983357,0.20958561826071034,0.3553009295828569,-0.41604268047196175,-0.025385103747035957,0.1544363871731953,-0.03989287102652905,0.266262788858976,0.07976862250632176,0.08539297735317632,-0.09060595231339585,0.029332594472119302,0.0001484719542358498
ApCirculator,-0.7192436495676604,0.22869564823168165,0.5246036961836751,0.11552298757617817,-0.035202416743229305,0.004404333037035519,0.17448896528279603,0.04382146447990483,-0.15632301432239046,0.024090696972814435,0.16273875078449282,0.07514713292685561,-0.03143294295008233,-0.05569756011578465,0.02932214711000196,0.21472831959241082,-0.0006477242634793818
BoalaIschemica,-0.19531817842443505,0.4652942698427948,-0.1815182701889495,0.524566334599838,0.30310134443355935,-0.3763190619833929,0.060043779138129305,0.01345543635952479,0.19220403593204027,0.17331585155257875,0.22903520936908647,0.11531804729837555,-0.09055837755520085,0.2400863115853289,0.0013812348680087138,-0.03714482738715143,0.0007116680036694018
BoliCerebroVasculare,-0.5362762248410322,0.10351665634647562,0.7005554836580868,0.01799596568838908,-0.12881218543464773,-0.008320231381380903,0.11937813811702729,0.05295234734831321,-0.25903670180464367,-0.1307628759676457,0.08532343348227255,0.10207769543576191,0.14410550110864154,0.04473043776410543,-0.17764189933007024,-0.14370320704494474,0.0001590697098537362
BRespiratorii,-0.6113044963165853,-0.012100198962394384,-0.3660735668105299,-0.1901727773959891,0.3079360016444591,-0.05389471366527483,-0.007206624314655731,-0.21832100307624075,-0.17632857239967242,-0.4017426598001272,0.2433092179941302,-0.07646643658844088,-0.19154498080186946,-0.07451561165785037,0.09006950538881621,-0.0514744364638706,0.00016794527335560773
BDigestive,-0.7779954275251598,0.10541391977221647,-0.04608351888472998,-0.21948055021464963,-0.1574414722925017,0.21717762765358964,-0.26322751546878786,0.10961682683570136,0.10139878066872672,-0.12182804447221263,-0.1514414262338685,0.07004303076888728,0.17490275887584067,0.22854847694970315,0.2103623977287533,-0.003457296892448254,0.0017650263839066509
BGenitoUrinar,-0.005539066258154536,-0.05635653233710778,-0.07096790753310142,0.224667878359614,0.6264946610189084,0.49322086605729865,-0.10842041566423345,0.37767010673957696,-0.30529281816597825,0.06329325717458442,-0.17417867066587583,0.09175038722769288,-0.12043293868110212,0.01438118800530504,-0.019549038933547386,-0.008361476530102671,-8.297611851549608e-05
SarcinaNastere,-0.24498036992081287,0.08268788884259444,-0.04110779841578028,0.7071592654049735,0.1625514278669228,0.23288576371266395,0.3316665564862896,-0.28171458291676826,0.06213336481608616,-0.12909230037857491,-0.20768681368186756,-0.26471306702720865,0.1660440991021446,0.0011992822691580041,0.003050519495971172,0.0065992406208645734,-0.0012501396821708473
MalfCongenitale,-0.11592758569354403,0.1693878628978601,-0.5848228960882021,0.5187501300274244,-0.3532712679276153,-0.13925914841449372,-0.09654146878475636,-0.002692824857285175,-0.16847921167953905,-0.05818153402315675,-0.08873722605288795,0.32415605853598606,0.08219423448791231,-0.19931075099079595,0.04182941484793563,-0.01653427907548089,0.001514168856420613
Accidente,-0.7245646798045577,0.27507367916426945,-0.1552200692174559,-0.04343129012614216,-0.23426436770673983,-0.07325901938405131,-0.2739943049867099,-0.1153229587550936,0.08361829245810605,0.0018270138134935015,-0.3235732665067932,-0.06437373955665913,-0.25508874102044365,0.03798823778253521,-0.20425025021996818,0.025865664553406408,-0.0015632668145564872
AlteCauze,-0.07186670007310107,0.4345585801965018,-0.6985043871978739,-0.17003277759207946,0.001580589669376389,0.18367338093890914,-0.07655898377059887,0.2823234495071889,0.03727696336157954,-0.0757237882178024,0.24752222156333198,-0.13699948233091327,0.22044769033215894,-0.003153602446610372,-0.17692141475812442,0.05291584938764611,-0.0003165711363279259
