,Varianta,Procent varianta,Varianta cumulata,Procent cumulat
C1,3.574824099385458,21.028377055208544,3.574824099385458,21.028377055208544
C2,2.366425889252468,13.920152289720379,5.941249988637926,34.94852934492892
C3,2.1522519064458026,12.660305332034115,8.09350189508373,47.608834676963035
C4,1.6018349466301043,9.422558509588836,9.695336841713834,57.03139318655187
C5,1.3091988651652302,7.701169795089577,11.004535706879064,64.73256298164145
C6,1.2069159556038345,7.0995056211990155,12.211451662482899,71.83206860284047
C7,1.0098250441876158,5.940147318750673,13.221276706670515,77.77221592159114
C8,0.7768986011722306,4.56999177160135,13.998175307842747,82.34220769319249
C9,0.710479955317835,4.179293854810788,14.708655263160582,86.52150154800329
C10,0.5610519139119403,3.3003053759525853,15.269707177072522,89.82180692395588
C11,0.5192649171101921,3.05449951241289,15.788972094182714,92.87630643636876
C12,0.3776776122944623,2.2216330134968336,16.166649706477177,95.09793944986559
C13,0.31956877636311487,1.8798163315477316,16.486218482840293,96.97775578141332
C14,0.24464489106269352,1.4390875944864303,16.730863373902988,98.41684337589975
C15,0.18116997894601142,1.065705758505948,16.912033352849,99.48254913440569
C16,0.08517267808825577,0.5010157534603272,16.997206030937257,99.98356488786601
C17,0.002793969062770002,0.016435112133941165,17.000000000000025,99.99999999999996
