,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
BoliInfectioase,0.031605518108157205,0.20563085180923327,0.30093575405371187,0.3593327805705395,0.4134263275203457,0.49225023774093263,0.6952552001804668,0.712288090700676,0.9247640669750928,0.9331407071459707,0.9594399638221627,0.9795964148927794,0.9815952331749305,0.9948214561502466,0.9999471586981956,0.9999998192663808,1.0000000000000007
Tuberculoza,0.11471639170983779,0.3859915190685223,0.3891421619620719,0.45640551541295216,0.4590452744487509,0.4845286928549136,0.7124244603525828,0.7714403747606419,0.9404480649822171,0.9410229218796328,0.9487178113941073,0.9540732519927906,0.9602573303823092,0.9935766388546758,0.995797729167568,0.9999999956683873,1.0000000000000013
Tumori,0.42997882319517994,0.4470923256152057,0.44733046440630814,0.474210844203268,0.5769678007717767,0.6352924693776177,0.7073473977136859,0.7209247236514119,0.7336007686657473,0.9214444833454694,0.921764347966913,0.9426239800075745,0.9665817585432247,0.9951554333888669,0.997921844585987,0.9999999332964562,0.9999999999999992
BoliEndocrine,0.21820360044049833,0.7997453487843972,0.8373848014888088,0.8450981297044051,0.8471332252282924,0.902214880377628,0.9254101640921321,0.9938011275528065,0.9973345461745001,0.9974173444221354,0.9974464079440878,0.9983468212457038,0.9984411708195466,0.9984943915275951,0.9985877894527061,0.9985916070209411,1.0000000000000038
Diabet,0.2175528509678434,0.80089962588671,0.8266595160464093,0.83380499792947,0.8338216540808551,0.8987947142529176,0.9248086779356426,0.9884736151800071,0.9935494839890112,0.9935505099809264,0.994311952113863,0.99745419100588,0.9974731277049996,0.9974827005723426,0.9985601027166344,0.9986285310523616,1.0000000000000029
TulbMentale,0.08884576605247926,0.12968418360537465,0.15184016068458747,0.19584790441060804,0.470094205116138,0.8026233870000399,0.8043892167613584,0.8069180626560003,0.8103007528113972,0.8968727407144794,0.9637734764740841,0.9735415703244383,0.9947595745229985,0.9950129714377616,0.996745790710242,0.9999966679836297,1.0000000000000007
SistNervORL,0.0482542030223723,0.15255224108613802,0.3247399268821644,0.4915419058669208,0.5370364355616838,0.580962566943408,0.7072013175058502,0.8802928294801451,0.8809372329723929,0.904787830655502,0.9063792718142413,0.9772751445452009,0.983638177681757,0.990930138262997,0.9991395768576143,0.9999999779560802,1.0000000000000013
ApCirculator,0.5173114274434075,0.5696131269635166,0.8448221650130903,0.858167725671616,0.85940693581618,0.8594263339656811,0.8898727329711419,0.8917930537203055,0.9162299385271437,0.9168103002077798,0.943294201214677,0.9489412928018035,0.9499293227043066,0.953031540907158,0.9538913292182987,0.9999995804532792,1.0000000000000007
BoalaIschemica,0.03814919082303945,0.254647948371579,0.28759683078396747,0.5627666701794767,0.6546370951769078,0.7962531315889685,0.799858387002157,0.8000394357697822,0.8369818271983472,0.8670202115977428,0.919477338728484,0.9327755907611944,0.9409764105066247,0.9986178475172723,0.998619755327033,0.9999994935286542,1.0000000000000018
BoliCerebroVasculare,0.28759218932974934,0.29830788747090364,0.7890858731543196,0.7894097279353772,0.8060023070518273,0.806071533302067,0.8203226731623551,0.8231266242520515,0.8902266371338794,0.9073255668652093,0.914605655166413,0.9250255110718891,0.9457919065216618,0.9477927185842303,0.9793493629818251,0.9999999746968273,0.9999999999999999
BRespiratorii,0.3736931872168741,0.37383960203180366,0.5078494583491872,0.5440151436116916,0.6388397247204679,0.6417443648815299,0.6417963003155425,0.6894603606997584,0.7205521261442649,0.8819492908475456,0.9411486664084607,0.9469957823329948,0.9836852620033832,0.9892378383841268,0.9973503541851129,0.9999999717943859,1.0000000000000007
BDigestive,0.6052768852500562,0.6163889797317995,0.6185126704445988,0.6666843823671241,0.6914721995647547,0.7386383215179959,0.8079270464178668,0.819942895143395,0.8302246078644996,0.845066680284423,0.8680011858641712,0.8729072120234624,0.903498187085843,0.9557325934018719,0.9999849317800621,0.9999968846818647,1.0000000000000004
BGenitoUrinar,3.06812550122261e-05,0.003206739992075701,0.008243183891702534,0.05871883945831284,0.4512143997435098,0.6944812224578215,0.7062362089906267,0.8488709185153102,0.9420746233390352,0.9460806597428033,0.9764188690577349,0.9848370026141665,0.9993410953335327,0.9995479139019766,0.999930078825202,0.9999999931149655,1.0000000000000018
SarcinaNastere,0.060015381646538316,0.06685266860778356,0.06854251969837599,0.5686167463464777,0.5950397130480531,0.6492754919880839,0.759278196679557,0.8386413029075257,0.8425018579308946,0.8591666799479268,0.9023004925252536,0.972373500380205,0.9999441432268478,0.9999455815048088,0.9999548871740042,0.9999984371507762,1.000000000000001
MalfCongenitale,0.013439205124733993,0.04213145322183824,0.38414927301083035,0.6532509704143001,0.7780515591574851,0.7974446695746151,0.8067649247697333,0.8067721760754453,0.8351574208436042,0.8385425117448919,0.8464168070324533,0.9514939573180389,0.9582498495010928,0.9979746249616079,0.9997243249081287,0.9999977072926746,1.0000000000000002
Accidente,0.5249939752202812,0.6006595041892486,0.6247527740771204,0.6266390510391415,0.6815188450161801,0.6868857289372929,0.7619586081024432,0.7752579929184722,0.7822500117520815,0.7822533497315562,0.8869530085294325,0.8910969868739411,0.9561672526693361,0.9576103588791586,0.9993285235940782,0.9999975561968676,1.000000000000001
AlteCauze,0.005164822579397065,0.19400598220179655,0.6819143611364739,0.7108255065921514,0.7108280048558543,0.7445639157213839,0.7504251937173707,0.8301317238590089,0.8315212958564695,0.837255387958524,0.8985226381261713,0.9172914962851095,0.965888680457893,0.9658986256662843,0.9971998126663005,0.9999998997827165,1.0000000000000009
