Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
ab,0.14291832845478844,0.018874240868066095,0.08994398774803339,0.1424154794015935,0.02500633370472972,0.2934808044206266,0.03486776610870528,8.425432941314063e-07,0.22713240850490035,0.0023551345954127834,0.0021571949228283895,0.008180135843814001,0.007157687797697261,0.0011155903129189352,0.00044613626338101917,0.0013537714883250854,0.0025941570208849935
ar,0.025175325716071322,0.18876239867483713,0.1642717537679748,0.004172842480641762,0.30828084814176276,0.006982776170667161,0.05007953644786241,0.06412217486313448,0.038513764420783754,0.04823373433938294,0.043612415346527426,0.015644488344191337,0.0180116992423995,0.003893899559191298,0.013328575259107115,0.0068838315085849085,2.9935716879946895e-05
ag,0.008849818275540072,0.5091314957667457,0.012894151511728883,0.16938224096905072,0.002262886694316478,1.2560206753431912e-05,0.17435298718627035,0.009245295127398587,0.022659785478780777,0.010592918195393795,0.03875379342936458,0.0017415071245577283,0.002019389169794165,0.033667903725154304,0.0036677608213756016,0.00029338900686227585,0.00047211731091270615
bc,0.12229661654144809,0.16589451443137337,0.10646244756559271,0.11048316449610598,0.13667538027538903,0.07980006288194243,0.00900662127161438,0.10301080618046593,0.006035840084981679,0.0016570134395741045,0.05396330901034834,0.08251075195865433,0.007975076971152639,0.005089012018285279,0.0033357876073429327,0.005565953460884028,0.00023764180484473193
bh,0.05495725513452769,0.04597060765787961,0.0011647048432311654,0.3403839828772445,0.3386297646017277,0.09851203225458627,0.05285307116911212,0.016119799171607527,0.016107381722943667,0.0010842750478187219,0.023981324909360547,0.00012896667992744301,0.006820747228945952,4.946394110029127e-05,0.00316232895940512,6.048649416257106e-05,1.3807306419203347e-05
bn,0.17414079099089808,0.14038288806786253,0.07004768674813615,0.34881465283241225,0.056471509427233856,0.06879880694151648,0.11828967796768122,0.0018443032117569644,3.9573690824090595e-05,0.0031488933017350166,0.005350790798956349,0.0005923863652502917,0.0005485153083864634,0.0070238231778245175,0.0036070394244606795,0.0006767819264011428,0.00022187981866388182
bt,0.2866886205701435,0.2981451372766276,0.021065146602197063,0.024015507951413287,0.054162648228573806,0.10124808076554181,0.06648021188741934,0.03351206506345764,0.010692409743109671,0.02462873007500256,0.007827024877828872,0.05227576248265899,0.00018336875835479348,0.005659443920363338,0.003425006105647807,0.009916997385909086,7.383830575073893e-05
br,0.42947559966668836,0.015054738662298853,0.09992256431552862,7.324260436605875e-05,0.2518363615648769,0.00045249473374084695,0.04885521598643561,0.0448828951797451,0.052446431563129656,0.017713438043691875,0.0037384552737052676,0.002173343884037877,0.01919758764539188,0.010406951339191759,0.0036363885995737877,8.545141001139476e-05,4.883952758621973e-05
bv,0.304754452892385,0.08938844987985008,0.01772791854535513,0.0076554208818038726,0.18217888401699614,0.020102063964957416,0.21511966927177553,0.07293820439550025,0.048844637074103386,0.010307779116268564,0.0012347464433577508,0.012464254142607753,0.004530970354919773,0.010345173431318378,2.5802081616881833e-05,0.0023379288716885837,4.364463549552452e-05
bz,0.27665472640412503,0.15431241878092014,0.1843738149788642,0.018056239947957197,0.02539030875740215,0.03739298361935336,0.044262859463733935,0.10955100379253092,0.10454192789285141,0.019460293025488618,0.0005660305212152876,0.002132002031642089,0.017180537113161243,0.0005202783477923054,0.002961936141552173,0.0023786558868768327,0.00026398329453303313
