,KMO
BoliInfectioase,0.4931167785101281
Tuberculoza,0.41105588673498344
Tumori,0.6559300790412892
BoliEndocrine,0.4459705995685295
Diabet,0.4487414441888495
TulbMentale,0.23610051934644183
SistNervORL,0.46401466772059363
ApCirculator,0.5318824625904657
BoalaIschemica,0.43582466949044346
BoliCerebroVasculare,0.5970448709122259
BRespiratorii,0.5775180914169504
BDigestive,0.6260689621757806
BGenitoUrinar,0.4246594425624131
SarcinaNastere,0.3631999812437656
MalfCongenitale,0.4161434202618838
Accidente,0.5719177771677372
AlteCauze,0.43650382794011017
KMO Total,0.49171676014310756
