Siruta,Localitate,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
1017,Municipiul Alba Iulia,1142.45,1142.45,37141.5,3741.5,14866,7428.3,1142.45,141.5,1142.45,1142.45,37141.5,3741.5,14866,7428.3,1142.45,141.5
1071,Ciugud,447.45,447.45,1491.5,1491.5,200000,298.3,447.45,14.5,447.45,447.45,1491.5,1491.5,200000,298.3,447.45,14.5
1151,Oras Abrud,826.95,826.95,2756.5,2756.5,11026,551.3,826.95,2756.5,826.95,826.95,2756.5,2756.5,11026,551.3,826.95,2756.5
1213,Municipiul Aiud,3947.7,3947.7,13159.0,13159.0,52636,2631.8,3947.7,13159.0,3947.7,3947.7,13159.0,13159.0,52636,2631.8,3947.7,13159.0
1348,Municipiul Blaj,3149.1,3149.1,10497.0,10497.0,41988,2099.4,3149.1,10497.0,3149.1,3149.1,10497.0,10497.0,41988,2099.4,3149.1,10497.0
1455,Oras Campeni,1144.35,1144.35,3814.5,3814.5,15258,762.9,1144.35,3814.5,1144.35,1144.35,3814.5,3814.5,15258,762.9,1144.35,3814.5
1696,Oras Cugir,4015.2,4015.2,13384.0,13384.0,53536,2676.8,4015.2,13384.0,4015.2,4015.2,13384.0,13384.0,53536,2676.8,4015.2,13384.0
1794,Oras Ocna Mures,2196.15,2196.15,7320.5,7320.5,29282,1464.1,2196.15,7320.5,2196.15,2196.15,7320.5,7320.5,29282,1464.1,2196.15,7320.5
1874,Municipiul Sebes,4882.8,4882.8,16276.0,16276.0,65104,3255.2,4882.8,16276.0,4882.8,4882.8,16276.0,16276.0,65104,3255.2,4882.8,16276.0
1936,Oras Zlatna,1196.1,1196.1,3987.0,3987.0,15948,797.4,1196.1,3987.0,1196.1,1196.1,3987.0,3987.0,15948,797.4,1196.1,3987.0
2130,Albac,318.9,318.9,1063.0,1063.0,4252,212.6,318.9,1063.0,318.9,318.9,1063.0,1063.0,4252,212.6,318.9,1063.0
2309,Almasu Mare,193.05,193.05,643.5,643.5,2574,128.7,193.05,643.5,193.05,193.05,643.5,643.5,2574,128.7,193.05,643.5
2381,Arieseni,258.3,258.3,861.0,861.0,3444,172.2,258.3,861.0,258.3,258.3,861.0,861.0,3444,172.2,258.3,861.0
2577,Avram Iancu,234.0,234.0,780.0,780.0,3120,156.0,234.0,780.0,234.0,234.0,780.0,780.0,3120,156.0,234.0,780.0
2915,Oras Baia De Aries,611.4,611.4,2038.0,2038.0,8152,100000.0,611.4,2038.0,611.4,611.4,2038.0,2038.0,8152,100000.0,611.4,2038.0
2988,Berghin,308.55,308.55,1028.5,1028.5,4114,205.7,308.55,1028.5,308.55,308.55,1028.5,1028.5,4114,205.7,308.55,1028.5
3039,Bistra,725.85,725.85,2419.5,2419.5,9678,483.9,725.85,2419.5,725.85,725.85,2419.5,2419.5,9678,483.9,725.85,2419.5
3397,Blandiana,142.2,142.2,474.0,474.0,1896,94.8,142.2,474.0,142.2,142.2,474.0,474.0,1896,94.8,142.2,474.0
3459,Bucium,229.5,229.5,765.0,765.0,3060,153.0,229.5,765.0,229.5,229.5,765.0,765.0,3060,153.0,229.5,765.0
3761,Cenade,147.45,147.45,491.5,491.5,1966,98.3,147.45,491.5,147.45,147.45,491.5,491.5,1966,98.3,147.45,491.5
3805,Cergau,244.2,244.2,814.0,814.0,3256,162.8,244.2,814.0,244.2,244.2,814.0,814.0,3256,162.8,244.2,814.0
3841,Ceru-Bacainti,38.55,38.55,128.5,128.5,514,25.7,38.55,128.5,38.55,38.55,128.5,128.5,514,25.7,38.55,128.5
3958,Cetatea De Balta,476.25,476.25,1587.5,1587.5,6350,317.5,476.25,1587.5,476.25,476.25,1587.5,1587.5,6350,317.5,476.25,1587.5
4008,Ciuruleasa,179.7,179.7,599.0,599.0,2396,119.8,179.7,599.0,179.7,179.7,599.0,599.0,2396,119.8,179.7,599.0
4106,Calnic,282.0,282.0,940.0,940.0,3760,188.0,282.0,940.0,282.0,282.0,940.0,940.0,3760,188.0,282.0,940.0
4142,Cricau,316.8,316.8,1056.0,1056.0,4224,211.2,316.8,1056.0,316.8,316.8,1056.0,1056.0,4224,211.2,316.8,1056.0
4188,Craciunelu De Jos,322.2,322.2,1074.0,1074.0,4296,214.8,322.2,1074.0,322.2,322.2,1074.0,1074.0,4296,214.8,322.2,1074.0
4240,Daia Romana,472.5,472.5,1575.0,1575.0,6300,315.0,472.5,1575.0,472.5,472.5,1575.0,1575.0,6300,315.0,472.5,1575.0
4268,Dostat,149.85,149.85,499.5,499.5,1998,99.9,149.85,499.5,149.85,149.85,499.5,499.5,1998,99.9,149.85,499.5
4302,Farau,243.45,243.45,811.5,811.5,3246,162.3,243.45,811.5,243.45,243.45,811.5,811.5,3246,162.3,243.45,811.5
4366,Galda De Jos,661.2,661.2,2204.0,2204.0,8816,440.8,661.2,2204.0,661.2,661.2,2204.0,2204.0,8816,440.8,661.2,2204.0
4482,Garbova,317.85,317.85,1059.5,1059.5,4238,211.9,317.85,1059.5,317.85,317.85,1059.5,1059.5,4238,211.9,317.85,1059.5
4525,Garda De Sus,254.4,254.4,848.0,848.0,3392,169.6,254.4,848.0,254.4,254.4,848.0,848.0,3392,169.6,254.4,848.0
4703,Hoparta,179.55,179.55,598.5,598.5,2394,119.7,179.55,598.5,179.55,179.55,598.5,598.5,2394,119.7,179.55,598.5
