,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
C,0.431306571000365,0.7908718231674217,0.9465768005631787,0.9775129918766284,0.977983465065886,0.9813748661647826,0.9814490886975678,0.9814906416521135,0.9815315294824782,0.9818727019236136,0.9821257800743192,0.982632581035573,0.9830008094385985,0.9830473592637565,0.9837089643264361,0.9837218937680484,0.9838729608185275,0.9879550151143386,0.9879550373324358,0.988192715685161,0.9927027557006455,0.9999900635526899,1.0000000000000002
C_Test,0.28986626458503817,0.36127386826365987,0.6993463317221302,0.7680240033189736,0.7910191012956936,0.7966929739359709,0.7996749243206684,0.8008301910480311,0.8026268496489202,0.8163572026002727,0.8168367393735385,0.8202399719337363,0.8546377174847624,0.9219090385693767,0.995980102544501,0.997292385720461,0.9973261256142969,0.999956693199633,0.9999619830319088,0.999962108246964,0.9999931778968809,0.9999933073302132,1.0000000000000002
Html,0.5556545246969604,0.7713957315856732,0.87312406772445,0.9028576244928702,0.9081908536524567,0.9122365767925213,0.9126680445630307,0.9130844930485592,0.9207835072183395,0.9214532970741808,0.937195359019334,0.9465139498346192,0.9474681699584551,0.9528542956083254,0.9793822464213603,0.9824875685429783,0.9826468043406144,0.9862166263489915,0.9865818348101014,0.9990891765625723,0.9996076917717852,0.9997905623888493,0.999999999999999
Html_test,0.26546354246615345,0.7385855128454049,0.9110106671142917,0.9560390960831292,0.9583297986326567,0.9636546210602134,0.9653513830176488,0.966172802514412,0.9662463931926639,0.9663530206927424,0.9736956589106477,0.9768383372013912,0.9768991123733581,0.9794402776939629,0.9893606640941858,0.9908060519765333,0.9911100206681809,0.9947782529448986,0.9949481472797468,0.9966300495209709,0.9969723732907406,0.9984298935409428,1.0000000000000022
Java,0.620713438281876,0.8874584479767722,0.926292593056124,0.932617555586511,0.9326434094838574,0.9407627226487737,0.9433687800980392,0.9436572509145851,0.9441495594016854,0.9442127063638435,0.9442454455611133,0.9442596298843531,0.9442997317243934,0.9448301131599569,0.9586521891926743,0.960800464335506,0.9621156203235135,0.9958427744823459,0.9962596399782473,0.9965753913676623,0.9981406432919444,0.9999278380518904,1.0000000000000022
Java_test,0.3499684454039585,0.36209843170833333,0.6241577486025687,0.6655860320039163,0.6777298201218179,0.6848746101886447,0.6900389933373874,0.6900548535569166,0.6902210111085283,0.7878744281210771,0.7987484554187771,0.884731011575822,0.8969597509590481,0.9913207249627918,0.9916988633312467,0.9995051395517407,0.9997827090787387,0.9998600923083407,0.9998892513891781,0.9999521463080494,0.9999643952543046,0.9999916507447604,0.9999999999999997
PHP,0.6332983993091236,0.7899550499988461,0.8636410421993601,0.8795728813545054,0.8848292534663117,0.8890788277378004,0.8904327796818384,0.8916705846392294,0.8949252079472568,0.89498358246923,0.9296732384667526,0.9367398814779514,0.9386848294154273,0.949078812093119,0.9830090539486795,0.9846693669473443,0.984673217440244,0.9887803723406896,0.9898257841897753,0.9990879898078681,0.9992804291300543,0.999560029692111,0.9999999999999997
PHP_test,0.3112405458776142,0.7684375554318694,0.9125236759684378,0.9597423010753081,0.9604943150316749,0.963260541940278,0.9645774491278245,0.9651644709437269,0.9653017200119375,0.9663584642018145,0.9684072421489286,0.9687497193323317,0.9687536991744595,0.970165120923653,0.9812239992787595,0.9843885113514218,0.9849670091199986,0.9952752485638905,0.9960037410558191,0.9980589895183042,0.9983848321515704,0.998507933234519,1.0000000000000013
InternetPenetration,0.5481260964152558,0.7086287544500551,0.7750211400368207,0.8352532206902502,0.8398971332480994,0.8918647633092485,0.898819797697508,0.9061509901328707,0.9075386637765275,0.9077103606627815,0.9077571164499876,0.9199538899748406,0.9733569733910553,0.9813083941167063,0.9828611404581824,0.9873484302795008,0.988860844822079,0.9889352603884074,0.9889815771987146,0.9899003312500045,0.9984208564102466,0.9999998221024937,1.0000000000000004
InternetUsers,0.5579482799262346,0.7211933450953061,0.7797040405542052,0.8314162573056867,0.8319446365006105,0.8804817512023522,0.8968367961650475,0.9030162222311492,0.9039420074479081,0.9042167803477711,0.9054166879646285,0.9211463984676819,0.9689171223683033,0.9817990163959888,0.9834787531200687,0.9873559668212365,0.9888171237714161,0.9891001119845588,0.9892068865105612,0.9899558831060942,0.9982527595290209,0.9999982237464686,1.0
UploadSpeed,0.19474271178136046,0.31880366907076857,0.3407668486982117,0.47584452402468114,0.7453224851133966,0.8129405281400112,0.8828431354819174,0.948142121711838,0.9576710922362758,0.962674835263374,0.9643015744308392,0.9677768946541716,0.9680778257126496,0.9684664859786053,0.968593015756318,0.9719294371900183,0.9978466940897822,0.998194743300717,0.9994459774611015,0.9994909464876195,0.9998727478402605,0.9999997871894523,1.0000000000000004
