,Comunalitati
C,0.9871475564614616
C_Test,0.7110171984746191
Html,0.9559873480841776
Html_test,0.972299990334035
Java,0.9330407749551317
Java_test,0.5705304725037551
PHP,0.9161986540538041
PHP_test,0.9599180655079532
InternetPenetration,0.9330912159029022
InternetUsers,0.9452941162062072
UploadSpeed,0.899386952861728
Download,0.9123747229554359
FixedBroadbandSubscriptions,0.8179549239472136
ChargesIntellProperty,0.28194938318497903
GovernmentExpenditureOnEducation,0.2709932320056423
GrossEnrolmentRatio,0.5258231649409542
HighTechnologyExports,0.15660131127933835
GINIindex,0.9412880535294701
IncomeShareLow20,0.9417293911486522
SurveyMeanIncome,0.7160070950733304
Unemployment,0.2994349125918549
UnemploymentTertiaryEducation,0.20566618332841322
GDP_BM,0.6598554393620122
