,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17
BoliInfectioase,-0.1854368816655682,-0.29482816677459467,-0.07451588533019858,0.277168633707965,-0.39355232408204277,0.13456624622354646,0.14455808981785925,0.2005092714772869,-0.2464392353652989,-0.013661754637513407,-0.18268908244222876,-0.1896566153846334,-0.54051945805821,0.15188117481507243,-0.29416585178675986,-0.13290467077327836,-0.11194499577786961
Tuberculoza,-0.17059447966956934,0.3021911945423341,-0.4626137962725366,0.4289522300772816,0.09804160291795927,0.4538784527799139,-0.33691050809512557,0.018922766669680787,0.048845013229809,0.21249444513415613,0.07179522875637846,-0.08388156808619532,-0.24567480861146906,0.002541524021745936,0.08351003953555287,-0.07263842591138366,-0.14049435032627697
Tumori,-0.4769837347915863,0.22257576343459673,0.08327647046662219,0.20678287122070985,0.04546674795568773,0.25196835475328416,0.4301001281100736,0.0244655372352878,0.4974068490188012,-0.2473564365111143,-0.07987019028241438,0.187257168029941,0.021904738512398,-0.18101483361591297,0.1947821417811794,-0.027469404125318685,0.011329048771709522
BoliEndocrine,-0.17071531752176794,0.34591804181231767,0.2142049264406569,0.14201069364962646,-0.3524980297354271,-0.2640065788807873,0.13297050544629127,-0.029229403664260353,-0.20300035459562765,-0.0781839245849131,0.02162917190637582,-0.2476561179872117,0.34783588250723524,-0.10855754357653197,0.4815780976333338,0.2840479498605292,-0.1347511254966143
Diabet,-0.17673639669991192,0.34334857577564365,0.18673425180274328,0.13918891240529704,-0.35893736351439576,-0.2625686955237971,0.10299106415477875,-0.043243702986196536,-0.1746491030846173,-0.09138901756655936,-0.05872932738424379,-0.24083204183314036,0.37278924458680907,-0.09930680205748953,0.5018991184510802,0.26791296292113365,-0.11644753709647597
TulbMentale,-0.21100157214304013,0.0006972712524294574,0.2950758188649607,-0.11911289976057209,0.22900255005786832,0.2086851603513432,-0.10835247200381559,0.07189955393026809,-0.213977811361569,-0.0923076216450155,0.30985251263340535,-0.4762050662968047,0.31000898041781727,-0.3493274645418067,-0.2144221000401165,0.11896977858849409,-0.2931992911356527
SistNervORL,-0.1322320389291201,0.18636673506924717,0.0682531215817524,0.04401191942868121,-0.4946980818855955,0.2993666127119447,0.21506501029247452,-0.3892670490885688,0.19500152725673875,0.34466743351474993,0.08981744563248183,-0.19449326670802122,0.30568463178184213,0.12103221409982906,-0.2309337142071083,0.17230180864779734,-0.1234180328217295
ApCirculator,-0.7386528769070552,0.4625364420988156,-0.025124404650694262,-0.012381117755141568,0.35269988991905626,-0.03299273926786562,-0.15029862063974692,0.10513277419372917,0.07325983044706527,-0.05476135977068342,0.007504507559338306,-0.06073596166983257,-0.054851341194321813,0.09550435093000485,0.07936452152971096,-0.22145625363687052,-0.030932126143492236
BoalaIschemica,0.11137657726576244,0.18242564519034937,0.2568309853443228,0.4869756580519125,0.4119979517363238,0.24609711708834736,0.19667659179593103,0.20748519063751378,-0.020282547859194346,-0.10972094507451477,-0.1151258816526522,0.01427595586191089,-0.015463714963593878,0.49063933209553096,0.1233537455856193,-0.17314148851388575,0.16462917337076943
BoliCerebroVasculare,-0.7581472834465729,0.2440780910545899,-0.02117050664425969,-0.10766018986384182,0.3718796377352187,-0.22412028772047413,-0.24243896570359155,-0.12193348425384035,0.01904277561049156,-0.02304714960735956,-0.07594876133418416,0.04324319816734794,-0.21164912468211466,0.07420830824926736,0.056298248419521336,0.15847918265722438,0.06566219754389634
BRespiratorii,-0.4241891188119814,0.18316304414876783,0.1492891727867409,0.15553593463088636,-0.21776556845705378,0.22410604877371587,0.23664856675153087,0.1671964124221668,0.03567913275983784,0.43798160951858967,0.023091551810158158,-0.020732226028293683,0.26374071616422895,-0.13768117098850227,0.12284756479317772,-0.07998058186418155,0.5043471370806218
BDigestive,-0.5670390361937147,0.10992403599517662,-0.06526295557762284,0.36467099652719265,-0.0019958363286525535,-0.010437806097948596,-0.1628815224616779,0.26113747073419613,0.2501729544851695,0.0071825266739547495,0.43374280282199085,0.17544769766530086,0.28627743492376573,-0.1575035139913568,-0.0317681162211203,0.2120233116963802,0.005011435543483751
BGenitoUrinar,-0.09711937028406716,-0.037245836543071786,0.05659630124396163,-0.0947689038682004,0.011029421815077083,0.3496275626516815,0.03313121550365345,-0.17673222906105224,-0.44586305924408953,-0.006912756806211217,-0.03368837228939903,0.6466159934784985,0.3537765271932072,0.010990535221096042,0.10958836922138204,-0.17369776870845627,-0.19171671378599736
