,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17
SporulNatural,0.7739019986542773,-0.569726924786898,0.07268512937148171,-0.01776274376745218,-0.15315079965597045,-0.05735019323882433,0.00639713728128478,-0.047682802556956276,-0.05832150908754384,0.04004338678468015,-0.009052930055741015,-0.013189541694176101,-0.020385639588263563,-0.031782795918383996,-0.09639761625288026,0.012993002260567375,0.08686668795305454
SalNet,0.2685530847402718,-0.319125956973444,-0.394958834644449,-0.3429818078085189,-0.19599977745815916,0.009025412779947723,0.4178237305908887,-0.2455926509579901,0.08887297563691694,0.0868875098940722,0.16154106335331933,-0.22214153144541304,-0.13773570499159069,0.18838853599455982,0.06116210660449486,0.09353657546942976,0.2848842615277845
RataSom,-0.6355278009160344,0.08726551366584105,0.056560858113119776,0.18464166748508076,0.3589463289192678,-0.12167090272041477,-0.36622105877720246,0.10705655984949976,0.1603129032894602,0.12365639026099083,0.032640412007064114,0.0839692152029076,-0.09090394675099281,-0.2062086321948023,-0.16701466974807297,-0.03520004742280768,0.14549770923014202
RataAbScolar,-0.26731619196981,-0.21309613596391155,0.3069891701940772,0.010354211911651716,0.17329359538874528,0.23958563237117003,0.03437975422389627,-0.22820452509317457,-0.2571530936741442,0.3153273006794075,-0.0870864677326699,-0.04657268748238623,0.342896128908371,-0.33909494818358865,0.22298126480837122,-0.18449107089889202,-0.19203190345787505
RataInfract,0.031397781449853654,-0.3108520620192105,-0.32185966592965415,-0.002651586308604032,-0.21658821929474847,-0.32077622416084806,0.2443905932209915,0.12618790567023289,0.2184485715910056,-0.0037925075463592288,-0.1069332319618207,-0.13118636615577828,-0.2548549046787842,-0.38351388941802916,0.15646387303904896,-0.3876906603741553,0.19004637556351606
EmigrantiDefinitiv,-0.20021044777175198,-0.39347433095143586,-0.3483493499427429,0.35983743858854594,-0.49717190554535656,0.2716666125594677,0.17247446902922223,-0.013958587515349353,0.01787409130069435,-0.005726108624175791,0.18372266619683794,-0.08636270903565331,-0.1529075643029913,-0.1603573676162169,-0.1177864985345791,-0.18986859975075965,0.044931676994979526
EmigrantiTemporar,-0.6966940322092903,0.38799784281519883,0.26955494644879935,0.11752492876701165,0.13060049636770302,0.07191532318179601,-0.33672072945695775,0.1361100450065548,0.04017059541192591,-0.11713801859301054,-0.0833040429979826,0.03367124539739362,-0.09251439306016854,-0.09016130918107361,0.1707773475158439,-0.09700205187073307,-0.07433430987454759
AjutorSocial,-0.6121954040103904,0.06991611092183504,0.21216023528612574,0.11171850740021416,0.37931034107406725,-0.038294423322844044,-0.28101754039655213,0.19478171762074242,0.15016303024967792,0.22344120435794793,0.1656033885681808,0.13562636548654725,0.10533730764382357,-0.24910224228950295,-0.17171998413190742,-0.0069312128286579825,0.08823250237465212
NrPaturi,0.15616966392626092,-0.33810727830460224,-0.26800073493156457,0.08200876300129795,0.07490648367174645,0.22836589433079266,0.36696351491569135,-0.273471765143888,-0.052873050715574424,-0.054562406649036214,-0.2905712119342991,0.15747288398070636,-0.2046099302184346,-0.08647677878157914,0.10309121654788517,0.24997483910922666,0.34672857782810523
NrMedici,0.26722188824254345,-0.33195136910252865,-0.31521682966578446,-0.2393028732491614,-0.07892720346102268,0.3737990088215868,0.26582748449244736,-0.2654502139367201,0.12322425575383887,0.1330734176394109,-0.10791503428342747,0.0023231180947418917,-0.19936720897456098,0.0026859364743428765,0.16491627206822793,0.20653009606264455,0.3749064865543628
PIB,0.30680624793103156,-0.28446077441972106,-0.37449611194521737,-0.2795091305036803,-0.079903002944027,0.0730262470989848,0.512223696777298,-0.18334312489521565,-0.11162987526933088,-0.1419839612798301,0.04584946303382545,-0.044560648052597865,-0.18466899651140847,0.17336891983962743,0.183347786304536,-0.09689361467133026,0.384406175760463
SupUtila,0.6378052107241787,-0.16332610106938888,-0.25064439839250086,-0.4596688276659322,-0.1897593264352461,0.04095073005753313,0.14285410029068749,-0.011155289394582957,0.01080945107878876,-0.04807171270722691,0.1516403917673686,-0.13062966221111305,0.21161499699722275,0.004409245794630396,-0.16679009339765347,0.14587574504138537,-0.1154399783211544
Export,0.47256080149646573,0.17262940436689972,-0.11617681765722912,-0.2461156793403624,-0.2454160630743607,0.169194183239636,0.2638893400996409,-0.15201898069271136,-0.28237007771607187,0.3673725659383978,0.18445778914366032,0.04623181537108349,-0.12070400525405287,0.19711203947098907,0.10283024881569235,-0.2576447213731367,0.185870278054427
Inoptari,0.3038235266631344,-0.23969250478499043,-0.18698988733580302,-0.1809937487119413,-0.22393522017219203,0.11366600962540993,0.07661996449180505,0.044134178811787446,-0.07251152115620804,-0.08392457257425058,-0.2600494362709787,0.4683182608109509,-0.08714374934067283,-0.38452498053461553,0.21715226284742142,-0.19167185705449571,-0.054761406586035885
ExecBVenituri,0.10541516715553798,-0.3379768078242661,-0.37492956399033944,-0.19021676520330214,0.21429834233160353,-0.019515872254534144,0.22866817471271814,0.3277933740353999,-0.09445313277042604,-0.0762977099643055,-0.1333453348951814,-0.2433587391954745,-0.2250490677989105,0.34743424208562723,-0.013192343509940578,-0.36989354173378935,0.2678877821415539
ExecBSubventii,-0.3625727150160015,0.2644672391140096,-0.0004602496157528694,-0.10112077549868624,0.255830132044471,-0.19220101453682173,-0.34271069852828,0.3331569923304556,0.041790384570540975,0.027980595772131616,-0.13968645086161835,-0.17032245569119356,-0.0023809852944581167,0.06890807146096281,-0.33763997543427093,-0.30034348579967013,-0.024146441119179393
Canalizare,0.3468350135268321,-0.12820471804606112,-0.29551721456039376,0.07356079931607774,0.002125704029485129,0.423107036820173,0.6167253820524227,-0.12460311882175427,-0.003922592750105595,0.015270855137853385,-0.11883483089279877,0.09431090860953222,-0.18651214775901476,-0.10855172130399987,-0.10854601256302317,-0.12280136681671514,0.18783548760515037
PAVeg,-0.5454071818674594,0.3634647075127865,0.28673172093282,-0.12057097414780614,-0.005715845064623336,0.11310095839675707,-0.23291423163708053,-0.1509224229135721,0.3064926281184322,-0.0919697254427252,-0.12407702743518215,-0.05491544446749301,0.32508158727322645,0.1458220632818825,0.08172492304591844,-0.3374189447774813,-0.08124086437789813
PAAnim,-0.30940533368619033,0.17249250039193645,0.6784032630507516,0.026589168958364325,-0.03628937894097269,0.07371466029609039,-0.11929046587631115,0.06578880237791883,-0.12012307055025884,-0.04751528681803307,-0.25199471807975,0.06289914636793871,-0.1565207218072934,0.002002346549240357,-0.08430033023290537,-0.32126830586548294,-0.35704526384037605
ServAgr,-0.3417640227880584,0.05450675946019335,0.03623115682697347,-0.03612292695927028,-0.24084119682980756,0.22408072205299348,0.34855958239545226,-0.12441196069592912,0.07940716529303397,-0.09962464739697555,-0.26197248294629777,0.07243041981612273,0.32859808805045865,0.42604853153767847,-0.28032340518195076,-0.037408289007553955,0.23637954192018024
