,F1,F2,F3,F4,F5,F6,F7
C,0.965287838098185,0.13617227126888384,0.18063304760055565,0.017880975820356634,0.02346535576165967,0.057639632177826396,-0.001755368422357924
C_Test,0.07724656673473608,0.06916369775103434,0.8285335169579549,0.041607485194242455,0.09551706074702121,-0.050662325984739416,0.019426723884322827
Html,0.432705322728658,0.14813691947947025,0.8583626054253053,-0.0010087164497646556,0.09656548364852405,-0.02441120664405131,-0.010036199983670955
Html_test,0.9798062006803742,0.020567554075916757,0.08707434682333032,-0.03459017016510463,0.008438616512944098,-0.05417861814013844,0.008474697792349113
Java,0.8330824272992511,0.18354832594878775,0.4111770275029164,0.07556690619973302,0.08787920435144436,0.13704532413679998,0.06358754310224961
Java_test,0.07850117450708798,0.13273674066611865,0.6900130314305625,0.15268633193945338,0.17431685688128518,0.059685965257909396,0.11562489020639227
PHP,0.44611373356280404,0.20159402062090367,0.8091706923683866,0.048217599274151146,0.11987388120949673,0.05873726648263812,-0.04048557141229913
PHP_test,0.9673888627777967,0.03773811485401577,0.14167483421075014,-0.012958154626095453,0.0157462628368856,-0.0330945549475456,-0.032708127250546656
InternetPenetration,0.13000529234186953,0.9301890321686728,0.15700443059941505,0.09288422709150225,0.07899551840778546,0.10319300715576561,0.02777129407352639
InternetUsers,0.12937447349915415,0.9338813504604174,0.16364987955292004,0.14988211907587426,0.06610717264711506,0.049608357867737575,0.0185716163314357
UploadSpeed,0.02495103076272109,0.14470120410727805,0.1398266401660676,0.9177197364077995,0.05831432571330397,0.05006366794129752,-0.10078702858921845
Download,0.043137356110259,0.3676462769355719,0.12367050750653989,0.8399683578263105,0.12861339614366296,0.19465106439386198,-0.008855924855209214
FixedBroadbandSubscriptions,0.13559378480631443,0.8111670028187556,0.15352670609765975,0.23969174400449303,0.15603048711909429,0.18639600986731986,0.03828545380372148
ChargesIntellProperty,0.020503607689545317,0.12634057473485674,0.056111660841466515,0.12577120710689735,0.027495268859135894,0.495821874127692,-0.0021928838800598666
GovernmentExpenditureOnEducation,0.0016699526192991054,0.05826840957772756,-0.018428661685478645,0.026926609580401828,-0.012510534585200057,0.06028351275610399,0.5125816641749271
GrossEnrolmentRatio,0.01988481151411102,0.6019755698855728,0.2360835243647467,0.22174188223035815,0.1611863720320648,0.006634513004014548,0.17922950753082123
HighTechnologyExports,-0.053548305551108816,0.19473557397255636,-0.018836780466131946,0.279988806153854,0.12576709936556743,0.14567829824322007,0.004884746652969305
GINIindex,-0.05127284179479824,-0.23509632853783216,-0.21719930211161378,-0.14483497871951226,-0.8990750231713444,-0.06175264133062566,0.0555596223121745
IncomeShareLow20,0.05608151587126134,0.11493123859625999,0.19437429664881248,0.11930041689174452,0.926892933667147,0.07053063548254669,-0.09620825031688617
SurveyMeanIncome,0.008575673236766492,0.4792309384425962,-0.13609377594814576,0.1251642102266372,0.18299401951753894,0.5508971135062206,0.33927750340855495
Unemployment,0.0318666441661097,0.011824066194561802,0.2801046769308605,-0.1863787359048339,-0.13827526805209708,-0.05608031618677313,0.4035082479771123
UnemploymentTertiaryEducation,0.049564094459354426,0.1132174215417839,0.2810387756249381,0.14375114411202788,0.08705444197365968,0.15471390751495953,-0.24337079825667945
GDP_BM,0.02793066337751072,0.6466811068813177,-0.013278257940278811,0.10867176224089316,0.018928916619836245,0.42841901312171915,-0.2121128112043206
