Indicativ,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17
ab,0.16080769613482443,0.6520164292710086,0.6583500972339664,-0.2788929497704944,-0.16508651470358737,-0.3184079241390711,0.9366235653839242,0.1786697034234911,-0.509719062129858,-0.02488926895412901,-0.05059163254864825,0.20546627664733708,-0.5754368994371313,-0.2674274442220386,-0.24068368594795167,-1.0043968194949031,0.35940182278325405
ar,0.28401256638093275,0.5607645342496207,-0.10890060832179331,0.2619027962992748,-0.2892333712795686,-0.007518166425108436,-0.16464716878894575,-0.7170721299092114,-0.8422757350783636,0.00015922526812680159,0.1829094851087586,0.1323298665147695,0.6991926137263889,0.7714562495764693,1.2299147271994257,-1.376506339015088,0.1942200451173616
ag,0.8285485817711034,1.4808875053699277,0.15184095114711962,-0.24131254976147473,-0.600810154343029,-0.58947473080663,0.2583963016558042,0.5578166794502022,-0.33297018029213765,0.9085578645201652,0.2704943382316346,0.11564142980007432,-0.10622255739934033,0.22743217781569872,-0.019618353975468263,0.05355425915377084,1.535999913259509
bc,-0.689846581211788,-0.7140989522328185,-0.07410491548056708,0.7230817174188044,0.021739592157744528,-0.019129787276186038,-0.012516887196862789,-0.1722528605037415,0.00012817244254167078,0.3301513153505454,1.0001243118811796,0.5398618615303361,-0.6066658028000662,0.1783856704379453,-0.15612865794664682,0.9190381903168044,-1.176889045227521
bh,0.6745683269469009,-0.1917535272265759,-0.019720699187157516,-0.2570424424428715,0.5082965533530018,0.6708363748958299,0.014643666728869137,0.5833750403227901,-0.18164720710399776,0.18510427095797166,-0.40855510793147487,0.9718860353597987,0.8379773398901676,0.38479970304173594,0.9209948090625828,0.39063064136900877,-0.3409256424934372
bn,0.8234086837648125,-0.49811837610508825,0.34052938792749343,0.42259983288321656,0.05024387436777822,0.11780793578764268,-0.4004988280666696,1.051036855108522,-0.2867880405809471,-0.2158988795186945,-0.7889851817305474,-0.7741394637263185,-0.8121614935076348,1.0379018058393208,-0.43669350671468243,-0.7304109055766778,-0.2791302513994757
bt,-0.1921676721760736,0.053112611113816655,0.39669504000890865,0.3239163016196275,-0.3416781472254542,-0.5782326609293372,0.3310307561875053,-0.12438999739768059,0.4582624717535007,-0.21762574584705846,-0.25633556869101176,0.06627736818263663,-0.2571744213261328,0.5070861451641598,0.313259689163189,0.5393591499811061,-1.678250993787507
br,-1.1583912617033731,0.6192301463808333,0.12692631821466455,0.3523877459804096,-0.6100284269257967,0.8681270330056465,0.8434875724079862,-0.055421114031223004,0.18010103510458425,-0.38947910712579425,-0.848637941612864,0.9328807586468334,1.1980468065664953,1.896262482969578,-2.082741383860643,0.7652152996876517,0.9241150065379216
bv,0.33004510942693427,-0.8118365563490015,0.17937855391422158,-0.4154237268563516,-0.3162689398969415,0.30018689765766343,0.6751568483151513,-0.5018171363079188,-0.3959688889756847,0.5390969453640236,0.6052009390678259,0.6792592255822337,-0.28550113664422494,-1.5237429217903418,-0.6231862069033189,-0.9508453357221546,-0.7164051986464031
bz,-1.140000283632432,0.21884692930665645,0.2660291515155198,-0.5928767229932889,0.875417395796042,-0.48855874903090196,0.8529029892732812,-0.17694236669798305,-0.1035573548064998,0.11860800535125963,-0.0951457235199008,0.3904630502223882,-0.18758334885004607,-1.1026439785255693,-0.3769449003020109,-0.35954179894643495,-0.7807112292566855
cl,-1.159247246625035,-0.27891131895785376,0.6161532506186005,-0.31325113752550776,-0.39412637924825056,-0.23915181874644217,0.05143239160077081,-0.4672217691292579,-0.29377214099720567,0.2546320219615723,-0.7733611540619447,-1.2977011147397366,0.7207271062482901,0.01599510400812263,0.7738705503319786,-0.42588522903370307,-0.5178596985202251
cs,-1.0107191776768463,-0.15699422632617813,-0.41748314720711155,0.3442431500372084,-0.6040432688243486,0.6772343989504288,-0.2179674321829031,-0.17591872132399744,-0.9967152970455768,-0.3979405325471093,0.0651645675766091,-0.27969771205802046,-0.8097861401551947,-0.8309006078207349,0.08659334786139398,0.1957276816359054,-1.447826061279723
cj,0.8267717566684512,-0.27183243180590383,-0.3116327956759231,-1.1605357284507738,0.06857775348463414,0.4349368365584578,0.5505422634178341,0.17973318646009237,0.4848093961175392,-1.0511294894044798,-0.26158400404478616,-0.6801978138375072,-0.08990721570258159,-0.46686997775940625,-0.0949762634541637,2.0959660241167017,-0.772667369429205
ct,0.6739879361664974,0.185404039327983,-0.6374343905005657,-0.743753859561937,-0.7416017163972771,-0.13802017106655753,-0.238118738147042,0.4321186013645184,0.3986768458076635,-0.6331842713605539,-0.5928767270191467,0.9064170709966128,0.25766368523259825,-2.4688068487400456,1.0547959207614226,-1.323791895624806,0.8920798646416888
cv,0.4640410095742287,-0.4864100384554386,0.3435689258795125,0.6935958037710622,0.6117650329004867,-0.04743384557416432,-0.12086222073792828,-0.7187322521480576,-0.5335346815431729,-0.05315927102714029,-1.0176777576647593,0.02777606960156372,1.0099870184343382,-0.7087770517398294,0.8473268339388792,-0.1170737328541596,-0.4879373247274233
db,0.14065709077876848,0.2346102605672782,-0.25188835265220416,0.07458666722127243,0.09951505966067105,-0.3517333171201884,-0.7374942703277788,-0.1830823777197653,-0.08338176990086976,-0.6615267145381651,0.7340990647703892,0.24822272652293417,0.5098777458681305,0.4513075609785975,-0.09311485625558527,0.2574534903199912,-0.04472667295658882
dj,-0.495598513238635,0.20404413087510112,-0.23976298331192486,-0.5351119362290648,0.652584034499277,0.8094873799390094,-0.8379244447126212,-0.5971482534983465,0.0206820019129377,0.9809833762902422,-0.2048070856578465,-0.006060423679260658,-0.2383144747400596,-0.2687626825934238,0.4792756746870411,1.551602664597495,1.2971656737351767
gl,0.29149555817250916,0.2555791335264932,-0.4261697472808256,1.7312697615603903,0.10686678112871818,0.36408391247498023,-0.07541551953125865,0.018996801043901296,1.0410926481637048,0.023303955799887907,0.7542405868464462,-0.1137608585140436,0.23001448573760377,-0.32579132449152287,0.14187653395130723,-0.8871354461350652,0.17084730525910788
gr,-0.5470353398980494,0.6648130433099152,-0.043351345774249914,-0.797918046807637,0.0018689186460842794,-0.6381573339576155,0.3415072319961164,0.10615159120740657,0.5795534813120803,0.23647416880596397,0.5130317945230839,-0.8415323011091281,0.34373627744275354,-0.08197786899457028,-0.2742712897532485,-0.14142060389340635,-0.7507112701508157
gj,-0.20795225377356438,0.11558416085029002,0.19468534674237767,-0.1570714797725839,0.2891369741170237,-0.8021846467445236,-0.2651047685307302,-0.5925337241931561,-0.2367985925125845,-0.8611051456096747,0.1958114623488715,0.21749644029807608,-0.6406768060140849,0.11034484183553905,-0.08321034513312367,1.0597761510321622,1.0815877704092778
hr,0.8481742870005695,0.03307769179793788,0.6864847956813055,0.5287669372934449,0.5560434701420204,0.04451163542910409,-0.2663094626412124,0.045225894524053074,0.0296362388428299,-0.094829727191201,-0.06304581633851031,0.05219157343660529,-0.6046866037894874,0.01424045372823175,0.061701550786838276,0.9216675773372697,0.7127642135317709
hd,0.505841640804375,1.3323101701834195,-0.7617268319028162,1.4715135236697232,0.6340928517876993,0.10438786886813364,0.8536280588025766,-0.32506477470963063,0.04235233147165896,0.024158514774663645,-0.9818068774504914,-0.40355130149500784,-0.6871298550044569,-1.034305947671129,-0.3522266325009525,0.1763068546908736,-0.7727664972637831
il,-0.2006825307248372,0.6869437822276108,0.6381778751055432,-0.20873881584938436,-0.18134062046865895,-0.19258591519661292,-0.3856372240984009,-0.6619716196893567,0.8791172946369964,-0.5681018027417236,0.05332376401619563,-0.4149715822088841,-0.2763963637665511,-0.3512594296117782,0.48510326866694403,-0.7023037795955911,0.8852532082601661
is,0.044386884871709116,-1.02061930742288,-0.19534986137195984,0.6972036523858616,-1.0317617705701754,-0.5404008377842666,-0.2395054467587948,-0.7187638673682696,0.44735379587019125,0.33971242051556666,-0.2566206724764825,-0.3786976595175542,0.7315145131382108,-0.9927691642477031,-0.5577859292872693,1.418208588378548,0.9459084913349954
if,1.5681653677311158,-0.22492755733219327,-0.6277610685383588,-0.7490415835013932,0.21300772124136153,-0.821718716710814,0.2823308454582471,0.08536184147306611,-0.22536172831203707,0.3348966007896137,0.36176522896310664,-0.6683210279638798,1.271352017604695,0.8764939193563499,-0.5333753122217513,0.5970507714142799,-1.2450527275345065
mm,0.5714362619996138,0.11083392294144771,0.3243131985885262,0.5795370128857298,-0.13564341347142678,-0.04389142446836073,-0.3184601880052896,0.36321758465293863,-0.4870025053522149,-0.09278042668578,0.021668293396620415,0.04110914528370042,-0.12562621018660775,0.3751844110399401,0.4194101467213814,1.088844264468018,0.421002215691661
mh,-0.4376349748024992,0.1771871409965945,-0.44197961410012154,-0.38003601341226195,1.0426274345951658,0.09792608826237474,-0.564854913725692,0.1895621793676982,0.18492608727650414,0.22533725545153246,-0.45686893651005345,-0.4435277370986777,-0.19469782124354656,-0.5898951299656554,-1.2692281835310466,-1.18251625956307,0.5134592486379914
b,-0.2708063597066804,-1.5744740936853308,-0.758006298813066,-0.16522404101608137,0.3612376011199995,-0.12137645787117955,1.3996631247386595,-0.19797826228297824,-0.16511506513982463,-0.3023688006422164,0.10544726689474922,-0.40560294655728757,-0.6818069664760253,1.7978685475783862,0.9186147345528912,-0.7526076238590128,2.706318881842123
ms,0.0977382929218663,-0.46586376245623357,0.5568813612888657,-0.16435869578524703,0.12816906921372795,0.4351299216988571,0.46419329674754123,0.4258140784747991,0.8915995688395957,0.9715398074769379,-0.14692424367349108,0.2434850016398026,-0.18089856849758934,-0.21259635382217928,1.2075818360281874,1.5860347995952049,0.054879890246472676
