Indicativ,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
ab,0.01316095686107263,2.443864823318542,0.7849632503223046,0.9802754079196988,1.9368930491281124,0.10997553229424445,1.579445567455443,8.812923135903615,2.503754536829399,0.7541823856659962,8.402948878573495e-05,0.0017031183293261818,4.43439995012928,0.00018058454956699574,1.3710747960267902,1.0338293808521515,0.634649321919119,5.4238973015796885,2.4427448268821483,3.013422699313806,0.04965132939532095,9.90810366506022,0.10610369210039758,2.044350912052345,6.882927459528816,0.008784785858439377,9.851629731002939,2.3962569371182822,0.610487749415086,1.1113613412228374,4.949614397833095
ar,0.004216205085164694,0.7053464192927651,1.9780135430090082,0.5214701976008366,2.312311617009225,1.5899668151712937e-05,0.0719398844478368,3.8289258558542096,4.344130496351916,0.26790953941004675,0.12767683649417988,0.0014945189667477925,5.007065219677325,0.4701391558116876,2.884263183877294,0.6672140952102285,5.438206066076507,10.454535416648591,0.025611075441889456,4.792656836315359,0.0170806399209404,0.09461440331610269,4.640351574259433,0.002154895736715759,0.22314941536370206,0.0400104927423236,11.525646320074134,0.28718768994218186,1.4101453390386565,3.68069786032808,0.0010400228729024314
ag,0.467545219807965,1.0134717899346308,2.7107042783402773,0.21155919725156372,0.553702535417505,0.23220124510209167,4.866082817141957,0.24864301753874601,2.8922894280273272,2.65872426978886,5.529574890438249,0.6469723818308346,4.887896409782373,1.1096548932776502,5.611923199320619,1.4747092364657993e-05,8.67441127660133,0.4636688150139392,2.5654164370044783,12.901671571432978,2.638835975998184,3.547081655618951,2.5427076912999813,0.1641332023979247,0.6924873825695603,1.530056376067452,1.9427764481496839,1.6717044124853724,4.212793948637373,0.7374467404508311,0.6717456403608042
bc,0.5495049375301563,0.2921543005309522,1.7489357515557264,0.811715088282783,1.1705619632097841,0.061134631279063295,1.0323000164971712,1.2199016454363367,0.784555562363042,0.2287348803085522,0.10105662232379539,0.46770444955401413,4.913312910065204,4.19280833496179,0.08172408689540382,0.5746634580668852,0.4550912529484053,1.0229600689901721,3.347486629208714,1.5497905957134508,2.2543454084531978,1.2868670274526428,8.029467921646315,0.4003407632783637,5.767698717466701,8.380060663149969,0.14341310329831605,4.356168782225538,7.974099381155506,4.160243439592621,3.380909973934967
bh,0.10032384924847762,0.15869161125666814,0.7564778035386667,0.7471019948273061,0.019285526121253695,2.293548609905707,0.4763600511275157,1.8064058434288917,1.1716341964924555,0.6895378608185025,2.153201641967357,0.29335359204990125,1.0405464572461343,2.214996480488766,1.049234604540959,0.01316268726730728,0.022196858105764012,0.0059654104500553124,4.180069042255667,0.5044666250976058,0.14173970115845516,10.219021143724376,0.5938663950695936,20.878769491372452,0.5151366443887859,0.5779253180015392,0.13764082594552177,0.46154091947855547,5.150706456457444,0.07794113828535047,6.295948453035072
bn,0.036389270581395725,0.8937174525749264,0.6204333119870519,3.8010391425932117,9.447131937113653,0.11256369098796018,0.3969422425000882,0.26861570860308775,3.7662680147380105,8.65794531232058,0.48293259177937875,0.028219112612591774,5.684562602055497,0.016469369612497797,8.809658481082003,0.23098418906356868,0.36836632902590016,0.321813091471709,22.405769216259255,0.4773612324951464,0.13794017310879708,0.47298377534399827,4.91566687795695,0.5043101717954018,1.2496704761872894,0.020916437176045632,0.15173878699460416,0.9856298895947813,1.991966027659046,0.3843065792207125,0.26003661313327187
bt,1.8279636270721697,0.6498878532614305,2.598925676168065,1.3754774941005665,3.357843178917611,0.03034088321783798,1.5310884064132555,0.009404265502840707,1.7550635098491554,2.442449196630413,0.8086204695246755,4.462702324526748,0.39670352206256954,0.06172072959686495,0.046441283235930345,2.347229675655314,2.767884204421054,0.30582743041801236,14.544008960300825,6.382681968096313,17.642469520906666,0.052645931343359036,0.4000600391904176,1.939487880078203,1.2737248719364154,0.6807560897874236,0.02852804490840834,3.5641095793242794,0.5883144384636021,1.2072544549634998,0.0012048300068485684
br,0.522496173672859,0.410527078371058,0.002042779403669945,21.360418207497435,0.6373891025718988,0.3232029256922187,9.040485633990905,2.6029493051622037,1.7546491183199344,5.375187534776107,19.42871269973208,1.8004031110790162,1.0208626574988675,3.698044834377094,0.007441755898437427,2.064454856474647,4.269998165907182,0.004933122924572178,0.18913481588779732,4.711225540517743,0.21167166978441077,0.055196316984554496,2.4481414221986073,3.0701510327549038,4.737527265195917,0.3983608694242811,0.11296360647806981,0.1519883347584995,1.9843409513408412,0.7562258426512433,1.6389760176985861
bv,7.571778553184777,6.931701669143843,0.772355306811096,3.4669444616284086,26.056714117789998,0.13559671414388205,4.9676588361763185,7.326327787260369,0.1467934192770183,0.26678796119939713,0.051168767728853135,7.905813829794633,2.7245086823316282,0.0028072677955113586,0.002117386603986354,0.7424453149566119,0.046189294756525306,0.11705439949792275,0.03819636909158711,4.176260397291563,1.8199813200583246,0.3865288799102362,3.2927131614133973,0.9938116793751075,0.09573853378683647,0.00027301493857652463,0.0013387644103093558,0.027983450773683013,1.9341208125110285,1.4035238952088664,1.3674787798666495
bz,1.5291734332016367,0.22563043784375078,0.00627175332332993,2.1739453087660903,3.0412126786747438,3.042239112582031,2.597313777976516,4.57443756601889,0.571606639759174,0.0017718538239071267,1.9378702460716162,1.21927228920831,0.4583726416878355,7.355555926881293,1.9352088021505667,1.8850964056971888,2.240195625012583,6.774433394295971,0.2777742585032229,2.3400738740924787,3.8558517631158984,0.0008766211616128738,0.8165020123265071,5.681061268109643,5.988695826801832,0.09963659536944104,0.51517505111192,0.6940901715830776,0.11382798154291203,1.714001773118604,2.3167878799324604
