,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,10.437,10.437,33.669,33.669
F2,2.824,13.262,9.11,42.779
F3,2.619,15.88,8.447,51.226
F4,2.225,18.105,7.176,58.402
F5,1.82,19.924,5.87,64.272
F6,1.581,21.506,5.101,69.373
F7,1.344,22.849,4.334,73.708
F8,1.08,23.93,3.484,77.192
F9,1.01,24.94,3.259,80.451
F10,0.865,25.804,2.789,83.24
F11,0.811,26.615,2.615,85.856
F12,0.626,27.242,2.02,87.876
F13,0.577,27.818,1.86,89.736
F14,0.446,28.264,1.439,91.175
F15,0.354,28.618,1.142,92.317
F16,0.312,28.931,1.007,93.325
F17,0.291,29.221,0.938,94.263
F18,0.255,29.476,0.822,95.085
F19,0.192,29.668,0.619,95.704
F20,0.157,29.825,0.505,96.209
F21,0.125,29.95,0.403,96.612
F22,0.096,30.046,0.31,96.921
F23,0.084,30.129,0.27,97.192
F24,0.065,30.194,0.21,97.401
F25,0.058,30.252,0.187,97.588
F26,0.054,30.307,0.175,97.763
F27,0.037,30.343,0.118,97.881
F28,0.02,30.363,0.063,97.944
F29,0.011,30.374,0.037,97.981
F30,0.004,30.378,0.012,97.992
F31,0.0,30.378,0.0,97.992
