,Varianta
RN,0.019264651475358274
RM,0.1327382999504464
RMI,0.07651859804118277
Emigranti,0.026074131102018838
Imigranti,0.019610744717368678
RS,0.004999445500138755
Sal,0.004984512626499571
CSom,0.008834434681025294
AjSoc,0.004999934810480111
Pensie,0.004998837418082158
PopScolara,0.004996238666067021
PaturiUS,0.004995557032845155
Medici,0.004990553523751218
VolumeB,0.004988145082547524
SpectatoriS,0.004997683733314995
VizitatoriM,0.004997456141928369
SportiviL,0.004999053873204429
PIB,0.004999382788938522
SalariatiC,0.004999999217803808
PAgrVeg,0.004995627680079773
PAgrAnim,0.13053131074310598
ServAgr,0.020370851229079667
Silvicultura,0.06707263741805713
SupLoc,0.004999999523110699
DrumuriM,0.0049969677779670985
Innoptari,0.016458524151376275
BugetVenituri,0.004999341317938666
BugetSubventii,0.0049989007662837315
Apa,0.004998442384665958
Canal,0.0049986151313075045
Export,0.004999952278973541
Total,0.6224088307849479
