Indicatori,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31
RN,-0.3637007551361905,0.32565033791649545,0.013776168081173129,-0.5748275728802907,-0.16912989718850568,0.3981757981815448,0.17766882756808794,0.06661096456961708,0.12352735227058152,-0.0038732276227581644,-0.09514519274240855,0.10376736781606118,0.18594469250586845,-0.19454745789695804,0.04790233788427983,-0.07723457688593474,0.14045857531845066,-0.23241766696677804,0.05214205512137153,0.04506603501549117,-0.05385612307177278,0.04590785057565806,-0.05328441878703184,0.026035521270050755,-0.007542619336056151,0.056678449065743375,0.0146719397488776,-0.03966557429580745,-0.000691494889422269,0.00537553078845455,-0.0042409596524497686
RM,0.5608358626856805,-0.07596153604977433,-0.12287091300398058,0.6414678516967962,0.03248533661437301,0.035508298454350926,0.1080640316559197,-0.040255278948564475,0.12500270865262106,0.10494785226119997,0.1472476471801049,0.1093967862775798,-0.003967941460726645,0.0037639321766945112,0.1679534545099337,0.26091392282494175,0.15083893398563497,-0.08970128808475838,0.10311100047536405,0.09018744639140477,0.15339162076154791,0.07248393423799605,-0.015335993830496551,0.04329992647545314,0.0089677351598279,0.00880291851880037,-0.0136159946742799,-0.008351984257418989,0.001537946168613415,0.003729963535507142,-0.00315664710712864
RMI,0.270046536105117,-0.4405636528408677,-0.0825432209922489,-0.265117365710927,-0.07293282841734575,0.189588909760033,0.4221623917764532,-0.02907598664070963,0.41930455361790164,-0.25011846381801534,0.17165661016064487,-0.214609302287425,-0.22685017081151965,-0.10595602222300964,0.18319501336327934,0.036374820394486515,-0.0584031892601232,0.00023596117215192924,-0.10752534077703793,0.023633300358392315,0.007792872351623073,-0.025725398954308268,0.010514497796545234,-0.07559562210970393,0.036793759062910686,0.01538953570160974,-0.004422003491409326,0.012019248197159473,-0.0028369041438221737,-0.01526841074192085,-0.0018872522627282394
Emigranti,-0.34179298648171424,0.019287079445276762,0.6779641314599868,-0.10760695565001956,0.07437444178929366,-0.41396285187094245,-0.02505338840189227,0.11401065401479986,-0.11111699678138685,-0.2962877393160054,-0.1008993819701744,-0.03731374827917017,-0.14827065826994174,-0.03221555603214927,0.133688616433371,0.08392293265614846,0.02560712440593828,0.07549753056271588,0.19523363868178142,0.025097787570780305,-0.03997161781173602,-0.04424775380333609,-0.011838157837824862,-0.032237065050871726,-0.03781748460567767,0.08500457913711812,-0.038078249889486694,-0.0338324199305122,0.017461719643480145,0.005458034315627633,0.0014234471201242267
Imigranti,-0.13004585853631975,0.26420176953766566,0.8134662831879764,-0.18223442389964767,-0.0002886893816037132,-0.22421193631860892,-0.07493609924978718,0.02306186439312077,-0.044326269585964986,-0.22431432233043186,-0.10205845160482818,0.05058534700826996,0.08068099079019278,-0.051502913054913536,0.02879086822540167,0.03517284781269547,0.06534143385198526,0.02818413700008064,-0.2011389824036675,0.12188907642344675,0.09036198740059039,0.089377719117518,-0.007455475326689346,0.020814140818859923,0.030627261886794654,-0.07519362865670398,0.0343094612131679,0.017594290756235705,0.007798045613401998,-0.01623878152811719,-0.004726718225540155
RS,0.6055072711677005,-0.14148522058167545,0.44311225062318055,0.16897919150296425,0.2875269746657205,0.15313157379934977,-0.2348896349337069,0.17524123115314777,0.26359481532992074,0.10629420246199497,-0.08329193043310562,-0.23822330757096952,-0.03403776443822441,-0.02558500852987875,-0.16187652941880248,0.00032307735149785107,0.024936308706390714,-0.071454670775899,-0.004190568817928917,0.010752956919916372,-0.0018208258470709972,0.036851097273236315,0.022340357653668586,-0.05891582666660053,-0.026775553199491643,-0.04811147273698445,-0.0194705002559942,-0.07950179249488981,-0.05160113690464151,0.009176967976960333,0.016747749551563475
Sal,-0.8492318491271484,0.3277088946491198,0.11841785240544965,0.16785221283149893,-0.09806547933935725,-0.024338844270205294,0.12097595702839743,0.0510334097138675,-0.002165487520936081,0.15610473025314664,0.14393043689356266,0.020870961678660517,-0.0587667225560335,0.08272445482611533,0.00029239452925954626,0.024444063266139654,0.023694021186849403,-0.12090428844275165,-0.012257449537541588,-0.03353271618218722,0.016123499671800903,-0.021979939669386342,0.0838642473811523,-0.09712749511026371,0.014501190465140201,-0.011896748820265089,0.06564019525641643,-0.030379741703722533,0.06963525259906582,-0.006370354637171127,0.03478161008170794
CSom,-0.24370125247738184,-0.44562494196454094,-0.16629981491311935,0.029364411080175762,-0.4024294683430596,-0.10329369669713688,-0.4137436676886424,-0.04284306919351228,0.3030834829159063,-0.31247550276661135,0.1485198796546746,0.08740146010103717,0.2990566941883835,-0.1515133262220917,-0.13314096056971686,0.06718996340986731,-0.013511331956519098,0.04357390918225182,0.04328614354761814,-0.05854332739481145,0.021002438172409522,-0.02050762796021323,0.020982006507944243,-0.003329076891929364,0.035280185604411776,-0.030974389879782696,-0.019021464294866425,-0.03631106959642582,0.03776437192907581,-0.0006489981413055206,-0.005971649613970804
AjSoc,0.6272702023998069,-0.06304317096449007,0.42708984893108537,0.08420869313461499,0.2764189599816545,0.1877407506086518,-0.19591433429472227,0.30047489954431245,0.20964266610506546,0.14202749114901841,-0.017941272477540827,-0.23323068194328686,0.07344233598868673,0.08249483324597337,0.004391104951686789,0.06300779736269742,-0.015091133684681679,-0.0709655306075285,-0.00042059116619512445,-0.08053253320320786,-0.08401295153079698,-0.02015758249229348,-0.05199525813921741,0.0757430375679816,0.047729009150499054,0.034274577742283895,0.00879698035150868,0.049849615362768065,0.061955822544392025,-0.009275442622145988,-0.010778890581201685
Pensie,-0.6988566387353639,-0.30725862552404415,-0.06990084772814487,0.1831639751774863,0.22750986254775366,-0.2109110232876241,-0.2798583262141786,-0.22174754857409906,0.13265452510090728,0.015639218201809496,0.18592503725433412,0.046960491731167064,-0.07413637896788564,-0.05757828309032443,0.05520844774189224,-0.04600493406210884,0.04785400486920084,-0.1293010909699635,-0.11584167919935041,0.13817958262316546,-0.1530362702257953,0.005923406100900942,-0.01661878080476751,0.019041961087730767,-0.08482062061340014,-0.0074800960718523395,-0.03475271272819528,0.032027379998188846,0.01750147174735573,0.029926103540122373,0.011265126818456457
