,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,1.0,-0.815,-0.198,-0.272,0.835,-0.991,0.876,-0.393,-0.973,-0.456,0.98,0.004,0.851,0.625,0.954,-0.859,0.872,0.991,0.944,0.592,0.699,0.878,-0.946,0.747,-0.983,-0.658,-0.72,-0.815,0.57,-0.088,0.99
RM,-0.815,1.0,0.669,-0.336,-0.998,0.876,-0.954,0.617,0.778,0.575,-0.847,-0.052,-0.868,-0.199,-0.79,0.739,-0.524,-0.87,-0.948,-0.307,-0.984,-0.584,0.783,-0.824,0.766,0.156,0.44,0.477,-0.358,0.146,-0.782
RMI,-0.198,0.669,1.0,-0.775,-0.67,0.329,-0.427,0.862,0.07,0.758,-0.189,0.365,-0.244,0.595,-0.076,0.453,0.271,-0.259,-0.404,-0.181,-0.745,-0.16,0.064,-0.716,0.066,-0.607,-0.363,-0.332,0.4,0.565,-0.217
Emigranti,-0.272,-0.336,-0.775,1.0,0.298,0.158,0.167,-0.362,0.283,-0.189,-0.18,0.109,0.072,-0.668,-0.23,0.184,-0.535,-0.163,0.043,-0.475,0.497,-0.47,0.227,0.137,0.32,0.798,0.42,0.517,-0.307,-0.069,-0.314
Imigranti,0.835,-0.998,-0.67,0.298,1.0,-0.895,0.944,-0.651,-0.785,-0.619,0.854,-0.007,0.851,0.197,0.791,-0.782,0.531,0.883,0.95,0.371,0.972,0.632,-0.783,0.858,-0.778,-0.169,-0.426,-0.477,0.33,-0.2,0.811
RS,-0.991,0.876,0.329,0.158,-0.895,1.0,-0.901,0.5,0.946,0.547,-0.969,0.052,-0.851,-0.519,-0.928,0.892,-0.801,-0.99,-0.964,-0.6,-0.774,-0.871,0.919,-0.821,0.955,0.55,0.641,0.738,-0.49,0.168,-0.985
Sal,0.876,-0.954,-0.427,0.167,0.944,-0.901,1.0,-0.367,-0.898,-0.343,0.938,0.284,0.977,0.467,0.919,-0.655,0.722,0.932,0.984,0.209,0.918,0.572,-0.918,0.672,-0.879,-0.397,-0.686,-0.7,0.621,0.113,0.818
CSom,-0.393,0.617,0.862,-0.362,-0.651,0.5,-0.367,1.0,0.195,0.984,-0.29,0.717,-0.16,0.462,-0.158,0.76,0.105,-0.388,-0.437,-0.649,-0.608,-0.55,0.136,-0.905,0.223,-0.36,-0.34,-0.212,0.482,0.855,-0.468
AjSoc,-0.973,0.778,0.07,0.283,-0.785,0.946,-0.898,0.195,1.0,0.248,-0.993,-0.229,-0.918,-0.752,-0.996,0.718,-0.941,-0.979,-0.938,-0.414,-0.671,-0.765,0.994,-0.592,0.998,0.742,0.855,0.912,-0.742,-0.143,-0.935
Pensie,-0.456,0.575,0.758,-0.189,-0.619,0.547,-0.343,0.984,0.248,1.0,-0.329,0.783,-0.143,0.367,-0.198,0.831,0.018,-0.429,-0.441,-0.774,-0.535,-0.664,0.175,-0.922,0.285,-0.234,-0.289,-0.135,0.46,0.893,-0.544
PopScolara,0.98,-0.847,-0.189,-0.18,0.854,-0.969,0.938,-0.29,-0.993,-0.329,1.0,0.191,0.937,0.67,0.991,-0.755,0.894,0.994,0.973,0.42,0.753,0.766,-0.987,0.664,-0.989,-0.656,-0.801,-0.858,0.687,0.081,0.943
PaturiUS,0.004,-0.052,0.365,0.109,-0.007,0.052,0.284,0.717,-0.229,0.783,0.191,1.0,0.457,0.524,0.303,0.497,0.346,0.088,0.149,-0.767,0.104,-0.434,-0.327,-0.515,-0.172,-0.318,-0.626,-0.456,0.785,0.973,-0.13
Medici,0.851,-0.868,-0.244,0.072,0.851,-0.851,0.977,-0.16,-0.918,-0.143,0.937,0.457,1.0,0.615,0.947,-0.533,0.804,0.909,0.947,0.092,0.828,0.498,-0.95,0.511,-0.893,-0.522,-0.814,-0.803,0.774,0.311,0.774
VolumeB,0.625,-0.199,0.595,-0.668,0.197,-0.519,0.467,0.462,-0.752,0.367,0.67,0.524,0.615,1.0,0.755,-0.212,0.927,0.605,0.493,0.109,0.079,0.432,-0.764,-0.044,-0.745,-0.973,-0.953,-0.956,0.909,0.574,0.568
SpectatoriS,0.954,-0.79,-0.076,-0.23,0.791,-0.928,0.919,-0.158,-0.996,-0.198,0.991,0.303,0.947,0.755,1.0,-0.669,0.935,0.971,0.943,0.336,0.695,0.708,-1.0,0.556,-0.988,-0.725,-0.875,-0.915,0.779,0.208,0.905
VizitatoriM,-0.859,0.739,0.453,0.184,-0.782,0.892,-0.655,0.76,0.718,0.831,-0.755,0.497,-0.533,-0.212,-0.669,1.0,-0.538,-0.82,-0.771,-0.868,-0.627,-0.952,0.65,-0.947,0.752,0.332,0.273,0.434,-0.07,0.586,-0.914
SportiviL,0.872,-0.524,0.271,-0.535,0.531,-0.801,0.722,0.105,-0.941,0.018,0.894,0.346,0.804,0.927,0.935,-0.538,1.0,0.857,0.768,0.337,0.396,0.683,-0.938,0.328,-0.94,-0.921,-0.948,-0.992,0.852,0.33,0.828
PIB,0.991,-0.87,-0.259,-0.163,0.883,-0.99,0.932,-0.388,-0.979,-0.429,0.994,0.088,0.909,0.605,0.971,-0.82,0.857,1.0,0.978,0.498,0.774,0.815,-0.965,0.74,-0.981,-0.609,-0.735,-0.809,0.605,-0.027,0.967
SalariatiC,0.944,-0.948,-0.404,0.043,0.95,-0.964,0.984,-0.437,-0.938,-0.441,0.973,0.149,0.947,0.493,0.943,-0.771,0.768,0.978,1.0,0.377,0.885,0.709,-0.938,0.754,-0.93,-0.464,-0.679,-0.728,0.577,-0.005,0.906
PAgrVeg,0.592,-0.307,-0.181,-0.475,0.371,-0.6,0.209,-0.649,-0.414,-0.774,0.42,-0.767,0.092,0.109,0.336,-0.868,0.337,0.498,0.377,1.0,0.167,0.903,-0.313,0.742,-0.471,-0.311,-0.021,-0.222,-0.205,-0.751,0.697
PAgrAnim,0.699,-0.984,-0.745,0.497,0.972,-0.774,0.918,-0.608,-0.671,-0.535,0.753,0.104,0.828,0.079,0.695,-0.627,0.396,0.774,0.885,0.167,1.0,0.434,-0.69,0.764,-0.652,-0.008,-0.35,-0.36,0.301,-0.112,0.657
ServAgr,0.878,-0.584,-0.16,-0.47,0.632,-0.871,0.572,-0.55,-0.765,-0.664,0.766,-0.434,0.498,0.432,0.708,-0.952,0.683,0.815,0.709,0.903,0.434,1.0,-0.691,0.804,-0.804,-0.571,-0.419,-0.587,0.205,-0.464,0.935
Silvicultura,-0.946,0.783,0.064,0.227,-0.783,0.919,-0.918,0.136,0.994,0.175,-0.987,-0.327,-0.95,-0.764,-1.0,0.65,-0.938,-0.965,-0.938,-0.313,-0.69,-0.691,1.0,-0.537,0.985,0.728,0.885,0.92,-0.794,-0.232,-0.894
SupLoc,0.747,-0.824,-0.716,0.137,0.858,-0.821,0.672,-0.905,-0.592,-0.922,0.664,-0.515,0.511,-0.044,0.556,-0.947,0.328,0.74,0.754,0.742,0.764,0.804,-0.537,1.0,-0.617,-0.044,-0.088,-0.224,-0.084,-0.658,0.797
DrumuriM,-0.983,0.766,0.066,0.32,-0.778,0.955,-0.879,0.223,0.998,0.285,-0.989,-0.172,-0.893,-0.745,-0.988,0.752,-0.94,-0.981,-0.93,-0.471,-0.652,-0.804,0.985,-0.617,1.0,0.751,0.835,0.904,-0.71,-0.092,-0.953
Innoptari,-0.658,0.156,-0.607,0.798,-0.169,0.55,-0.397,-0.36,0.742,-0.234,-0.656,-0.318,-0.522,-0.973,-0.725,0.332,-0.921,-0.609,-0.464,-0.311,-0.008,-0.571,0.728,-0.044,0.751,1.0,0.879,0.926,-0.792,-0.392,-0.631
BugetVenituri,-0.72,0.44,-0.363,0.42,-0.426,0.641,-0.686,-0.34,0.855,-0.289,-0.801,-0.626,-0.814,-0.953,-0.875,0.273,-0.948,-0.735,-0.679,-0.021,-0.35,-0.419,0.885,-0.088,0.835,0.879,1.0,0.979,-0.974,-0.607,-0.64
BugetSubventii,-0.815,0.477,-0.332,0.517,-0.477,0.738,-0.7,-0.212,0.912,-0.135,-0.858,-0.456,-0.803,-0.956,-0.915,0.434,-0.992,-0.809,-0.728,-0.222,-0.36,-0.587,0.92,-0.224,0.904,0.926,0.979,1.0,-0.909,-0.444,-0.758
Apa,0.57,-0.358,0.4,-0.307,0.33,-0.49,0.621,0.482,-0.742,0.46,0.687,0.785,0.774,0.909,0.779,-0.07,0.852,0.605,0.577,-0.205,0.301,0.205,-0.794,-0.084,-0.71,-0.792,-0.974,-0.909,1.0,0.765,0.467
Canal,-0.088,0.146,0.565,-0.069,-0.2,0.168,0.113,0.855,-0.143,0.893,0.081,0.973,0.311,0.574,0.208,0.586,0.33,-0.027,-0.005,-0.751,-0.112,-0.464,-0.232,-0.658,-0.092,-0.392,-0.607,-0.444,0.765,1.0,-0.211
Export,0.99,-0.782,-0.217,-0.314,0.811,-0.985,0.818,-0.468,-0.935,-0.544,0.943,-0.13,0.774,0.568,0.905,-0.914,0.828,0.967,0.906,0.697,0.657,0.935,-0.894,0.797,-0.953,-0.631,-0.64,-0.758,0.467,-0.211,1.0
