,RN,RM,RMI,Emigranti,Imigranti,RS,Sal,CSom,AjSoc,Pensie,PopScolara,PaturiUS,Medici,VolumeB,SpectatoriS,VizitatoriM,SportiviL,PIB,SalariatiC,PAgrVeg,PAgrAnim,ServAgr,Silvicultura,SupLoc,DrumuriM,Innoptari,BugetVenituri,BugetSubventii,Apa,Canal,Export
RN,0.495,-0.275,0.162,-13.521,-0.111,0.049,-34.813,-14.208,-0.69,3.287,1.489,35.312,26.359,-262.08,55.674,154.956,0.115,-2054.899,0.68,-165.7,-287.33,-0.723,0.452,-0.516,-84.715,390.328,-121.089,-37.111,-1.796,1.193,-1465.958
RM,-0.275,1.311,0.172,-60.192,-25.057,0.395,-154.373,-5.408,6.77,-95.473,-14.604,2.483,-2.693,-408.798,-185.048,-1136.596,1.166,-7207.106,-190.051,1057.389,393.607,-2.615,0.396,-1.644,48.532,-740.0,-118.764,19.491,-9.36,-15.173,-1437.936
RMI,0.162,0.172,0.352,-4.116,-1.056,-0.318,35.06,-12.766,1.536,-10.44,1.971,3.394,74.391,-106.515,-9.983,38.586,1.005,-1432.988,-15.558,-131.313,-147.329,-3.04,-0.001,-0.522,-67.106,-68.965,-76.567,-18.051,-2.815,-2.186,-766.875
Emigranti,-13.521,-60.192,-4.116,6099.475,2378.577,-65.071,20427.092,206.979,-353.69,8752.291,1184.746,-2307.769,3857.921,33717.462,10424.207,90305.834,-34.738,745320.53,13229.958,-70673.217,-12293.505,551.837,-104.235,154.144,-1052.947,32471.335,13159.791,-1566.477,891.544,968.83,215221.705
Imigranti,-0.111,-25.057,-1.056,2378.577,1398.322,-28.69,8089.574,-302.651,-175.989,5774.2,538.187,-1223.023,1302.231,-5214.441,6395.874,47718.068,-5.495,361456.086,4601.768,-40094.467,-5747.638,528.287,-36.798,65.292,-1237.163,26307.909,3102.668,-2221.748,522.684,463.21,83379.633
RS,0.049,0.395,-0.318,-65.071,-28.69,1.11,-272.423,12.069,2.212,-102.603,-15.324,32.463,-118.305,-153.177,-107.072,-1090.441,-0.801,-7600.477,-120.474,970.879,232.542,-5.534,1.231,-1.259,72.683,-291.739,-69.119,42.229,-8.451,-8.413,-1844.676
Sal,-34.813,-154.373,35.06,20427.092,8089.574,-272.423,78107.367,-1957.518,-859.203,29172.567,4134.483,-5071.311,25441.251,87264.744,32850.284,311547.885,16.724,2363300.595,40461.02,-218899.67,-51797.358,2066.871,-421.174,458.1,-12049.844,107840.825,31405.92,-10181.009,2721.319,2814.556,655752.605
CSom,-14.208,-5.408,-12.766,206.979,-302.651,12.069,-1957.518,1198.476,-44.983,-1471.391,-80.129,-1715.998,-3235.332,22079.333,-2035.831,-12395.017,-27.839,26474.297,1255.549,-1062.745,7470.765,-311.435,15.539,17.275,3851.241,-18326.365,6676.423,3108.295,-20.068,29.969,39392.592
AjSoc,-0.69,6.77,1.536,-353.69,-175.989,2.212,-859.203,-44.983,39.936,-716.184,-80.584,148.426,141.914,-1309.309,-1077.078,-6775.624,6.496,-50635.663,-986.586,6550.9,1441.874,-42.003,2.343,-10.819,80.897,-4228.651,-820.099,128.501,-71.642,-88.509,-11518.594
Pensie,3.287,-95.473,-10.44,8752.291,5774.2,-102.603,29172.567,-1471.391,-716.184,24579.767,2009.117,-4629.923,3103.313,-43536.754,26741.201,190439.45,-31.672,1442515.111,16135.732,-156671.072,-18761.39,2478.075,-134.469,255.866,-4302.354,117811.733,9636.635,-10229.874,2208.286,1838.947,319133.253
PopScolara,1.489,-14.604,1.971,1184.746,538.187,-15.324,4134.483,-80.129,-80.584,2009.117,286.359,-501.811,1216.93,4030.495,2706.842,21351.512,0.442,145956.003,2774.103,-20281.516,-5426.343,92.274,-15.381,27.314,-1123.6,9159.241,1741.297,-629.135,178.191,216.398,32577.187
PaturiUS,35.312,2.483,3.394,-2307.769,-1223.023,32.463,-5071.311,-1715.998,148.426,-4629.923,-501.811,9184.504,2341.429,-11998.131,-379.633,-24983.977,-58.021,-457343.053,-3250.017,80217.597,-13604.106,115.393,-22.457,-72.267,-5038.265,31977.415,-14209.404,-3600.208,-535.853,-315.95,-155980.23
Medici,26.359,-2.693,74.391,3857.921,1302.231,-118.305,25441.251,-3235.332,141.914,3103.313,1216.93,2341.429,21206.349,7531.803,5035.464,72957.294,168.253,179642.286,6555.54,-45931.589,-42169.421,-85.515,-124.843,-0.921,-16256.246,17280.131,-9258.996,-6364.597,-53.686,159.971,-12246.534
VolumeB,-262.08,-408.798,-106.515,33717.462,-5214.441,-153.177,87264.744,22079.333,-1309.309,-43536.754,4030.495,-11998.131,7531.803,965389.34,-25600.123,17693.672,-646.479,1602314.203,107352.984,-60571.135,-45426.904,-11009.226,-446.726,728.18,35218.787,-369299.757,177769.17,66817.977,-1565.56,3208.376,1246463.066
SpectatoriS,55.674,-185.048,-9.983,10424.207,6395.874,-107.072,32850.284,-2035.831,-1077.078,26741.201,2706.842,-379.633,5035.464,-25600.123,38382.087,244135.775,-108.745,1520657.88,26185.766,-199548.718,-61680.313,2266.827,-123.002,287.64,-12795.606,178263.174,6822.335,-12836.917,2313.811,2604.208,259390.791
VizitatoriM,154.956,-1136.596,38.586,90305.834,47718.068,-1090.441,311547.885,-12395.017,-6775.624,190439.45,21351.512,-24983.977,72957.294,17693.672,244135.775,1785712.408,-305.371,12272889.051,199980.581,-1480742.894,-370881.56,14867.829,-1347.988,2288.957,-80052.484,1006181.866,102900.843,-78381.54,16879.392,17843.844,2640878.749
SportiviL,0.115,1.166,1.005,-34.738,-5.495,-0.801,16.724,-27.839,6.496,-31.672,0.442,-58.021,168.253,-646.479,-108.745,-305.371,3.817,-4579.759,-140.044,-440.313,-86.692,-8.119,0.618,-1.887,-123.529,-702.027,-200.474,-24.794,-7.9,-11.726,-1994.282
PIB,-2054.899,-7207.106,-1432.988,745320.53,361456.086,-7600.477,2363300.595,26474.297,-50635.663,1442515.111,145956.003,-457343.053,179642.286,1602314.203,1520657.88,12272889.051,-4579.759,106785013.082,1488396.571,-10353731.15,-723912.952,119872.432,-11618.748,20987.886,57969.282,5249962.206,1645534.569,-313049.142,143803.218,130965.059,29613684.545
SalariatiC,0.68,-190.051,-15.558,13229.958,4601.768,-120.474,40461.02,1255.549,-986.586,16135.732,2774.103,-3250.017,6555.54,107352.984,26185.766,199980.581,-140.044,1488396.571,34790.073,-174306.932,-51698.85,369.704,-170.266,330.899,-5329.56,83298.637,30178.129,-1264.656,1685.359,2451.872,398838.846
PAgrVeg,-165.7,1057.389,-131.313,-70673.217,-40094.467,970.879,-218899.67,-1062.745,6550.9,-156671.072,-20281.516,80217.597,-45931.589,-60571.135,-199548.718,-1480742.894,-440.313,-10353731.15,-174306.932,1920155.796,374613.975,-4558.388,169.561,-1737.958,72548.292,-572592.905,-124726.481,31974.225,-13550.407,-15748.148,-1975598.285
PAgrAnim,-287.33,393.607,-147.329,-12293.505,-5747.638,232.542,-51797.358,7470.765,1441.874,-18761.39,-5426.343,-13604.106,-42169.421,-45426.904,-61680.313,-370881.56,-86.692,-723912.952,-51698.85,374613.975,264707.022,1419.846,15.877,-99.688,67010.176,-278576.049,29735.299,21350.636,-577.804,-3701.453,337991.979
ServAgr,-0.723,-2.615,-3.04,551.837,528.287,-5.534,2066.871,-311.435,-42.003,2478.075,92.274,115.393,-85.515,-11009.226,2266.827,14867.829,-8.119,119872.432,369.704,-4558.388,1419.846,395.399,-18.545,20.938,51.261,14090.437,-283.706,-1521.641,222.278,118.923,27575.75
Silvicultura,0.452,0.396,-0.001,-104.235,-36.798,1.231,-421.174,15.539,2.343,-134.469,-15.381,-22.457,-124.843,-446.726,-123.002,-1347.988,0.618,-11618.748,-170.266,169.561,15.877,-18.545,3.203,-2.488,9.055,-570.499,-154.506,66.5,-13.8,-10.883,-3943.898
SupLoc,-0.516,-1.644,-0.522,154.144,65.292,-1.259,458.1,17.275,-10.819,255.866,27.314,-72.267,-0.921,728.18,287.64,2288.957,-1.887,20987.886,330.899,-1737.958,-99.688,20.938,-2.488,4.478,53.639,984.167,399.518,-31.942,27.505,27.04,6298.959
DrumuriM,-84.715,48.532,-67.106,-1052.947,-1237.163,72.683,-12049.844,3851.241,80.897,-4302.354,-1123.6,-5038.265,-16256.246,35218.787,-12795.606,-80052.484,-123.529,57969.282,-5329.56,72548.292,67010.176,51.261,9.055,53.639,21771.915,-70083.336,20957.484,9297.164,105.218,-419.106,187146.703
Innoptari,390.328,-740.0,-68.965,32471.335,26307.909,-291.739,107840.825,-18326.365,-4228.651,117811.733,9159.241,31977.415,17280.131,-369299.757,178263.174,1006181.866,-702.027,5249962.206,83298.637,-572592.905,-278576.049,14090.437,-570.499,984.167,-70083.336,1008559.763,-45635.9,-83589.243,9573.27,10193.499,523742.191
BugetVenituri,-121.089,-118.764,-76.567,13159.791,3102.668,-69.119,31405.92,6676.423,-820.099,9636.635,1741.297,-14209.404,-9258.996,177769.17,6822.335,102900.843,-200.474,1645534.569,30178.129,-124726.481,29735.299,-283.706,-154.506,399.518,20957.484,-45635.9,62284.37,13333.83,1703.422,1868.495,674191.501
BugetSubventii,-37.111,19.491,-18.051,-1566.477,-2221.748,42.229,-10181.009,3108.295,128.501,-10229.874,-629.135,-3600.208,-6364.597,66817.977,-12836.917,-78381.54,-24.794,-313049.142,-1264.656,31974.225,21350.636,-1521.641,66.5,-31.942,9297.164,-83589.243,13333.83,10237.813,-679.607,-470.952,11900.068
Apa,-1.796,-9.36,-2.815,891.544,522.684,-8.451,2721.319,-20.068,-71.642,2208.286,178.191,-535.853,-53.686,-1565.56,2313.811,16879.392,-7.9,143803.218,1685.359,-13550.407,-577.804,222.278,-13.8,27.505,105.218,9573.27,1703.422,-679.607,213.652,178.074,37058.442
Canal,1.193,-15.173,-2.186,968.83,463.21,-8.413,2814.556,29.969,-88.509,1838.947,216.398,-315.95,159.971,3208.376,2604.208,17843.844,-11.726,130965.059,2451.872,-15748.148,-3701.453,118.923,-10.883,27.04,-419.106,10193.499,1868.495,-470.952,178.074,210.684,30645.648
Export,-1465.958,-1437.936,-766.875,215221.705,83379.633,-1844.676,655752.605,39392.592,-11518.594,319133.253,32577.187,-155980.23,-12246.534,1246463.066,259390.791,2640878.749,-1994.282,29613684.545,398838.846,-1975598.285,337991.979,27575.75,-3943.898,6298.959,187146.703,523742.191,674191.501,11900.068,37058.442,30645.648,10204819.727
